DateTime,AddedIPs,RemovedIPs
1544999503,66,105
1545003074,44,116
1545006674,75,106
1545008539,68,68
1545013872,46,74
1545017480,80,102
1545021068,98,120
1545024704,62,92
1545028295,93,67
1545031885,67,93
1545033704,138,109
1545035478,71,63
1545039077,75,65
1545044520,83,52
1545046304,70,67
1545048068,67,70
1545049879,108,106
1545051713,60,59
1545053469,119,90
1545058921,78,77
1545060708,96,67
1545066064,87,83
1545067879,117,77
1545071465,94,86
1545075078,86,83
1545080541,118,90
1545082269,78,96
1545084067,93,109
1545089491,55,135
1545093077,86,114
1545096665,92,88
1545100266,54,77
1545102078,6,1
1545103868,59,91
1545107494,111,127
1545111111,89,90
1545112885,83,65
1545118265,54,62
1545121872,82,48
1545127287,76,77
1545129090,91,63
1545132694,71,55
1545136268,72,68
1545139874,72,62
1545143479,73,75
1545147065,62,59
1545150677,93,57
1545154269,90,69
1545157885,97,81
1545161485,84,78
1545166986,88,99
1545168711,95,89
1545172275,85,101
1545177681,64,105
1545179465,89,101
1545181270,74,75
1545184927,50,76
1545190272,67,89
1545195664,90,136
1545199265,95,75
1545201073,75,67
1545204830,83,60
1545208292,57,61
1545211893,84,71
1545215485,76,63
1545219080,84,75
1545222691,68,49
1545226287,83,75
1545229880,69,74
1545233471,84,65
1545237086,98,77
1545238876,109,85
1545244267,100,93
1545247897,97,93
1545251489,100,77
1545255090,91,96
1545260467,104,210
1545267670,97,104
1545269470,76,80
1545273080,52,74
1545278524,147,194
1545285746,77,86
1545287481,85,61
1545291068,72,53
1545294664,71,65
1545298282,92,68
1545301886,85,64
1545307353,130,108
1545309089,59,80
1545310867,80,59
1545312668,72,65
1545314474,63,58
1545321668,78,66
1545325288,84,68
1545327071,87,74
1545330664,91,81
1545334287,97,91
1545337901,81,86
1545341509,94,101
1545346868,73,98
1545348671,64,111
1545350599,85,104
1545355872,73,90
1545359467,52,70
1545364929,50,74
1545366702,114,127
1545370288,80,84
1545375753,129,89
1545381078,74,67
1545384667,87,59
1545388270,74,68
1545391875,88,51
1545393665,73,64
1545400870,90,88
1545402678,96,82
1545406281,73,82
1545409973,85,86
1545411733,99,79
1545415339,84,90
1545420678,98,82
1545424265,90,94
1545427911,85,88
1545431491,82,90
1545435078,62,125
1545438686,94,85
1545444093,84,100
1545445906,55,80
1545451265,66,90
1545453116,98,119
1545456671,74,81
1545462086,81,64
1545465674,55,49
1545467491,79,48
1545471083,79,58
1545474671,81,72
1545476474,71,67
