DateTime,Entries,UniqueIPs
1544999503,6329,6329
1545003074,6257,6257
1545006674,6226,6226
1545008539,6226,6226
1545013872,6198,6198
1545017480,6176,6176
1545021068,6154,6154
1545024704,6124,6124
1545028295,6150,6150
1545031885,6124,6124
1545033704,6153,6153
1545035478,6161,6161
1545039077,6171,6171
1545044520,6202,6202
1545046304,6205,6205
1545048068,6202,6202
1545049879,6204,6204
1545051713,6205,6205
1545053469,6234,6234
1545058921,6235,6235
1545060708,6264,6264
1545066064,6268,6268
1545067879,6308,6308
1545071465,6316,6316
1545075078,6319,6319
1545080541,6347,6347
1545082269,6329,6329
1545084067,6313,6313
1545089491,6233,6233
1545093077,6205,6205
1545096665,6209,6209
1545100266,6186,6186
1545102078,6191,6191
1545103868,6159,6159
1545107494,6143,6143
1545111111,6142,6142
1545112885,6160,6160
1545118265,6152,6152
1545121872,6186,6186
1545127287,6185,6185
1545129090,6213,6213
1545132694,6229,6229
1545136268,6233,6233
1545139874,6243,6243
1545143479,6241,6241
1545147065,6244,6244
1545150677,6280,6280
1545154269,6301,6301
1545157885,6317,6317
1545161485,6323,6323
1545166986,6312,6312
1545168711,6318,6318
1545172275,6302,6302
1545177681,6261,6261
1545179465,6249,6249
1545181270,6248,6248
1545184927,6222,6222
1545190272,6200,6200
1545195664,6154,6154
1545199265,6174,6174
1545201073,6182,6182
1545204830,6205,6205
1545208292,6201,6201
1545211893,6214,6214
1545215485,6227,6227
1545219080,6236,6236
1545222691,6255,6255
1545226287,6263,6263
1545229880,6258,6258
1545233471,6277,6277
1545237086,6298,6298
1545238876,6322,6322
1545244267,6329,6329
1545247897,6333,6333
1545251489,6356,6356
1545255090,6351,6351
1545260467,6245,6245
1545267670,6238,6238
1545269470,6234,6234
1545273080,6212,6212
1545278524,6165,6165
1545285746,6156,6156
1545287481,6180,6180
1545291068,6199,6199
1545294664,6205,6205
1545298282,6229,6229
1545301886,6250,6250
1545307353,6272,6272
1545309089,6251,6251
1545310867,6272,6272
1545312668,6279,6279
1545314474,6284,6284
1545321668,6296,6296
1545325288,6312,6312
1545327071,6325,6325
1545330664,6335,6335
1545334287,6341,6341
1545337901,6336,6336
1545341509,6329,6329
1545346868,6304,6304
1545348671,6257,6257
1545350599,6238,6238
1545355872,6221,6221
1545359467,6203,6203
1545364929,6179,6179
1545366702,6166,6166
1545370288,6162,6162
1545375753,6202,6202
1545381078,6209,6209
1545384667,6237,6237
1545388270,6243,6243
1545391875,6280,6280
1545393665,6289,6289
1545400870,6291,6291
1545402678,6305,6305
1545406281,6296,6296
1545409973,6295,6295
1545411733,6315,6315
1545415339,6309,6309
1545420678,6325,6325
1545424265,6321,6321
1545427911,6318,6318
1545431491,6310,6310
1545435078,6247,6247
1545438686,6256,6256
1545444093,6240,6240
1545445906,6215,6215
1545451265,6191,6191
1545453116,6170,6170
1545456671,6163,6163
1545462086,6180,6180
1545465674,6186,6186
1545467491,6217,6217
1545471083,6238,6238
1545474671,6247,6247
1545476474,6251,6251
1545480068,6247,6247
1545481873,6273,6273
1545485474,6287,6287
1545489073,6304,6304
1545492674,6290,6290
1545496263,6301,6301
1545499905,6306,6306
1545503475,6322,6322
1545507068,6302,6302
1545512470,6327,6327
1545514301,6308,6308
1545517877,6276,6276
1545521467,6251,6251
1545525082,6233,6233
1545530500,6224,6224
1545532268,6202,6202
1545535870,6168,6168
1545539482,6141,6141
1545541269,6135,6135
1545546697,6152,6152
1545550271,6158,6158
