DateTime,AddedIPs,RemovedIPs
1545985228,1,0
1545986428,44,0
1545988236,27,0
1545989428,1,0
1545990028,1,0
1545990934,1,0
1545991828,0,1
1545992429,6,0
1545993333,21,0
1545994231,3,0
1545995129,6,0
1545996030,6,0
1545997228,126,0
1545997529,9,0
1545999035,4,0
1545999932,1,0
1546000535,11,0
1546002039,1,0
1546002638,1,0
1546007438,8,0
1546007738,88,0
1546008037,1,0
1546010437,36,0
1546012239,20,0
1546013737,2,0
1546014038,1,0
1546015238,3,8
1546015834,1,2
1546017037,2,0
1546017939,1,0
1546018536,1,0
1546019436,21,0
1546020637,3,0
1546021838,3,0
1546022438,1,0
1546024238,2,0
1546024839,1,0
1546026036,11,0
1546026934,15,0
1546027235,1,0
1546028729,1,0
1546029330,1,0
1546035034,102,0
1546036535,52,0
1546036836,23,0
1546037735,8,0
1546038629,4,0
1546038932,13,0
1546039233,2,0
1546040435,8,0
1546041332,3,0
1546043133,1,0
1546044033,3,0
1546044932,10,0
1546045535,3,0
1546047328,23,0
1546050029,4,0
1546051229,3,0
1546052132,4,0
1546053029,23,0
1546053629,1,0
1546054530,28,0
1546055432,1,0
1546058431,3,0
1546060829,1,0
1546061727,26,0
1546063228,1,0
1546063528,41,0
1546063828,76,0
1546064431,12,0
1546065330,9,0
1546066228,1,0
1546067128,1,0
1546069829,20,0
1546070729,5,0
1546072827,14,0
1546073129,0,1
1546074635,3,0
1546076429,15,0
1546077633,99,0
1546077932,17,0
1546078832,4,0
1546080033,2,0
1546080329,1,0
1546081833,4,0
1546082429,35,0
1546083332,7,0
1546084532,4,0
1546090236,4,0
1546090537,26,0
1546091435,2,0
1546093233,1,0
1546094133,15,0
1546097137,3,0
1546098037,3,0
1546098633,47,0
1546098932,71,0
1546099832,2,0
1546100435,4,0
1546101333,1,0
1546103431,1,0
1546105237,17,0
1546105837,5,0
1546107033,1,0
1546107336,548,0
1546107638,167,0
1546108837,30,0
1546110932,1,0
1546111838,14,0
1546112435,5,0
1546113330,1,0
1546114230,2,0
1546118130,1,0
1546119033,2,0
1546119335,35,0
1546120236,2,0
1546122337,2,0
1546122933,6,0
1546124137,18,0
1546125035,5,0
1546125635,4,0
1546126830,2,0
1546127435,3,0
1546130433,27,0
1546131040,1,0
1546133731,1,0
1546135837,1,0
1546137637,36,0
1546138237,17,0
1546139438,6,0
1546140038,2,0
1546142136,4,0
1546143934,3,0
1546144832,33,0
1546145428,9,0
1546147836,5,0
1546148433,4,0
1546149035,2,0
1546153835,30,0
1546155636,5,0
1546156533,3,0
1546157134,1,0
1546158337,5,0
1546159230,14,0
1546161633,101,0
1546162231,21,0
1546162832,6,0
1546163133,13,0
1546163436,42,0
1546165538,2,0
1546166438,7,0
1546167035,1,0
1546170033,20,0
1546170936,10,0
1546171831,2,0
1546172431,1,0
1546173032,1,0
1546173634,79,0
1546174832,1,0
1546175739,2,0
1546177235,16,0
1546179933,2,0
1546180531,1,0
1546181737,1,0
1546184438,11,0
1546185038,1,0
1546186838,9,0
1546188034,22,0
1546188938,3,0
1546189832,10,0
1546190736,0,9
1546191038,0,1
1546191638,3,0
1546194931,3,0
1546197036,1,0
1546199434,21,0
1546204232,4,0
1546206035,26,0
1546206932,2,0
1546208416,2,0
1546209615,2,0
1546375216,1257,3
1546377616,2,0
1546378816,37,0
1546379116,66,0
1546379715,7,0
1546380016,1,0
1546380915,17,0
1546381815,5,0
1546385715,8,0
1546387515,1,0
1546389315,18,0
1546391715,2,0
1546392915,4,0
1546396815,22,0
1546397414,1,0
1546399215,1,0
1546400114,6,0
1546401315,3,0
1546403715,29,0
1546406115,35,0
1546406415,24,0
1546409115,26,0
1546410015,3,0
1546411215,42,0
1546411814,9,0
1546414815,1,0
1546415714,3,0
1546418114,15,0
1546420814,2,0
1546421714,3,0
1546422616,5,0
1546425315,22,0
1546427716,1,0
1546428315,2,0
1546428915,21,0
1546432515,7,0
1546433415,1,0
1546434015,80,0
1546434915,0,6
1546436416,3,0
1546436716,73,0
1546437017,8,0
1546437315,1,0
1546438215,4,0
1546440015,37,0
1546441514,14,0
1546441815,1,0
1546443615,16,0
1546445415,11,0
1546446016,8,0
1546446915,3,0
1546448114,5,0
1546450515,29,0
1546451714,1,0
1546452615,1,0
1546453515,1,0
1546454114,1,0
1546454717,19,0
1546455916,3,0
1546457115,2,0
1546458016,44,0
1546458914,18,0
1546459815,4,0
1546460415,6,0
1546462514,2,0
1546464315,1,0
1546465215,15,0
1546467014,6,0
1546467615,1,0
1546468815,13,0
1546469714,3,0
1546470615,1,0
1546471815,1,0
1546472415,4,0
1546475116,2,0
1546476015,11,0
1546477216,5,0
1546477514,9,0
1546478415,3,0
1546479314,3,0
1546481416,3,0
1546482315,3,0
1546483214,33,0
1546484115,7,0
1546484715,2,0
1546485914,7,0
1546486814,6,0
1546487415,2,0
1546488614,1,0
1546489215,8,0
1546490416,29,0
1546491315,5,0
1546492215,4,0
1546492816,88,0
1546493116,14,0
1546494015,2,0
1546494616,4,0
1546496415,1,0
1546497616,21,0
1546498217,3,0
1546499414,6,0
1546500616,2,0
1546501217,2,0
1546504814,31,0
1546505416,11,0
1546506615,1,0
1546508115,4,0
1546512015,27,0
1546512915,6,0
1546513815,6,0
1546514114,0,1
1546515314,5,0
1546516815,1,0
1546517114,3,0
1546518315,1,0
1546520114,13,0
1546522815,3,0
1546525515,6,0
1546526115,0,7
1546526416,25,0
1546527314,5,0
1546527916,1,0
1546528815,1,0
1546529716,19,0
1546530016,109,0
1546530615,3,0
1546531217,15,0
1546532115,9,0
1546532415,10,0
1546533314,1,0
1546534215,35,0
1546534816,23,0
1546537216,3,0
1546537815,1,0
1546539616,4,0
1546540815,6,0
1546541417,21,0
1546541715,1,0
1546543215,1,0
1546544415,2,0
1546547115,3,0
1546548015,1,0
1546548617,7,0
1546549215,1,0
1546549814,3,0
1546550415,9,0
1546551615,7,0
1546551915,1,0
1546552217,20,0
1546552515,18,0
1546553114,1,0
1546554315,1,0
1546554915,7,0
1546555216,25,0
1546555814,6,0
1546558216,2,0
1546558816,1,0
1546559416,1,0
1546562114,23,0
1546563015,6,0
1546564214,2,0
1546566015,3,0
1546567515,1,0
1546568717,1,0
1546569616,17,0
1546570514,4,0
1546571415,9,0
1546572315,4,0
1546572914,3,0
1546575014,6,0
1546575914,4,0
1546576815,12,0
1546578015,3,0
1546579515,95,0
1546580115,38,0
1546581015,2,0
1546583123,1,0
1546584016,12,0
1546585216,1,0
1546585514,6,0
1546587616,2,0
1546589415,3,0
1546590317,4,0
1546590915,14,0
1546594816,1,0
1546595415,6,0
1546599016,8,0
1546599915,2,0
1546600215,0,2
1546601114,3,1
1546601421,0,1
1546602014,10,1
1546603815,1,0
1546605615,9,0
1546607415,3,0
1546609215,21,0
1546609815,0,3
1546610715,1,0
1546613115,6,0
1546613714,126,0
1546614017,26,0
