DateTime,AddedIPs,RemovedIPs
1545281434,4,0
1545282031,8,0
1545282329,5,0
1545282929,2,0
1545283230,3,0
1545284130,8,0
1545285031,3,0
1545285330,3,0
1545285634,1,0
1545285933,7,0
1545286533,4,0
1545286834,1,0
1545287132,5,0
1545287735,6,0
1545288039,3,0
1545288639,3,0
1545289238,5,0
1545289536,2,0
1545290137,6,0
1545290436,2,0
1545291032,5,0
1545291637,5,0
1545291932,2,0
1545292237,2,0
1545292532,1,0
1545292837,1,0
1545293437,4,0
1545293736,1,0
1545294037,1,0
1545294336,5,0
1545294636,4,0
1545294937,4,0
1545295231,4,0
1545295832,6,0
1545296433,1,0
1545296736,3,0
1545297333,4,0
1545297630,1,0
1545298228,7,0
1545298535,1,0
1545299135,5,0
1545299737,6,0
1545300038,1,0
1545300637,3,0
1545300992,2,0
1545301238,1,0
1545301837,5,0
1545302137,4,0
1545302438,4,0
1545303036,8,0
1545303640,7,0
1545303937,2,0
1545304237,1,0
1545304533,1,0
1545304835,1,0
1545305133,1,0
1545305437,2,0
1545305738,1,0
1545306034,1,0
1545306336,3,0
1545306633,2,0
1545306933,8,0
1545307235,3,0
1545307540,3,0
1545307838,2,0
1545308437,9,0
1545308732,1,0
1545309033,1,0
1545309335,3,0
1545309636,2,0
1545310234,7,0
1545310839,7,0
1545311138,2,0
1545311436,1,0
1545311738,2,0
1545312037,3,0
1545312635,8,0
1545312939,3,0
1545313835,3,0
1545314131,3,0
1545314436,1,0
1545314735,5,0
1545315034,3,0
1545315330,3,0
1545315632,5,0
1545315934,4,0
1545316236,3,0
1545316531,4,0
1545316834,3,0
1545317433,6,0
1545317730,4,0
1545318033,3,0
1545318628,9,0
1545319233,3,0
1545319534,2,0
1545319830,4,0
1545320133,2,0
1545320437,1,0
1545320734,6,0
1545321032,1,0
1545321329,1,0
1545321630,3,0
1545321934,3,0
1545322235,4,0
1545322532,3,0
1545322834,2,0
1545323134,2,0
1545323434,1,0
1545324037,3,3
1545324334,6,0
1545324631,2,0
1545324938,5,0
1545325238,2,0
1545325837,4,0
1545326437,4,0
1545326738,3,0
1545327038,2,0
1545327338,3,0
1545327634,1,0
1545328236,1,0
1545328537,1,0
1545328838,4,0
1545329136,3,0
1545329438,3,0
1545329738,5,0
1545330039,2,0
1545330339,5,0
1545330638,1,0
1545330939,2,0
1545331238,4,0
1545331835,4,0
1545332133,5,0
1545332431,7,0
1545332733,4,0
1545333036,1,0
1545333333,2,0
1545333635,3,0
1545333932,4,0
1545334235,3,0
1545334830,5,0
1545335131,4,0
1545335431,2,0
1545335733,2,0
1545336029,1,1
1545336628,6,0
1545336933,2,0
1545337230,3,0
1545337830,4,0
1545338433,1,0
1545338735,2,0
1545339333,2,0
1545340235,5,0
1545340532,1,0
1545340835,3,0
1545341436,6,0
1545342034,9,0
1545342634,4,0
1545343236,16,0
1545343537,78,0
1545344137,6,0
1545344434,4,0
1545344739,5,0
1545345036,3,0
1545346233,4,0
1545346836,1,0
1545347135,3,0
1545347734,2,0
1545348030,3,0
1545348635,9,0
1545349229,3,0
1545349832,9,0
1545350433,3,0
1545350739,1,0
1545351329,7,1
1545351632,2,0
1545352233,3,0
1545352829,5,0
1545353131,3,0
1545353431,1,0
1545353731,79,0
1545354035,2,0
1545354329,5,0
1545354632,3,0
1545354932,4,0
1545355229,3,0
1545355832,5,0
1545356434,6,0
1545356738,26,0
1545357039,3,0
1545357334,2,0
1545357636,2,0
1545357930,5,0
1545358533,10,0
1545358838,2,0
1545359134,1,0
1545359436,2,0
1545360332,5,0
1545360928,3,0
1545361234,3,0
1545361535,3,0
1545361829,1,0
1545362429,5,0
1545362733,3,0
1545363031,1,0
1545363635,3,0
1545363932,2,0
1545364531,7,0
1545364838,2,0
1545365437,6,0
1545366031,4,0
1545366331,4,0
1545366631,4,0
1545366928,5,0
1545367230,2,0
1545367832,6,0
1545368132,3,0
1545368434,2,0
1545368732,2,0
1545369329,4,0
1545369631,2,0
1545370234,3,0
1545370831,1,0
1545371134,1,0
1545371737,4,0
1545372039,1,0
1545372635,5,0
1545372930,2,0
1545373235,1,1
1545373536,3,2
1545373837,4,0
1545374130,1,0
1545374433,3,0
1545374735,5,0
1545375038,2,0
1545375638,7,0
1545376237,8,0
1545376838,9,0
1545377140,5,0
1545377436,4,0
1545378039,3,0
1545378639,2,0
1545379238,3,0
1545379538,2,0
1545379837,4,0
1545380439,4,0
1545381037,5,0
1545381337,2,0
1545381638,3,0
1545381937,5,0
1545382233,1,0
1545382531,1,0
1545382834,3,0
1545383136,3,0
1545383437,3,0
1545384035,1,0
1545384638,4,0
1545385237,2,0
1545385838,3,0
1545386137,2,0
1545386441,2,3
1545387037,7,0
1545387338,2,0
1545387638,1,0
1545388238,5,0
1545388539,2,0
1545388837,3,0
1545389437,6,0
1545389737,6,0
1545390039,2,0
1545390339,2,0
1545390638,3,0
1545390935,3,0
1545391234,3,0
1545391536,6,0
1545391834,2,0
1545392137,1,0
1545392431,1,0
1545392739,2,0
1545393034,2,0
1545393338,4,0
1545393637,1,0
1545393938,4,0
1545394239,2,0
1545394835,7,0
1545395134,2,0
1545395438,5,0
1545395733,2,0
1545396038,2,0
1545396638,5,0
1545396929,1,0
1545397238,2,0
1545397539,5,0
1545397835,2,0
1545398138,1,0
1545398438,4,0
1545398739,4,0
1545399036,1,0
1545399337,5,0
1545399638,2,0
1545400236,5,1
1545400839,8,0
1545401138,4,0
1545401437,5,0
1545401738,3,0
1545402036,3,0
1545402630,7,0
1545402939,4,0
1545403238,3,0
1545403839,3,0
1545404139,1,0
1545404436,3,0
1545404738,4,0
1545405038,3,0
1545405334,4,0
1545405635,6,0
1545405933,5,0
1545406234,3,0
1545406537,2,0
1545406834,2,0
1545407438,9,1
1545407733,3,0
1545408037,1,0
1545408634,8,0
1545408936,3,0
1545409539,7,0
1545410438,2,0
1545411038,4,0
1545411638,6,0
1545412238,8,0
1545412538,3,0
1545412838,4,0
1545413439,8,0
1545413735,2,0
1545414038,2,0
1545414637,5,0
1545414933,8,0
1545415239,3,0
1545415539,1,0
1545415838,1,0
1545416135,4,0
1545416438,1,0
1545416737,1,0
1545417036,6,0
1545417636,4,0
1545417934,1,0
1545418235,164,0
1545418536,3,0
1545418838,3,0
1545419136,1,0
1545419435,4,0
1545419736,3,0
1545420038,4,0
1545420638,9,0
1545420937,4,0
1545421238,3,0
1545421834,8,0
1545422136,3,0
1545422439,2,0
1545422738,5,0
1545423335,24,0
1545423638,6,0
1545424233,7,0
1545424535,1,0
1545424829,2,0
1545425133,2,0
1545425730,1,0
1545426029,2,0
1545426634,4,0
1545426931,2,0
1545427237,3,0
1545427532,5,0
1545427840,3,0
1545428133,3,0
1545428432,3,0
1545428736,3,0
1545429336,2,0
1545429633,1,0
1545429937,2,0
1545430536,4,0
1545430837,3,0
1545431137,2,0
1545431434,3,1
1545431737,2,0
1545432036,1,0
1545432638,5,0
1545432934,3,0
1545433235,4,0
1545433538,1,0
1545493238,211,0
1545495032,1,0
1545508238,0,1
1545509437,22,0
1545510636,1,0
1545512437,1,0
1545513036,2,0
1545513934,1,0
1545514233,1,0
1545514538,1,0
1545539736,0,1
1545558027,1,0
1545558631,1,0
1545587438,1,0
1545589838,1,0
1545590434,0,1
1545606338,0,1
1545665137,0,1
1545676233,1,0
1545684635,1,0
1545732937,0,1
1545766835,0,2
1545767437,0,1
1545782731,1,0
1545816337,2,0
1545816937,3,0
1545817238,2,0
1545817836,4,0
1545818438,4,0
1545819037,6,0
1545819636,1,0
1545819938,1,0
1545820236,2,0
1545820533,4,0
1545820836,1,0
1545821434,4,0
1545821735,3,0
1545822033,3,0
1545822638,2,0
1545822933,2,0
1545823239,1,0
1545823838,1,0
1545824136,1,0
1545824438,2,0
1545825038,4,0
1545825638,1,0
1545825938,2,0
1545826831,1,0
1545866432,2,0
1545872434,0,1
1545929128,1,0
1545929727,2,0
1546033835,0,1
1546057829,0,1
1546086036,1,0
1546086334,3,0
1546089335,1,0
1546115433,2,0
1546118435,2,0
1546119639,4,0
1546136737,0,1
1546137038,0,1
1546187436,0,1
1546375216,1,0
1546380615,1,0
1546380915,1,0
1546407016,1,0
1546488614,1,0
1546534816,0,2
1546535115,0,7
1546547116,172,0
1546547419,469,0
1546550114,2,0
1546550416,3,0
1546551016,5,0
1546551615,5,0
1546551915,4,0
1546552218,2,0
1546552515,2,0
1546552815,2,0
1546553115,1,0
1546553415,1,0
1546553715,1,0
1546554915,1,0
1546557016,1,0
1546557315,1,0
1546606216,1,0
1546608015,1,0
1546609816,0,2
1546617915,0,1
1546618815,0,2
1546636815,0,1
1546638015,0,2
1546638316,0,5
1546638915,0,3
1546639217,0,1
1546639815,0,1
1546660515,0,1
1546686016,3,0
1546710616,1,0
1546713016,1,0
1546714215,0,1
1546716915,2,0
1546717215,4,0
1546717515,3,0
1546717815,1,0
1546733416,1,0
1546769716,1,0
1546770111,4,0
1546770617,6,0
1546771215,5,0
1546771515,2,0
