DateTime,AddedIPs,RemovedIPs
1545198034,1,0
1545198633,1,0
1545198927,2,0
1545199233,1,0
1545199536,1,0
1545200135,2,0
1545200730,3,0
1545201035,2,0
1545201633,1,0
1545202235,4,0
1545202536,1,0
1545203140,1,0
1545203436,1,0
1545204927,2,0
1545205231,2,0
1545205833,1,0
1545206733,5,0
1545207037,15,0
1545207335,1,0
1545208234,1,0
1545208831,2,0
1545209438,2,0
1545210035,1,0
1545210334,1,0
1545210936,1,0
1545211239,2,0
1545212136,1,0
1545212436,1,0
1545213035,1,0
1545213932,2,0
1545214839,2,0
1545215438,3,0
1545215735,2,0
1545216038,1,0
1545216638,2,0
1545217239,1,0
1545217538,1,0
1545218137,1,0
1545218734,1,0
1545220237,3,0
1545220533,1,0
1545221138,1,0
1545221435,1,0
1545221733,1,0
1545222339,2,0
1545222635,2,0
1545222929,5,0
1545223532,1,0
1545223830,1,0
1545224438,2,0
1545224735,1,0
1545225332,5,0
1545225631,2,0
1545225933,1,0
1545226533,1,0
1545226837,1,0
1545227439,1,0
1545227737,2,0
1545228032,1,0
1545228932,1,0
1545229229,2,0
1545229536,2,0
1545229837,1,0
1545230134,1,0
1545230436,1,0
1545231036,1,0
1545231338,1,0
1545231631,1,0
1545231932,1,0
1545232240,1,0
1545232827,2,0
1545234037,2,0
1545234632,2,0
1545234933,2,0
1545235237,1,0
1545235831,22,0
1545236733,2,0
1545237330,1,0
1545237934,2,1
1545238233,1,0
1545238535,1,0
1545239436,2,0
1545240038,3,0
1545240338,2,0
1545240638,2,0
1545241237,1,0
1545241835,3,0
1545242436,1,0
1545243035,1,0
1545243334,1,0
1545243637,3,0
1545244238,1,0
1545244532,1,0
1545244838,1,0
1545245733,1,0
1545246335,2,0
1545246932,3,1
1545247232,1,0
1545247531,1,0
1545247838,1,0
1545248134,1,0
1545248430,1,0
1545249035,1,0
1545249338,1,0
1545249639,2,0
1545250531,1,0
1545250832,1,0
1545251429,1,0
1545251734,1,0
1545252039,1,0
1545252633,2,0
1545253240,2,0
1545253536,1,0
1545254433,2,0
1545254733,2,0
1545255332,3,0
1545255634,1,0
1545256237,1,0
1545256835,1,0
1545257435,1,0
1545259837,2,0
1545260135,1,0
1545260739,1,0
1545261634,1,0
1545262534,2,0
1545262832,1,0
1545263730,2,0
1545264331,2,0
1545264632,20,0
1545265228,1,0
1545265833,1,0
1545266134,1,0
1545267337,3,0
1545267635,1,0
1545268233,2,0
1545268535,1,0
1545269135,4,0
1545269432,1,0
1545271234,2,0
1545272134,3,0
1545272438,1,0
1545273036,3,0
1545273938,2,0
1545274531,1,0
1545274835,1,0
1545275428,2,0
1545276337,1,0
1545276937,1,0
1545278136,3,0
1545278728,1,0
1545279937,1,0
1545280530,1,0
1545281434,3,0
1545282031,1,0
1545282329,3,0
1545283230,3,0
1545284130,4,1
1545285031,4,0
1545285330,1,0
1545285634,1,0
1545285933,2,0
1545286533,1,1
1545286834,1,0
1545287735,2,0
1545288639,1,0
1545289238,1,0
1545290137,1,0
1545290436,1,0
1545291033,2,0
1545291637,1,0
1545293437,12,0
1545294336,2,0
1545294937,1,0
1545295231,1,0
1545295832,3,0
1545296135,1,0
1545296433,1,0
1545296736,1,0
1545298228,4,0
1545298838,3,0
1545299135,1,0
1545300992,2,0
1545301837,1,2
1545302137,1,0
1545302438,1,0
1545303036,2,0
1545303640,2,0
1545303937,1,0
1545304835,2,0
1545305133,1,0
1545305437,2,0
1545306933,2,0
