DateTime,AddedIPs,RemovedIPs
1527967633,0,0
1527968721,0,0
1527969605,0,0
1527970517,0,0
1527971403,0,0
1527974124,0,0
1527975003,0,0
1527975924,0,0
1527977719,0,0
1527978604,0,0
1527979520,0,0
1527981323,0,0
1527982204,0,0
1527983118,0,0
1527984006,0,0
1527985804,0,0
1527986703,0,0
1527987604,0,0
1527989404,0,0
1527990320,0,0
1527991204,0,0
1527993004,0,0
1527993921,0,0
1527994804,0,0
1527996603,0,0
1527997520,0,0
1527998404,0,0
1528000203,0,0
1528001128,0,0
1528002004,0,0
1528003803,0,0
1528031728,0,256
1528040714,256,0
1528125320,256,0
1528216069,0,768
1528302604,256,0
1528303518,0,256
1528308004,0,0
1528309675,0,0
1528312989,0,0
1528317928,0,0
1528322403,0,512
1528325103,0,0
1528329608,0,0
1528333205,0,256
1528384960,0,512
1528482155,0,1280
1528492545,256,0
1528499755,0,256
1528505152,0,256
1528558227,512,0
1528565098,0,256
1528572310,0,256
1528664447,512,0
1528736422,256,0
1528738213,0,256
1528748113,0,256
1528833630,0,256
1528843533,256,0
1528869650,256,0
1528912861,256,0
1528954226,256,0
1529040139,256,0
1529071233,256,0
1529085625,0,256
1529087238,0,1536
1529092853,0,256
1529121630,256,0
1529161240,256,256
1529173848,0,256
1529194535,0,256
1529197586,256,0
1529251308,256,0
1529253020,256,256
1529326842,256,0
1529339421,0,256
1529344817,0,256
1529369216,256,0
1529418649,0,256
1529425853,0,256
1529505018,1024,0
1529507725,3584,0
1529511304,0,256
1529512217,256,0
1529519426,256,0
1529533822,0,256
1529601324,512,0
1529705737,0,256
1529746236,256,0
1529767844,0,256
1529866820,256,0
1529868619,0,256
1529878924,256,0
1529936409,0,256
1529938825,256,0
1530045025,256,0
1530136835,0,256
1530204324,256,0
1530210653,256,0
1530279006,256,0
1530286476,1024,0
1530296124,0,256
1530318631,256,0
1530390631,256,0
1530451835,0,256
1530462627,256,0
1530548135,256,512
1530631095,0,256
1530634530,256,0
1530648049,0,256
1530726322,0,256
1530808222,0,256
1530813628,0,256
1530815419,256,0
1530838004,256,0
1530906359,0,256
1530943250,0,256
1530987338,256,0
1531002606,256,0
1531052127,256,0
1531179939,0,256
1531256446,0,256
1531328449,0,256
1531460745,0,256
1531467936,0,256
1531498550,0,256
1531656937,256,0
1531752342,0,1280
1531790131,0,256
1531843231,0,512
1531845099,0,256
1531917940,0,768
1531932325,0,256
1532016934,512,0
1532037634,0,768
1532074544,0,256
1532095254,0,512
1532097039,0,256
1532098861,0,256
1532103327,256,0
1532196943,0,256
1532211340,0,256
1532219439,256,0
1532225734,256,0
1532276131,1024,0
1532277007,256,0
1532361632,0,256
1532393185,256,0
1532441726,512,0
1532446230,256,0
1532448021,0,256
1532467407,0,256
1532530816,0,256
1532566205,768,256
1532625330,256,0
1532634310,256,0
1532644260,256,0
1532651444,256,0
1532700934,512,0
1532720476,1280,0
1532737850,256,0
1532794504,0,256
1532798133,512,256
1532816105,0,256
1532877348,0,768
1532880936,768,0
1532882746,256,0
1532896240,256,0
1532904343,256,0
1532965537,0,768
1533060914,0,256
1533139247,0,256
1533146459,256,0
1533153664,0,256
1533225672,0,256
1533314741,0,256
1533475843,256,0
1533481241,0,256
1533485708,0,256
1533490235,256,0
1533493843,0,256
1533499238,0,256
1533506457,256,0
1533587430,512,0
1533601829,256,0
1533645052,256,0
1533651330,0,256
1533676522,0,256
1533745878,256,0
1533753019,0,1024
1533796261,256,0
1533830437,0,256
1533832680,0,512
1534005753,0,512
1534007741,256,0
1534019996,256,0
1534092365,0,256
1534149908,0,0
1534206644,256,0
1534253490,768,0
1534295773,512,0
1534339832,256,0
1534352459,0,768
1534386603,0,256
1534436103,0,256
1534443334,256,0
1534530635,256,0
1534609815,256,0
1534630503,0,256
1534700393,768,0
1534716903,0,256
1534717829,256,0
1534725029,256,0
1534781564,0,256
1534812098,256,256
1534859122,256,0
1534866303,0,768
1534869131,0,256
1534890366,0,256
1534894202,0,256
1534917640,256,0
1534951817,512,0
1534954653,512,0
1534984233,0,256
1535032828,0,1024
1535048104,0,256
1535056232,256,0
1535121023,256,0
1535157023,256,512
1535214626,256,0
1535215502,0,512
1535218223,0,256
1535225431,0,256
1535228103,0,256
1535230845,0,256
1535234428,0,512
1535292903,0,256
1535381444,256,0
1535472046,0,512
1535477913,256,0
1535481029,0,256
1535555702,0,256
1535565164,0,256
1535675403,0,256
1535676338,1024,0
1535677555,256,0
1535718610,512,0
1535723524,256,0
1535787009,256,0
1535805009,512,0
1535832012,256,0
1535839219,256,0
1535894604,256,0
1535896806,256,0
1535897703,0,256
1535920204,0,256
1535923231,256,0
1536006210,256,0
1536066904,0,256
1536092103,0,256
1536166870,256,0
1536170430,256,0
1536172237,256,0
1536193844,0,256
1536257703,0,256
1536267609,256,0
1536333792,256,0
1536337599,0,256
1536405305,0,512
1536507005,0,512
1536538999,0,256
1536593405,256,0
1536597904,0,512
1536621702,0,256
1536659104,0,256
1536690386,0,256
1536712815,0,256
1536719247,256,0
1536797723,0,256
1536863403,0,256
1536870607,0,256
1536936305,0,256
1537111803,256,0
1537194607,768,0
1537274122,0,256
1537288203,256,0
1537381682,0,256
1537403444,256,0
1537453803,0,256
1537543802,0,512
1537556447,256,0
1537716605,256,0
1537805704,0,768
1537922086,256,0
1537964628,256,0
1537972228,0,512
1538073036,256,0
1538094648,256,0
1538141551,0,256
1538253540,256,0
1538311522,0,256
1538350226,512,0
1538386228,256,0
1538397024,256,256
1538406020,256,0
1538432322,256,0
1538482511,0,256
1538485879,0,1024
1538492434,0,256
1538498703,0,256
1538505031,0,256
1538576103,0,256
1538577002,0,1536
1538596825,0,256
1538597703,0,1024
1538598636,0,512
1538601804,0,256
1538669475,0,256
1538771433,0,256
1538839826,0,512
1538850630,0,256
1538872239,0,256
1538925305,0,512
1538935889,256,0
1538936103,0,256
1538944223,256,0
1538951431,256,0
