DateTime,Entries,UniqueIPs
1527963719,79,25088
1527965116,79,25088
1527966004,79,25088
1527967633,79,25088
1527968721,79,25088
1527969605,79,25088
1527970517,79,25088
1527971403,79,25088
1527974124,79,25088
1527975003,79,25088
1527975924,79,25088
1527977719,79,25088
1527978604,79,25088
1527979520,79,25088
1527981323,79,25088
1527982204,79,25088
1527983118,79,25088
1527984006,79,25088
1527985804,79,25088
1527986703,79,25088
1527987604,79,25088
1527989404,79,25088
1527990320,79,25088
1527991204,79,25088
1527993004,79,25088
1527993921,79,25088
1527994804,79,25088
1527996603,79,25088
1527997520,79,25088
1527998404,79,25088
1528000203,79,25088
1528001128,79,25088
1528002004,79,25088
1528003803,79,25088
1528031728,78,24832
1528040714,79,25088
1528125320,80,25344
1528216069,80,24576
1528302604,81,24832
1528303518,82,24576
1528309675,82,24576
1528317928,82,24576
1528322403,81,24064
1528325103,81,24064
1528329608,81,24064
1528333205,80,23808
1528384960,78,23296
1528482155,77,22016
1528492545,78,22272
1528499755,77,22016
1528505152,76,21760
1528558227,78,22272
1528565098,77,22016
1528572310,76,21760
1528664447,78,22272
1528736422,79,22528
1528738213,78,22272
1528748113,77,22016
1528833630,77,21760
1528843533,78,22016
1528869650,79,22272
1528912861,80,22528
1528954226,81,22784
1529040139,82,23040
1529071233,83,23296
1529085625,82,23040
1529087238,76,21504
1529092853,75,21248
1529121630,76,21504
1529161240,77,21504
1529173848,76,21248
1529194535,75,20992
1529197586,76,21248
1529251308,77,21504
1529253020,77,21504
1529326842,78,21760
1529339421,77,21504
1529344817,76,21248
1529369216,77,21504
1529418649,76,21248
1529425853,75,20992
1529505018,77,22016
1529507725,85,25600
1529511304,84,25344
1529512217,85,25600
1529519426,85,25856
1529533822,84,25600
1529601324,86,26112
1529705737,86,25856
1529746236,87,26112
1529767844,86,25856
1529866820,87,26112
1529868619,86,25856
1529878924,86,26112
1529936409,85,25856
1529938825,86,26112
1530045025,87,26368
1530136835,86,26112
1530204324,87,26368
1530210653,88,26624
1530279006,89,26880
1530286476,93,27904
1530296124,92,27648
1530318631,93,27904
1530390631,94,28160
1530451835,93,27904
1530462627,94,28160
1530548135,93,27904
1530631095,92,27648
1530634530,93,27904
1530648049,92,27648
1530726322,91,27392
1530808222,90,27136
1530813628,89,26880
1530815419,90,27136
1530838004,91,27392
1530906359,90,27136
1530943250,90,26880
1530987338,91,27136
1531002606,91,27392
1531052127,92,27648
1531179939,91,27392
1531256446,90,27136
1531328449,89,26880
1531460745,88,26624
1531467936,87,26368
1531498550,86,26112
1531656937,87,26368
1531752342,82,25088
1531790131,81,24832
1531843231,79,24320
1531845099,78,24064
1531917940,75,23296
1531932325,74,23040
1532016934,76,23552
1532037634,73,22784
1532074544,72,22528
1532095254,70,22016
1532097039,69,21760
1532098861,70,21504
1532103327,71,21760
1532196943,70,21504
1532211340,69,21248
1532219439,70,21504
1532225734,71,21760
1532276131,75,22784
1532277007,76,23040
1532361632,75,22784
1532393185,76,23040
1532441726,77,23552
1532446230,78,23808
1532448021,79,23552
1532467407,79,23296
1532530816,78,23040
1532566205,80,23552
1532625330,81,23808
1532634310,81,24064
1532644260,82,24320
1532651444,83,24576
1532700934,85,25088
1532720476,90,26368
1532737850,91,26624
1532794504,90,26368
1532798133,91,26624
1532816105,90,26368
1532877348,87,25600
1532880936,90,26368
1532882746,91,26624
1532896240,92,26880
1532904343,93,27136
1532965537,90,26368
1533060914,89,26112
1533139247,88,25856
1533146459,89,26112
1533153664,89,25856
1533225672,88,25600
1533314741,87,25344
1533475843,88,25600
1533481241,87,25344
1533485708,87,25088
1533490235,88,25344
1533493843,87,25088
1533499238,86,24832
1533506457,86,25088
1533587430,88,25600
1533601829,89,25856
1533645052,90,26112
1533651330,89,25856
1533676522,88,25600
1533745878,89,25856
1533753019,87,24832
1533796261,88,25088
1533830437,87,24832
1533832680,85,24320
1534005753,84,23808
1534007741,85,24064
1534019996,86,24320
1534092365,85,24064
1534206644,86,24320
1534253490,89,25088
1534295773,90,25600
1534339832,91,25856
1534352459,89,25088
1534386603,88,24832
1534436103,88,24576
1534443334,89,24832
1534530635,90,25088
1534609815,91,25344
1534630503,90,25088
1534700393,92,25856
1534716903,91,25600
1534717829,92,25856
1534725029,93,26112
1534781564,92,25856
1534812098,91,25856
1534859122,92,26112
1534866303,89,25344
1534869131,88,25088
1534890366,87,24832
1534894202,86,24576
1534917640,87,24832
1534951817,88,25344
1534954653,89,25856
1534984233,88,25600
1535032828,85,24576
1535048104,85,24320
1535056232,86,24576
1535121023,87,24832
1535157023,86,24576
1535214626,86,24832
1535215502,84,24320
1535218223,83,24064
1535225431,82,23808
1535228103,81,23552
1535230845,80,23296
1535234428,78,22784
1535292903,77,22528
1535381444,78,22784
1535472046,76,22272
1535477913,76,22528
1535481029,76,22272
1535555702,75,22016
1535565164,74,21760
1535675403,73,21504
1535676338,77,22528
1535677555,78,22784
1535718610,80,23296
1535723524,81,23552
1535787009,82,23808
1535805009,84,24320
1535832012,85,24576
1535839219,86,24832
1535894604,87,25088
1535896806,88,25344
1535897703,88,25088
1535920204,88,24832
1535923231,89,25088
1536006210,90,25344
1536066904,89,25088
1536092103,88,24832
1536166870,89,25088
1536170430,90,25344
1536172237,91,25600
1536193844,90,25344
1536257703,89,25088
1536267609,90,25344
1536333792,91,25600
