DateTime,AddedIPs,RemovedIPs
1538404220,256,256
1538406020,256,256
1538407830,256,256
1538432322,256,256
1538440203,256,256
1538493307,512,512
1538579946,1280,1280
1538584227,256,256
1538591410,256,256
1538598636,256,256
1538605839,256,256
1538613044,256,256
1538666128,256,256
1538670627,256,256
1538692237,256,256
1538699404,256,256
1538752764,1024,1024
1538757003,256,256
1538758831,256,256
1538762429,256,256
1538764229,256,256
1538785845,512,512
1538838910,512,512
1538843403,256,256
1538935889,1024,1024
1538937029,256,256
1538940618,256,256
1538944223,512,512
1538951431,256,256
1538958274,512,512
1539008111,768,768
1539012622,256,256
1539016217,256,256
1539023423,256,256
1539030188,256,256
1539037044,256,256
1539045024,256,256
1539098103,1024,1024
1539109828,256,256
1539123437,256,256
1539129636,256,256
1539131434,256,256
1539195303,768,768
1539196225,256,256
1539203422,256,256
1539210625,256,256
1539218732,256,256
1539274508,1280,1280
1539275417,256,256
1539284423,256,256
1539296587,256,256
1539357311,1024,1024
1539367222,256,256
1539376218,256,256
1539382567,256,256
1539383423,256,256
1539390720,512,512
1539443704,768,768
1539446420,256,256
1539455417,256,256
1539477031,256,256
1539533706,768,768
1539534617,256,256
1539545422,256,256
1539556226,256,256
1539563429,256,256
1539570626,256,256
1539616175,768,768
1539621015,256,256
1539642623,256,256
1539702902,768,768
1539714623,256,256
1539716416,256,256
1539721820,256,256
1539729028,512,512
1539736243,256,256
1539756021,256,256
1539789672,1280,1280
1539799219,256,256
1539822632,256,256
1539879065,3584,3584
1539880219,256,256
1539882021,256,256
1539885631,1024,1024
1539887419,256,256
1539890243,256,256
1539892819,256,256
1539894625,256,256
1539896417,256,256
1539901820,256,256
1539903633,256,256
1539909003,1024,1024
1539910825,256,256
1539915306,256,256
1539916225,256,256
1539921631,256,256
1539923424,256,256
1539927025,256,256
1539934228,256,256
1539965495,2304,2304
1539972022,512,512
1539981024,256,256
1539986420,256,256
1539995430,768,768
1539997232,512,512
1539998526,256,256
1540001745,256,256
1540002130,256,256
1540008026,256,256
1540009829,256,256
1540020621,256,256
1540048667,2560,2560
1540051224,256,256
1540053022,256,256
1540055850,256,256
1540058425,768,768
1540062039,256,256
1540063288,512,512
1540077739,256,256
1540080021,256,256
1540081806,256,256
1540083631,256,256
1540112436,256,256
1540143006,2304,2304
1540144824,768,768
1540155624,256,256
1540157410,256,256
1540159238,256,256
1540160722,256,256
1540163703,256,256
1540163818,256,256
1540166433,256,256
1540168345,256,256
1540171803,256,256
1540188033,256,256
1540214335,256,256
1540216826,256,256
1540218603,256,256
1540220434,256,256
1540221781,2816,2816
1540224021,256,256
1540225803,512,512
1540228957,256,256
1540231220,512,512
1540233003,1280,1280
1540234828,256,256
1540236792,512,512
1540240203,1024,1024
1540247409,512,512
1540254442,256,256
1540297803,768,768
1540305003,256,256
1540355409,256,256
1540398603,768,768
1540404019,256,256
1540405803,256,256
1540413002,256,256
1540420234,256,256
1540477803,1536,1536
1540483236,256,256
1540487703,256,256
1540492203,256,256
1540495099,256,256
1540499406,512,512
1540563322,768,768
1540564203,256,256
1540567168,256,256
1540570686,256,256
1540575004,256,256
1540577955,256,256
1540585803,256,256
1540593003,256,256
1540600286,512,512
1540607408,256,256
1540650620,768,768
1540660502,256,256
1540664102,256,256
1540665003,256,256
1540679403,256,256
1540733577,768,768
1540737114,512,512
1540744218,256,256
1540751599,256,256
1540773036,256,256
1540827021,768,768
1540852226,256,256
1540920623,768,768
1540924214,256,256
1540945829,256,256
1540949433,256,256
1540999341,768,768
1541005223,256,256
1541025003,256,256
1541089084,1024,1024
1541103751,256,256
1541110694,256,256
1541118603,512,512
1541172610,512,512
1541175643,256,256
1541190609,256,256
1541197806,256,256
1541205003,256,256
1541259018,768,768
1541269825,256,256
1541284219,256,256
1541286029,256,256
1541291427,256,256
1541343634,256,256
1541349468,1280,1280
1541353137,256,256
1541367234,256,256
1541372449,256,256
1541378367,256,256
1541393435,256,256
1541424656,512,512
1541431822,256,256
1541439023,512,512
1541444422,256,256
1541446228,256,256
1541453412,512,512
1541460729,256,256
1541464203,256,256
1541517351,512,512
1541518224,256,256
1541527223,256,256
1541530836,256,256
1541532602,256,256
1541607320,256,256
1541611870,256,256
1541617224,256,256
1541619005,256,256
1541628903,256,256
1541634032,256,256
1541637030,256,256
1541679323,1280,1280
1541683677,256,256
1541698098,256,256
1541705726,256,256
1541719833,256,256
1541780128,768,768
1541785421,256,256
1541792348,256,256
1541809839,256,256
1541813695,256,256
1541833248,256,256
1541866527,768,768
1541871908,256,256
1541892769,256,256
1541960126,1024,1024
1541964414,256,256
1541979088,256,256
1541989826,256,256
1541991626,256,256
1542035718,1024,1024
1542043817,512,512
1542058162,256,256
1542068348,512,512
1542071998,256,256
1542074433,256,256
1542092457,256,256
1542125722,768,768
1542130302,256,256
1542135625,256,256
1542137635,256,256
1542204903,512,512
1542205817,256,256
1542209413,256,256
1542222022,512,512
1542223821,256,256
1542231020,256,256
1542236428,256,256
1542238209,512,512
1542241030,256,256
1542248132,256,256
1542298525,1792,1792
1542303022,512,512
1542310204,256,256
1542317424,512,512
1542323947,512,512
1542329105,256,256
1542381325,1280,1280
1542382306,256,256
1542384020,256,256
1542387622,256,256
1542389476,256,256
1542391223,256,256
1542394821,256,256
1542396867,256,256
1542414624,256,256
1542471319,1024,1024
1542475826,256,256
1542481222,256,256
1542483903,256,256
1542490230,512,512
1542497433,512,512
1542506086,256,256
1542557717,768,768
1542569445,256,256
1542576680,256,256
1542584011,256,256
1542587431,256,256
1542641769,768,768
1542663031,256,256
1542730531,768,768
1542731652,256,256
1542733227,256,256
1542739653,256,256
1542742219,256,256
1542783652,256,256
1542814778,768,768
1542821468,256,256
1542826830,256,256
1542828791,256,256
1542843028,256,256
1542846634,256,256
1542907189,1024,1024
1542913242,256,256
1542922223,256,256
1542929410,256,256
1542933009,256,256
1542956454,256,256
1542990310,768,768
1542994056,256,256
1543019725,256,256
1543073429,512,512
1543080606,256,256
1543082419,256,256
1543083777,256,256
1543086903,256,256
1543087803,256,256
1543095005,256,256
1543102711,256,256
1543105830,256,256
1543116610,256,256
1543163403,1024,1024
1543166687,256,256
1543174203,256,256
1543181225,256,256
1543246204,256,256
1543275483,256,256
1543282814,256,256
1543284903,256,256
1543336489,512,512
1543348821,256,256
1543361418,256,256
1543370134,256,256
1543415546,1024,1024
1543419443,256,256
1543426220,512,512
1543431604,256,256
1543435223,256,256
1543440638,256,256
1543447818,256,256
1543455024,256,256
1543506596,768,768
1543512639,256,256
1543518016,256,256
1543519839,256,256
1543541423,256,256
1543543231,256,256
1543579236,256,256
1543581016,256,256
1543582219,1024,1024
1543599016,256,256
1543707021,256,256
1543769306,768,768
1543780829,256,256
1543783571,256,256
1543786219,512,512
1543793424,512,512
1543797017,256,256
1543819761,256,256
1543840224,256,256
1543862796,1280,1280
1543942808,768,768
1543944603,256,256
1543951634,256,256
1544021513,512,512
1544023814,256,256
1544045403,256,256
1544108404,1024,1024
1544109858,256,256
1544117404,256,256
1544122804,256,256
1544139294,256,256
1544203804,768,768
1544211011,256,256
1544245227,256,256
1544246183,0,1792
1544248071,1792,0
1544293884,512,512
1544304615,256,256
1544311821,256,256
1544319033,256,256
1544384917,768,768
1544454003,768,768
1544455829,256,256
1544477409,256,256
1544493621,256,256
1544549413,1024,1024
1544560217,256,256
1544571013,256,256
1544578204,256,256
1544598010,256,256
1544626062,1280,1280
1544628605,256,256
1544635811,512,512
1544650555,256,256
1544726083,512,512
1544742020,256,256
1544802511,768,768
1544805210,256,256
1544806830,256,256
1544814018,256,256
1544816705,256,256
1544817708,256,256
1544896003,512,512
1544902229,256,256
1544979052,1024,1024
1544980628,256,256
1544988343,512,512
1545006624,256,256
1545012019,256,256
1545031803,256,256
1545067654,1280,1280
1545073206,256,256
1545074217,256,256
1545078633,256,256
1545082312,256,256
1545089646,256,256
1545098417,256,256
1545151611,512,512
1545160503,256,256
1545161754,256,256
1545166803,256,256
1545168606,256,256
1545241596,512,512
1545255029,256,256
1545262218,256,256
1545265844,256,256
1545328829,768,768
1545352208,256,256
1545419056,256,256
1545420615,256,256
1545424227,256,256
1545499803,768,768
1545503414,256,256
1545521679,256,256
1545525017,256,256
1545591058,1280,1280
1545669995,768,768
1545672617,256,256
1545681632,256,256
1545683414,256,256
1545687003,256,256
1545694310,256,256
1545756724,1024,1024
1545763593,256,256
1545766218,256,256
1545773405,256,256
1545845406,1536,1536
1545847220,256,256
1545849032,256,256
1545852453,256,256
1545867005,512,512
1545922804,512,512
1545924614,256,256
1545939101,256,256
1545947277,256,256
1546012807,1280,1280
1546014603,256,256
1546016436,256,256
1546019274,256,256
1546038022,256,256
1546040828,256,256
1546077603,256,256
1546104609,768,768
1546126215,256,256
1546188478,512,512
1546198230,256,256
1546205420,256,256
1546271469,512,512
1546354863,768,768
1546524010,512,512
1546536628,256,256
1546538429,256,256
1546551022,256,256
1546613234,512,512
1546615814,256,256
1546622561,256,256
1546625735,256,256
1546630216,256,256
1546637415,256,256
1546647728,256,256
1546651824,256,256
1546696812,512,512
1546723861,256,256
1546731015,256,256
1546736424,256,256
1546740011,256,256
