DateTime,AddedIPs,RemovedIPs
1542947400,539,480
1542954600,487,518
1542961800,479,463
1542969000,250,253
1542976200,191,190
1542983400,170,172
1542990600,128,123
1542997800,148,140
1543005000,103,110
1543012200,72,80
1543019400,871,883
1543026600,616,647
1543033800,525,474
1543041000,486,495
1543048200,476,451
1543055400,295,310
1543062600,172,177
1543069800,120,122
1543077000,103,106
1543084200,157,162
1543091400,93,91
1543098600,93,107
1543105800,881,866
1543113000,594,648
1543120200,446,401
1543127400,510,486
1543134600,503,526
1543141800,421,414
1543149000,263,262
1543156200,138,143
1543163400,120,118
1543170600,142,132
1543177800,129,124
1543185000,108,114
1543192200,878,886
1543199400,563,582
1543206600,549,519
1543213800,477,467
1543221000,409,419
1543228200,207,217
1543235400,172,179
1543242600,167,168
1543249800,136,129
1543257000,130,132
1543264200,92,106
1543271400,101,104
1543279200,606,860
1543286400,688,451
1543293600,652,609
1543300800,509,494
1543308000,358,365
1543315200,191,191
1543322400,202,199
1543329600,107,105
1543336800,161,174
1543344000,168,175
1543351200,56,65
1543423200,861,870
1543430400,85,62
1543437600,71,82
1543444800,78,74
1543452000,852,877
1543459200,616,621
1543466400,520,473
1543473600,397,421
1543480800,268,280
1543488000,230,224
1543495200,204,197
1543502400,216,213
1543509600,136,139
1543516800,144,143
1543524000,168,167
1543531200,74,73
1543538400,14,872
1543545600,833,10
1543552800,619,564
1543560000,453,462
1543567200,347,358
1543574400,199,199
1543581600,186,183
1543588800,135,129
1543596000,143,142
1543603200,123,122
1543610400,48,49
1543617600,37,41
1543624800,812,880
1543632000,652,591
1543639200,539,514
1543646400,524,532
1543653600,363,370
1543660800,161,159
1543668000,171,169
1543675200,124,128
1543682400,124,115
1543689600,87,88
1543696800,95,95
1543704000,51,56
1543711200,855,886
1543718400,595,598
1543725600,464,428
1543732800,488,478
1543740000,465,460
1543747200,242,258
1543754400,200,212
1543761600,147,152
1543768800,128,132
1543776000,124,131
1543783200,86,77
1543790400,117,124
1543797600,871,860
1543804800,650,666
1543812000,589,577
1543819200,455,445
1543826400,326,287
1543833600,173,177
1543840800,166,168
1543848000,119,120
1543855200,133,141
1543862044,101,102
1543868763,104,104
1543875243,64,62
1543881723,882,903
1543888442,695,726
1543898042,516,493
1543904763,435,420
1543911003,224,228
1543917723,55,56
1543927563,268,278
1543933802,136,130
1543940283,128,133
1543947003,81,86
1543953488,80,82
1543963082,71,72
1543969324,872,867
1543975563,627,666
1543982042,612,562
1543992122,449,440
1543998603,387,409
1544005083,192,194
1544011568,210,210
1544018042,199,186
1544027402,143,146
1544033642,103,106
1544040363,118,119
1544050683,70,72
1544053810,884,871
1544063642,761,751
1544070123,594,579
1544076604,442,441
1544082842,267,277
1544092443,195,201
1544099162,200,211
1544105644,94,98
1544112123,214,208
1544121723,16,20
1544202843,871,882
1544214123,33,34
1544217242,115,108
1544226606,866,874
1544236682,802,778
1544243163,495,493
1544249644,275,278
1544256363,245,260
1544264523,175,177
1544271013,165,171
1544277723,125,131
1544287562,106,103
1544294042,345,347
1544385483,852,864
1544391965,94,92
1544398442,104,99
1544401803,877,856
1544408042,633,627
1544414523,508,501
1544424123,335,349
1544430362,239,248
1544436842,193,211
1544443324,161,145
1544450283,174,174
1544460123,107,114
1544466363,191,180
1544472603,134,141
1544479083,82,74
1544488683,887,873
1544495162,642,668
1544501404,564,543
1544507642,521,533
1544517002,327,337
1544523242,205,205
1544529483,213,210
1544538843,120,119
1544545322,129,123
1544551581,111,108
1544561162,157,153
1544567404,87,93
1544573642,890,871
1544580123,690,721
1544588523,519,508
1544595004,483,475
1544601482,281,290
1544611322,177,191
1544617563,124,141
1544623803,168,183
1544630283,132,135
1544640122,83,76
1544646846,113,100
1544653324,91,58
1544659563,884,873
1544666043,668,679
1544675882,568,535
1544682365,483,485
1544688842,382,386
1544695082,205,223
1544704923,176,172
1544711403,99,96
1544717884,108,118
1544724123,121,118
1544733962,101,106
1544740203,95,90
1544746683,876,882
1544752923,597,641
1544762523,606,558
1544769002,495,503
1544775483,512,509
1544781963,319,327
1544791322,166,168
1544797564,288,271
1544804042,128,129
1544810283,141,139
1544819883,95,107
1544826364,90,95
1544833083,840,866
1544839562,679,664
1544847722,577,551
1544853965,510,513
1544860247,460,451
1544869803,284,298
1544876042,135,146
1544882283,129,127
1544891642,153,131
1544898122,112,106
1544908442,90,99
1544911802,55,56
1544918043,855,882
1544927643,552,568
1544934123,542,488
1544940363,480,484
1544949723,361,360
1544955962,205,200
1544962450,214,216
1544968683,108,118
1544978282,102,113
1544984523,93,79
1544990763,93,101
1545000123,70,66
1545006364,884,882
1545012602,622,648
1545018843,490,457
1545028442,503,515
1545035162,384,388
1545041403,198,203
1545047882,165,167
1545057242,111,98
1545063723,136,134
1545069962,133,144
1545079323,108,106
1545085563,53,60
1545092764,863,867
1545099002,559,576
1545105242,533,494
1545114844,529,524
1545121563,396,408
1545128043,193,213
1545134523,185,185
1545144122,188,171
1545150603,110,110
1545156843,78,76
1545165242,129,135
1545171722,45,48
1545177962,876,868
1545187323,596,614
1545193562,542,510
1545200042,545,546
1545206523,396,390
1545216122,202,214
1545222363,201,206
1545228602,178,171
1545234842,126,123
1545244442,98,95
1545250922,97,96
1545257405,81,93
1545263883,867,880
1545270613,562,568
1545280203,501,480
1545286442,553,541
1545292924,471,469
1545301324,257,282
1545307811,190,177
1545314043,85,97
1545323403,111,110
1545329644,174,181
1545336123,111,117
1545345722,118,122
1545352202,862,856
1545358683,645,670
1545364923,569,528
1545374522,554,548
1545380762,471,476
1545387244,285,306
1545393483,179,165
1545402842,173,174
1545409562,136,128
1545416043,132,128
1545422283,200,197
1545432124,56,58
1545438362,884,884
1545444843,601,625
1545451082,510,476
1545460442,547,535
1545466682,494,504
1545473162,352,354
1545479642,191,206
1545489243,111,107
1545495722,109,123
1545501963,105,108
1545511323,125,130
1545517804,82,69
1545524043,739,874
1545530284,661,554
1545539644,511,468
1545546123,499,494
1545552362,496,477
1545560523,402,422
1545566768,224,220
1545573483,154,165
1545583322,145,147
1545589802,122,120
1545596523,117,121
1545602763,96,95
1545609007,844,883
1545618362,563,550
1545624604,519,499
1545630842,467,451
1545640442,462,468
1545646923,263,268
1545657003,169,176
1545660123,137,148
1545669722,89,87
1545675963,127,122
1545682203,115,126
1545688683,65,64
1545698042,853,861
1545704522,586,580
1545711002,502,446
1545717242,496,516
1545727083,446,444
1545733322,249,260
