DateTime,Entries,UniqueIPs
1542947400,905,905
1542954600,874,874
1542961800,890,890
1542969000,887,887
1542976200,888,888
1542983400,886,886
1542990600,891,891
1542997800,899,899
1543005000,892,892
1543012200,884,884
1543019400,872,872
1543026600,841,841
1543033800,892,892
1543041000,883,883
1543048200,908,908
1543055400,893,893
1543062600,888,888
1543069800,886,886
1543077000,883,883
1543084200,878,878
1543091400,880,880
1543098600,866,866
1543105800,881,881
1543113000,827,827
1543120200,872,872
1543127400,896,896
1543134600,873,873
1543141800,880,880
1543149000,881,881
1543156200,876,876
1543163400,878,878
1543170600,888,888
1543177800,893,893
1543185000,887,887
1543192200,879,879
1543199400,860,860
1543206600,890,890
1543213800,900,900
1543221000,890,890
1543228200,880,880
1543235400,873,873
1543242600,872,872
1543249800,879,879
1543257000,877,877
1543264200,863,863
1543271400,860,860
1543279200,606,606
1543286400,843,843
1543293600,886,886
1543300800,901,901
1543308000,894,894
1543315200,894,894
1543322400,897,897
1543329600,899,899
1543336800,886,886
1543344000,879,879
1543351200,870,870
1543423200,861,861
1543430400,884,884
1543437600,873,873
1543444800,877,877
1543452000,852,852
1543459200,847,847
1543466400,894,894
1543473600,870,870
1543480800,858,858
1543488000,864,864
1543495200,871,871
1543502400,874,874
1543509600,871,871
1543516800,872,872
1543524000,873,873
1543531200,874,874
1543538400,16,16
1543545600,839,839
1543552800,894,894
1543560000,885,885
1543567200,874,874
1543574400,874,874
1543581600,877,877
1543588800,883,883
1543596000,884,884
1543603200,885,885
1543610400,884,884
1543617600,880,880
1543624800,812,812
1543632000,873,873
1543639200,898,898
1543646400,890,890
1543653600,883,883
1543660800,885,885
1543668000,887,887
1543675200,883,883
1543682400,892,892
1543689600,891,891
1543696800,891,891
1543704000,886,886
1543711200,855,855
1543718400,852,852
1543725600,888,888
1543732800,898,898
1543740000,903,903
1543747200,887,887
1543754400,875,875
1543761600,870,870
1543768800,866,866
1543776000,859,859
1543783200,868,868
1543790400,861,861
1543797600,872,872
1543804800,856,856
1543812000,868,868
1543819200,878,878
1543826400,917,917
1543833600,913,913
1543840800,911,911
1543848000,910,910
1543855200,902,902
1543862044,901,901
1543868763,901,901
1543875243,903,903
1543881723,882,882
1543888442,851,851
1543898042,874,874
1543904763,889,889
1543911003,885,885
1543917723,884,884
1543927563,874,874
1543933802,880,880
1543940283,875,875
1543947003,870,870
1543953488,868,868
1543963082,867,867
1543969324,872,872
1543975563,833,833
1543982042,883,883
1543992122,892,892
1543998603,870,870
1544005083,868,868
1544011568,868,868
1544018042,881,881
1544027402,878,878
1544033642,875,875
1544040363,874,874
1544050683,872,872
1544053810,885,885
1544063642,895,895
1544070123,910,910
1544076604,911,911
1544082842,901,901
1544092443,895,895
1544099162,884,884
1544105644,880,880
1544112123,886,886
1544121723,882,882
1544202843,871,871
1544214123,870,870
1544217242,877,877
1544226606,869,869
1544236682,893,893
1544243163,895,895
1544249644,892,892
1544256363,877,877
1544264523,875,875
1544271013,869,869
1544277723,863,863
1544287562,866,866
1544294042,864,864
1544385483,852,852
1544391965,854,854
1544398442,859,859
1544401803,880,880
1544408042,886,886
1544414523,893,893
1544424123,879,879
1544430362,870,870
1544436842,852,852
1544443324,868,868
1544450283,868,868
1544460123,861,861
1544466363,872,872
1544472603,865,865
1544479083,873,873
1544488683,887,887
1544495162,861,861
1544501404,882,882
1544507642,870,870
1544517002,860,860
1544523242,860,860
1544529483,863,863
1544538843,864,864
1544545322,870,870
1544551581,873,873
1544561162,877,877
1544567404,871,871
1544573642,890,890
1544580123,859,859
1544588523,870,870
1544595004,878,878
1544601482,869,869
1544611322,855,855
1544617563,838,838
1544623803,823,823
1544630283,820,820
1544640122,827,827
1544646846,840,840
1544653324,873,873
1544659563,884,884
1544666043,873,873
1544675882,906,906
1544682365,904,904
1544688842,900,900
1544695082,882,882
1544704923,886,886
1544711403,889,889
1544717884,879,879
1544724123,882,882
1544733962,877,877
1544740203,882,882
1544746683,876,876
1544752923,832,832
1544762523,880,880
1544769002,872,872
1544775483,875,875
1544781963,867,867
1544791322,865,865
1544797564,882,882
1544804042,881,881
1544810283,883,883
1544819883,871,871
1544826364,866,866
1544833083,840,840
1544839562,855,855
1544847722,881,881
1544853965,878,878
1544860247,887,887
1544869803,873,873
1544876042,862,862
1544882283,864,864
1544891642,886,886
1544898122,892,892
1544908442,883,883
1544911802,882,882
1544918043,855,855
1544927643,839,839
1544934123,893,893
1544940363,889,889
1544949723,890,890
1544955962,895,895
1544962450,893,893
1544968683,883,883
1544978282,872,872
1544984523,886,886
1544990763,878,878
1545000123,882,882
1545006364,884,884
1545012602,858,858
1545018843,891,891
1545028442,879,879
1545035162,875,875
1545041403,870,870
1545047882,868,868
1545057242,881,881
1545063723,883,883
1545069962,872,872
1545079323,874,874
1545085563,867,867
1545092764,863,863
1545099002,846,846
1545105242,885,885
1545114844,890,890
1545121563,878,878
1545128043,858,858
1545134523,858,858
1545144122,875,875
1545150603,875,875
1545156843,877,877
1545165242,871,871
1545171722,868,868
1545177962,876,876
1545187323,858,858
1545193562,890,890
1545200042,889,889
1545206523,895,895
1545216122,883,883
1545222363,878,878
1545228602,885,885
1545234842,888,888
1545244442,891,891
1545250922,892,892
1545257405,880,880
1545263883,867,867
1545270613,861,861
1545280203,882,882
1545286442,894,894
1545292924,896,896
1545301324,871,871
1545307811,884,884
1545314043,872,872
1545323403,873,873
1545329644,866,866
1545336123,860,860
1545345722,856,856
1545352202,862,862
1545358683,837,837
1545364923,878,878
1545374522,884,884
1545380762,879,879
1545387244,858,858
1545393483,872,872
1545402842,871,871
1545409562,879,879
1545416043,883,883
1545422283,886,886
1545432124,884,884
1545438362,884,884
1545444843,860,860
1545451082,894,894
1545460442,906,906
1545466682,896,896
1545473162,894,894
1545479642,879,879
1545489243,883,883
1545495722,869,869
1545501963,866,866
1545511323,861,861
1545517804,874,874
1545524043,739,739
