DateTime,AddedIPs,RemovedIPs
1546297713,172,191
1546298102,173,0
1546299380,195,183
1546300355,17,43
1546300838,168,177
1546301702,137,2684
1546302278,16,0
1546302752,225,209
1546303209,36,0
1546304170,20,17
1546304453,225,0
1546305302,141,0
1546306089,181,179
1546307055,18,0
1546308022,16,9
1546309000,383,406
1546309943,15,14
1546311887,248,268
1546312502,138,0
1546313773,19,9
1546314035,207,298
1546315484,232,0
1546315939,17,9
1546316101,118,0
1546316921,171,0
1546317854,7,10
1546318570,205,0
1546319773,145,24
1546320269,198,207
1546321244,156,256
1546321715,9,16
1546322419,0,132
1546322659,166,0
1546323618,159,12
1546326759,238,0
1546326902,204,0
1546327470,9,33
1546328649,206,219
1546329366,18,20
1546330341,191,0
1546330502,145,0
1546331309,16,16
1546333219,10,10
1546333478,192,439
1546334102,163,0
1546335159,11,8
1546336597,208,0
1546337059,14,18
1546338009,169,0
1546338278,172,230
1546338988,5,16
1546340909,7,6
1546341302,142,0
1546343556,6,1
1546344901,139,0
1546345456,16,11
1546347372,297,769
1546348502,134,0
1546349310,18,0
1546351221,20,19
1546352102,141,0
1546353134,22,17
1546354357,288,362
1546355078,14,12
1546355701,109,0
1546356970,22,14
1546359177,21,14
1546359302,135,0
1546361077,15,9
1546362729,282,882
1546362974,126,15
1546365137,21,20
1546365393,214,313
1546366502,120,0
1546367048,19,15
1546367559,200,173
1546368992,10,23
1546369450,189,190
1546370102,124,0
1546370890,16,17
1546371152,169,326
1546372822,7,21
1546373580,202,0
1546373702,124,0
1546374732,5,0
1546375233,193,0
1546376681,4,11
1546377302,161,0
1546378360,194,0
1546378813,8,42
1546379290,178,0
1546380761,17,23
1546380901,121,0
1546381455,204,0
1546382677,8,24
1546384109,187,347
1546384575,134,0
1546386270,178,333
1546386753,6,0
1546387286,164,155
1546388102,108,4065
1546388405,38,0
1546388662,6,14
1546389873,230,225
1546390590,9,36
1546391318,195,229
1546391701,121,0
1546392249,18,0
1546392738,8,15
1546392994,213,240
1546394651,13,15
1546395302,126,0
1546395636,237,239
1546396573,7,13
1546397070,215,0
1546398763,224,204
1546398902,90,0
1546400189,173,0
1546400656,15,18
1546402596,366,417
1546404494,12,8
1546404770,195,176
1546406102,98,0
1546406659,12,12
1546407158,229,389
1546408587,17,8
1546408820,182,178
1546409702,154,0
1546410489,260,200
1546412192,191,0
1546413301,352,0
1546414364,197,203
1546414813,16,23
1546416262,211,214
1546416777,21,17
1546416901,275,0
1546418654,8,17
1546419370,248,194
1546420576,315,12
1546422490,19,9
1546423218,44,36
1546424419,397,17
1546424677,254,368
1546426352,5,6
1546426840,238,289
1546427701,194,0
1546428253,5,6
1546430173,10,7
1546430682,238,0
1546431301,205,0
1546432113,25,15
1546433557,227,0
1546434038,17,19
1546434902,200,0
1546435457,256,226
1546435959,15,18
1546437881,23,25
1546438501,188,0
1546439790,17,20
1546441714,19,14
1546441936,254,277
1546442102,213,0
1546443157,194,0
1546443615,26,22
1546445595,17,15
1546445702,174,0
1546447454,16,0
1546447707,241,0
1546449374,178,13
1546450593,209,175
1546451309,20,9
1546453221,182,22
1546453932,58,23
1546454197,155,293
1546455154,14,13
1546456600,369,201
1546457076,18,14
1546457806,151,169
1546459492,223,24
1546460102,201,0
1546461616,20,5
1546463532,17,5
1546463701,172,0
1546464752,256,361
1546465452,12,7
1546467301,189,0
1546469295,17,21
1546469769,31,33
1546470902,149,0
1546471216,16,0
1546471945,262,746
1546473130,13,0
1546473638,38,35
1546474501,150,3498
1546475051,24,8
1546475555,246,397
1546477729,259,463
1546478102,141,0
1546480337,229,230
1546481556,22,24
1546481702,188,0
1546482016,202,0
1546483455,26,12
1546485137,230,412
1546485646,168,4
1546486093,180,206
1546487055,166,207
1546487544,12,16
1546488901,160,0
1546489478,196,209
1546491400,14,11
1546492502,180,0
1546493294,12,9
1546493556,255,225
1546495463,19,12
1546496170,387,393
1546497370,12,0
1546497879,201,242
1546499569,198,203
1546499702,209,0
1546501451,17,14
1546503393,260,17
1546505312,17,9
1546506902,206,0
1546507232,6,8
1546509142,22,20
1546510502,211,0
1546511070,3,1
1546512489,37,77
1546512967,6,4
1546514102,174,0
1546516841,19,11
1546517702,212,0
1546518765,18,26
1546520654,19,13
1546521376,716,1559
1546522567,22,16
1546524523,13,17
1546524901,173,0
1546526410,28,16
1546528353,25,14
1546528502,211,0
1546530253,18,17
1546532199,196,16
1546534362,16,14
1546535702,178,0
1546536255,12,10
1546538187,15,17
1546539385,496,1174
1546540338,24,16
1546542281,23,18
1546542902,186,0
1546544193,17,19
1546546344,16,13
1546546501,168,0
1546548256,18,16
1546550195,195,16
1546552093,18,11
1546553701,137,0
1546554014,17,0
1546554974,34,36
1546555934,13,17
1546557301,154,0
1546557852,19,16
1546560065,21,11
1546560901,151,4855
1546561937,16,14
1546562648,33,82
1546563856,19,0
1546564502,197,0
1546565777,21,10
1546566487,30,55
1546567713,21,0
1546568101,159,0
1546569608,15,16
1546571530,16,26
1546571702,157,0
1546573474,653,3272
1546575626,180,18
1546576118,262,268
1546577056,209,0
1546577561,15,19
1546578053,201,0
1546578901,171,0
1546579455,19,15
1546579708,232,0
1546580678,178,261
1546581398,15,12
1546582502,189,0
1546583286,10,18
1546585289,15,15
1546586205,469,1024
1546587178,19,30
1546589056,19,21
1546589702,190,0
1546590995,307,25
1546592894,20,25
1546593302,161,0
1546594366,214,0
1546594816,11,13
1546596778,277,25
1546596902,205,0
1546598169,30,0
1546598689,234,3
1546600570,383,6
1546601791,183,0
1546602514,10,0
1546603960,217,0
1546604421,519,16
1546604889,197,0
1546606380,20,14
1546607051,182,0
1546607702,210,0
1546608268,18,17
1546608735,181,378
1546610169,22,18
1546611135,178,0
1546611302,308,0
1546612112,20,11
1546612603,150,0
1546614255,12,27
1546614779,204,0
1546614901,198,0
1546615938,154,0
1546616434,15,22
1546617618,147,0
1546618581,204,13
1546619796,159,0
1546620760,20,10
1546622102,197,0
1546622676,193,0
1546624113,138,0
1546624594,15,39
1546625767,322,0
1546626494,14,0
1546627954,153,517
1546628453,8,22
1546629302,206,0
1546629639,187,0
1546630604,13,35
1546631286,146,0
1546632255,121,0
1546632762,10,15
1546632902,219,0
1546633934,125,0
1546634652,5,0
1546635639,164,0
1546636581,257,12
1546637088,120,0
1546638496,16,27
1546638992,149,0
1546640445,383,16
1546640895,31,38
1546642356,10,9
1546642868,164,0
1546643794,295,0
1546644252,12,0
1546646199,132,18
1546647301,160,4293
1546648360,18,33
1546648809,37,0
1546649061,192,0
1546650767,158,0
1546650901,183,0
1546652441,156,30
1546652891,23,24
1546654361,165,15
1546654502,173,0
1546656253,160,10
1546658172,192,14
1546658671,138,0
1546660360,11,13
1546661095,147,186
1546661701,162,0
1546662249,15,23
1546662757,166,148
1546664193,15,14
1546665157,162,290
1546665302,189,0
1546666093,109,20
1546667766,148,382
1546668283,8,9
1546668902,173,0
1546669570,141,0
1546670191,8,11
1546671159,167,0
1546672102,12,17
1546672595,318,0
1546674044,15,19
1546674748,161,199
1546676189,184,15
1546678118,214,186
1546679702,185,0
1546680019,12,18
1546680990,178,161
1546681931,18,10
1546683477,577,204
1546683880,36,34
1546685052,116,0
1546686024,12,7
1546686902,195,0
1546687448,151,166
1546687964,10,4
1546689875,11,11
1546690848,463,276
1546691775,12,15
1546693472,141,270
1546693939,15,16
1546694102,228,0
1546695636,137,145
1546696096,17,15
1546697313,137,0
1546697702,228,0
1546698034,16,20
1546698758,159,135
1546700468,126,154
1546701302,156,0
1546702353,135,266
1546704037,108,122
1546704563,12,15
1546704902,220,0
1546705686,140,0
1546706444,12,19
1546706891,128,144
1546708363,140,16
1546708502,247,0
1546710756,144,266
1546712197,305,124
1546713869,115,0
1546714334,12,14
1546715702,181,0
1546716032,165,125
1546716255,11,8
1546718193,157,273
1546719302,157,0
1546719871,115,105
1546720338,14,7
1546721313,114,120
1546722303,103,149
1546722902,209,0
1546723940,105,134
1546724439,11,15
1546726336,10,13
1546726502,150,0
1546727069,113,268
1546728262,17,12
1546728742,105,0
1546730179,224,11
1546730654,36,58
1546731185,122,277
1546733082,119,136
1546733701,186,4892
1546734012,12,26
1546734491,30,35
1546735235,126,0
1546735953,16,18
1546737137,129,139
1546737301,198,0
1546737849,9,0
1546738326,27,0
1546738813,139,152
1546739778,99,150
1546740902,204,0
1546741459,111,152
1546741944,15,15
1546742451,104,0
1546743863,10,7
1546744502,200,0
1546745072,114,279
1546746038,11,7
1546746802,106,0
1546747932,14,5
1546748102,210,0
1546748415,119,147
1546749850,11,9
1546750367,102,171
1546751701,200,0
1546752738,110,254
1546753699,108,0
1546753929,14,25
1546755302,214,0
1546755887,132,158
1546757770,124,326
1546758902,155,0
1546759241,112,132
1546760006,13,11
1546761639,152,156
1546762144,12,16
1546762502,209,0
1546763085,136,0
1546764015,23,11
1546765943,119,197
1546766102,215,0
1546767853,11,26
1546768099,150,163
1546769602,99,0
1546769702,293,0
1546771544,183,359
1546771941,3,21
