DateTime,AddedIPs,RemovedIPs
1546406163,0,76
1546406523,3,0
1546407068,52,0
1546407723,1,0
1546409019,2,1
1546410242,3,54
1546410723,57,0
1546411323,2,0
1546412563,0,1
1546413124,7,0
1546413723,2,0
1546414323,29,4
1546414923,1,0
1546416244,1,57
1546416723,1,0
1546417923,27,0
1546418523,1,0
1546419723,1,0
1546419821,0,2
1546421523,30,3
1546422123,8,0
1546423325,3,0
1546423923,2,1
1546424403,0,39
1546424523,3,0
1546425064,32,0
1546425723,2,0
1546426323,4,0
1546426959,1,1
1546428243,1,27
1546428723,19,0
1546430626,4,1
1546432083,0,31
1546432324,28,0
1546432923,4,0
1546434123,1,0
1546434724,3,6
1546435923,1,0
1546436523,4,0
1546437123,2,0
1546437763,36,5
1546438323,2,0
1546438805,0,46
1546439542,23,0
1546440123,4,0
1546440722,3,0
1546441362,0,2
1546442523,3,0
1546443181,26,3
1546443723,4,0
1546444563,14,42
1546445022,5,2
1546446683,40,0
1546447323,2,0
1546448524,6,0
1546449125,1,4
1546450322,1,0
1546451283,32,22
1546452162,0,35
1546452723,1,1
1546453323,1,0
1546453924,26,0
1546455123,2,0
1546455763,0,2
1546457523,32,3
1546458250,1,0
1546458722,1,0
1546459443,30,20
1546459923,4,0
1546460523,4,0
1546461122,21,0
1546462964,3,0
1546463524,1,52
1546464722,23,0
1546465924,14,0
1546467363,0,31
1546467723,1,0
1546468322,96,0
1546468923,3,0
1546470220,37,84
1546471322,4,0
1546473122,1,55
1546473725,2,0
1546474323,2,1
1546474923,2,0
1546475523,2,0
1546476122,1,0
1546477366,88,1
1546477924,1,0
1546479603,0,54
1546479723,10,0
1546480923,7,0
1546480967,0,1
1546482123,3,0
1546482724,26,0
1546483323,9,0
1546484523,3,0
1546484624,0,1
1546485605,0,31
1546485723,2,0
1546486323,63,0
1546486923,1,0
1546487523,1,0
1546488123,9,0
1546488724,7,1
1546489442,15,69
1546489922,83,0
1546490522,3,0
1546491122,7,0
1546491762,1,3
1546492323,1,0
1546492922,3,0
1546493482,52,5
1546494123,5,0
1546495446,0,128
1546496523,21,0
1546497067,56,0
1546497723,1,0
1546498323,5,0
1546498923,3,0
1546499523,1,42
1546500125,2,0
1546500674,47,0
1546501323,1,0
1546501923,1,0
1546502523,26,5
1546502561,0,4
1546503123,3,0
1546503362,5,19
1546504323,38,0
1546504923,2,0
1546505522,1,0
1546506123,2,0
1546507322,11,0
1546507905,27,4
1546508523,1,0
1546509127,0,49
1546509723,7,0
1546509763,0,1
1546510923,6,1
1546511523,35,0
1546512123,4,0
1546513363,2,0
1546514523,7,0
1546515067,30,5
1546515723,3,0
1546516966,5,0
1546517765,2,59
1546518124,1,0
1546518723,32,0
1546519323,4,0
1546520523,2,0
1546520625,0,4
1546521844,2,33
1546522323,29,0
1546522923,10,0
1546523523,1,0
1546524227,1,1
1546524723,4,0
1546525323,6,0
1546525682,0,34
1546526523,1,0
1546528323,2,0
1546529523,44,0
1546529762,5,23
1546530123,12,0
1546530723,1,0
1546531363,5,1
1546532523,1,0
1546533064,43,5
1546533603,0,54
1546533723,12,0
1546534323,4,0
1546534923,33,0
1546534965,0,1
1546536124,4,0
1546537323,3,0
1546538523,1,0
1546538567,0,3
1546539723,4,0
1546540324,2,0
1546540923,39,9
1546541523,1,0
1546542221,4,3
1546542723,1,0
1546543203,0,45
1546543887,29,0
1546544524,3,0
1546545123,1,0
1546545723,1,0
1546546323,0,2
1546547042,3,38
1546547474,37,0
1546548124,8,0
1546548723,1,0
1546549323,13,0
1546550163,0,30
1546550522,1,0
1546551124,42,0
1546551724,2,0
1546552965,2,0
1546554004,0,40
1546554123,5,0
1546554723,40,0
1546555323,4,0
1546556524,7,0
1546556566,0,1
1546557723,3,0
1546558277,29,9
1546558924,1,0
1546559523,4,0
1546560222,2,0
1546560962,9,33
1546561323,13,0
1546561923,3,0
1546562882,51,39
1546563122,1,0
1546563779,3,28
1546564323,10,0
1546564924,1,0
1546565523,10,0
1546566122,42,0
1546567370,21,0
1546568523,6,0
1546569078,22,1
1546569724,3,0
1546570563,1,23
1546571024,5,0
1546572123,10,0
1546572484,0,21
1546572707,56,0
1546573323,5,0
1546573923,3,0
1546574524,4,0
1546574622,0,2
1546575606,0,74
1546575723,8,0
1546576322,66,0
1546576923,1,0
1546577523,1,0
1546578225,9,0
1546579443,9,76
1546579923,49,0
1546580524,8,0
1546581723,3,0
1546581828,1,1
1546582323,3,0
1546583523,2,0
1546584123,22,0
1546584723,4,0
1546585362,89,10
1546586163,9,72
1546586523,7,0
1546587123,7,1
1546587723,3,0
1546588323,3,0
1546588962,28,9
1546589523,6,0
1546590123,2,0
1546591323,13,0
1546591923,7,16
1546592523,1,0
1546592622,0,1
1546593722,1,0
1546594922,1,0
1546595524,1,0
1546596123,38,3
1546596168,0,1
1546597206,0,53
1546597323,4,0
1546598523,4,0
1546599122,4,0
1546599723,62,0
1546600323,0,1
1546601042,6,43
1546602123,3,0
1546602724,1,0
1546603425,9,0
1546605123,31,5
1546605724,5,0
1546606323,4,0
1546606923,1,0
1546607523,20,1
1546608004,0,48
1546608123,1,0
1546608722,1,0
1546610564,32,0
1546611123,2,0
1546611723,2,0
1546612323,21,3
1546613523,1,0
1546614243,2,62
1546614723,2,0
1546615323,2,0
1546615865,27,0
1546617822,2,1
1546618325,6,0
1546618924,2,0
1546620123,4,0
1546620723,31,27
1546621373,2,24
1546622523,5,0
1546623073,33,0
1546623724,7,0
1546624968,3,1
1546626123,5,0
1546626723,25,6
1546627323,4,0
1546628441,0,47
1546628567,20,1
1546629722,10,0
1546630338,24,0
1546632122,6,0
1546632724,1,0
1546633322,3,0
1546633923,10,0
1546634643,22,36
1546635762,2,1
1546636326,8,0
1546636923,2,0
1546638123,1,0
1546638482,32,32
1546639370,23,31
1546639923,4,0
1546640522,1,0
1546641722,3,0
1546642323,2,0
1546643022,20,3
1546644123,2,0
1546645323,3,0
1546646163,0,48
1546646566,1,0
1546647723,4,0
1546648323,56,0
1546648923,2,0
1546650123,40,2
1546651325,2,0
1546651922,1,0
1546652405,2,28
1546652524,2,0
1546653123,3,0
1546653828,9,0
1546654923,5,0
1546656123,9,0
1546656723,3,0
1546657323,25,2
1546658162,0,61
1546658523,1,0
1546659123,53,0
1546659723,1,0
1546660924,2,0
1546661523,0,1
1546662242,2,65
1546663323,72,0
1546664628,3,0
1546665723,2,0
1546666083,42,75
1546666359,1,44
1546666923,2,0
1546668167,1,2
1546669324,2,0
1546669903,49,0
1546670522,2,0
1546671123,2,0
1546671723,2,0
1546672083,0,39
1546673524,1,0
1546674123,3,0
1546675363,45,1
1546675923,2,0
1546677123,26,5
1546678323,2,0
1546678968,0,1
1546680004,0,51
1546680122,1,0
1546682522,44,0
1546682568,0,2
1546683843,1,31
1546684276,28,0
1546684923,2,0
1546685522,2,0
1546686122,3,0
1546687323,2,0
1546688523,1,0
1546689123,35,24
1546689723,1,31
1546690322,1,0
1546691465,25,0
1546693324,3,0
1546693923,10,1
1546695065,36,5
1546695124,1,0
1546695723,4,0
1546696323,4,0
1546697023,3,0
1546698123,2,0
1546698485,0,53
1546698723,35,0
1546699322,1,0
1546699923,6,0
1546700565,1,0
1546701124,1,0
1546701723,9,0
1546702922,30,3
1546703522,3,28
1546704167,6,1
1546704724,6,0
1546705924,32,4
1546707122,1,0
1546707723,1,0
1546707769,0,3
1546708812,4,19
1546708924,8,0
1546709523,26,5
1546710123,1,0
1546710723,6,57
1546711323,2,0
1546711424,0,1
1546712523,1,0
1546713086,23,0
1546713723,1,0
1546714923,1,0
1546715029,1,1
1546716665,41,2
1546717323,4,0
1546718524,2,0
1546719123,0,3
1546719363,2,24
1546719723,1,0
1546721282,0,36
1546721523,1,0
1546722169,41,0
1546723203,0,29
1546723323,2,0
1546723922,21,0
1546724523,3,0
1546725766,1,0
1546726923,10,0
1546728123,5,0
1546728723,2,0
1546729367,25,3
1546730163,0,69
1546730522,2,0
1546731069,32,0
1546731723,1,0
1546732323,3,0
1546733026,1,4
1546734003,0,30
1546734123,4,0
1546734723,8,0
1546735923,1,0
1546736523,58,0
1546737123,2,0
1546737722,8,0
1546738323,80,40
1546738923,1,0
1546739763,2,56
1546740166,4,0
1546741324,9,0
1546741922,29,0
1546742523,4,0
1546743123,1,0
1546743825,3,25
1546744922,1,0
1546745523,2,0
1546746003,77,0
1546747323,7,37
1546748523,1,0
1546749123,2,71
1546749723,1,0
1546750923,84,0
1546751523,1,0
1546752005,0,82
1546752123,2,0
1546753323,3,0
1546754564,51,0
1546755843,2,47
1546756335,58,0
1546756923,1,0
1546758124,2,0
1546758166,0,3
1546758723,18,0
1546759323,1,0
1546759924,35,35
1546760523,1,0
1546761123,1,0
1546761825,3,0
1546762325,7,0
1546762924,1,0
1546763522,20,3
1546764006,3,21
1546765365,56,16
1546767064,39,48
1546767724,1,0
1546769023,3,1
1546770003,0,43
1546770124,2,0
1546770665,32,0
1546772524,1,0
1546773123,0,2
