DateTime,AddedIPs,RemovedIPs
1546314303,59,104
1546314967,62,62
1546315938,32,11
1546316606,66,73
1546317006,36,0
1546317854,81,160
1546319772,112,106
1546321714,104,90
1546322168,35,28
1546323617,16,13
1546325530,209,183
1546326903,135,77
1546327469,10,15
1546327819,39,0
1546329365,9,12
1546329626,87,60
1546330447,115,84
1546331308,16,20
1546332128,114,95
1546333218,5,20
1546334103,106,104
1546335158,16,9
1546335610,123,142
1546337057,16,21
1546337108,87,131
1546337648,36,0
1546338986,20,20
1546339327,127,88
1546340170,58,28
1546340908,19,847
1546342507,111,153
1546343555,76,55
1546344855,179,103
1546345454,365,0
1546345687,79,0
1546346530,67,103
1546347367,25,8
1546347376,39,37
1546347652,14,90
1546349308,20,8
1546349424,64,0
1546350309,85,89
1546351219,35,22
1546352104,90,150
1546353132,23,9
1546355076,162,110
1546355706,766,0
1546356968,66,726
1546357328,101,1137
1546358405,79,196
1546359175,16,11
1546359307,105,271
1546360088,58,0
1546361075,16,11
1546361707,119,154
1546362972,16,12
1546363687,148,79
1546365135,21,13
1546365629,125,108
1546367046,9,10
1546367461,56,195
1546367710,87,96
1546368990,13,11
1546369223,80,28
1546370102,66,56
1546370888,23,11
1546371309,75,103
1546372819,18,24
1546373708,175,106
1546374730,40,19
1546375503,157,103
1546376679,30,13
1546377316,192,142
1546378210,60,0
1546378810,54,19
1546380146,135,176
1546380759,121,106
1546381823,105,0
1546382674,34,20
1546384580,315,225
1546385287,48,0
1546386128,63,94
1546386754,40,47
1546388108,159,100
1546388663,350,0
1546389308,103,74
1546390590,133,7
1546391712,86,111
1546392739,46,9
1546393508,164,107
1546394651,34,16
1546395261,120,93
1546396573,44,9
1546397130,181,104
1546397771,73,31
1546398760,33,6
1546398910,122,60
1546400655,20,9
1546400704,128,84
1546401367,45,1
1546402593,35,11
1546403885,79,137
1546404494,105,134
1546406658,254,130
1546407728,112,147
1546408587,29,14
1546409704,107,111
1546410485,22,11
1546410488,65,0
1546411327,41,108
1546412661,74,11
1546413309,73,100
1546414088,77,0
1546414813,39,19
1546416025,139,159
1546416777,28,21
1546416848,119,70
1546418653,37,11
1546418833,141,105
1546420576,182,106
1546421436,94,131
1546422490,40,13
1546422909,157,0
1546424418,38,27
1546425033,86,115
1546426352,166,129
1546427714,142,40
1546428252,23,1013
1546428620,152,105
1546430172,146,113
1546430426,67,33
1546432112,497,73
1546432380,115,151
1546434037,50,9
1546434911,235,112
1546435958,135,12
1546436529,70,82
1546437880,128,47
1546438448,82,63
1546439789,48,22
1546440402,61,896
1546441713,50,19
1546443016,311,104
1546443614,32,21
1546444568,133,137
1546445594,44,17
1546446487,224,67
1546447453,134,119
1546449372,181,97
1546449607,123,1
1546450807,92,110
1546451308,42,12
1546452027,82,107
1546453220,42,17
1546453695,131,9
1546455153,21,10
1546456503,215,176
1546457074,20,14
1546457721,69,0
1546459481,277,120
1546460108,86,55
1546461614,48,12
1546461729,132,103
1546463530,27,9
1546463647,179,118
1546464487,66,0
1546465450,34,17
1546466457,160,68
1546467366,36,19
1546468230,162,107
1546469293,115,74
1546471214,251,85
1546471829,69,0
1546473130,37,25
1546473424,91,152
1546474216,73,65
1546475052,353,0
1546476609,194,86
1546477720,92,19
1546478118,106,104
1546479609,29,10
1546479748,104,98
1546481556,32,10
1546482626,125,83
1546483455,194,174
1546484168,78,49
1546485646,31,19
1546486221,102,87
1546487544,153,122
1546488917,86,114
1546489476,29,18
1546490528,183,82
1546491400,30,21
1546492219,137,76
1546493294,30,17
1546494167,166,107
1546495462,39,11
1546496047,123,143
1546497371,27,17
1546498579,207,80
1546499559,32,13
1546500488,116,110
1546501451,28,10
1546501629,95,143
1546503392,40,10
1546504071,113,61
1546504087,68,1
1546504928,64,132
1546505312,36,11
1546505768,98,43
1546507232,45,12
1546509141,226,225
1546509379,107,0
1546511069,27,22
1546512128,188,219
1546512966,37,31
1546513811,139,122
1546514889,35,1221
1546515904,98,152
1546516840,690,1
1546517714,224,130
1546518764,88,18
1546519328,96,73
1546520653,49,21
1546521248,148,113
1546522566,41,39
1546523104,83,114
1546524522,636,53
1546524909,110,67
1546525687,74,0
1546526409,42,40
1546526527,62,64
1546527617,94,42
1546528352,38,22
1546529417,145,99
1546530252,27,20
1546531209,151,150
1546532198,198,173
1546532887,154,3
1546533728,57,107
1546534360,39,34
1546534576,54,3
1546536253,132,179
1546536628,255,0
1546537327,130,123
1546538185,44,28
1546538429,318,48
1546540337,222,105
1546540927,101,89
1546542280,43,26
1546543688,281,99
1546544192,47,30
1546545309,122,129
1546546343,65,34
1546547287,184,143
1546548254,93,160
1546550193,146,179
1546551022,81,109
1546552091,32,36
