DateTime,AddedIPs,RemovedIPs
1546290723,8,0
1546291322,6,0
1546292523,1,1
1546293123,1,1
1546293723,6,2
1546294923,1,0
1546296123,5,1
1546296724,3,1
1546297323,4,0
1546297924,1,1
1546298523,0,2
1546299723,3,2
1546300924,3,62
1546301524,7,2
1546302122,1,0
1546302723,8,11
1546303323,3,0
1546303923,3,1
1546304522,0,2
1546305123,3,1
1546305722,2,0
1546306323,15,0
1546306923,6,7
1546308123,4,0
1546309323,8,0
1546310523,1,0
1546311123,1,0
1546311723,0,1
1546312922,0,6
1546313522,1,2
1546314123,1,11
1546315323,1,0
1546315923,2,0
1546316523,0,1
1546317126,3,0
1546317723,2,2
1546318923,6,0
1546320124,6,16
1546321323,0,4
1546322523,0,1
1546323124,10,12
1546323724,4,0
1546324324,4,0
1546324923,7,0
1546325523,0,4
1546326124,4,0
1546327323,2,0
1546328523,4,2
1546329724,6,2
1546330922,2,0
1546332123,5,2
1546332723,1,0
1546333323,3,0
1546333922,1,0
1546334523,1,0
1546335122,2,3
1546335723,5,3
1546336323,6,1
1546336923,2,1
1546337523,1,0
1546338123,4,1
1546339323,9,6
1546340524,2,5
1546341123,1,2
1546341722,1,1
1546342323,2,4
1546343523,2,4
1546345323,4,1
1546345923,0,4
1546346523,0,1
1546347723,2,1
1546348323,1,1
1546348922,2,0
1546349523,0,1
1546350123,7,2
1546351323,1,2
1546351923,1,0
1546352524,2,0
1546353723,3,1
1546354323,3,0
1546354923,1,14
1546355522,0,1
1546356123,0,17
1546357323,8,2
1546358524,7,1
1546359124,2,0
1546359723,3,1
1546360922,2,7
1546362123,5,4
1546363324,1,4
1546364523,3,5
1546365723,1,7
1546366923,2,1
1546368124,1,2
1546369323,2,2
1546369923,0,5
1546370523,0,1
1546371723,1,2
1546372923,6,6
1546373570,33750,6245
1546374124,6,0
1546374722,2,0
1546375923,1,0
1546376523,1,0
1546377723,1,0
1546379524,1,0
1546380123,1,0
1546383723,1,0
1546386123,1,0
1546386723,3,0
1546387325,1,0
1546389722,1,0
1546390923,1,0
1546391523,2,0
1546392123,13,0
1546393924,1,0
1546395123,2,0
1546395723,6,0
1546398123,3,0
1546399323,3,0
1546400523,1,0
1546402924,4,0
1546404122,2,0
1546405324,2,1
1546406523,3,0
1546407723,1,0
1546408925,2,0
1546410122,3,0
1546411323,2,0
1546413124,7,0
1546413723,2,0
1546414923,1,0
1546416123,1,0
1546416723,1,0
1546418523,1,0
1546419723,1,0
1546422123,8,0
1546423325,3,0
1546423923,2,0
1546424523,3,0
1546425723,2,0
1546426323,4,0
1546426922,1,0
1546428123,1,0
1546428723,1,0
1546430524,4,0
1546432923,4,0
1546434123,1,0
1546434724,1,0
1546435923,1,0
1546436523,4,0
1546437123,2,0
1546437723,6,0
1546438323,2,0
1546440123,4,0
1546440722,3,0
1546442523,3,0
1546443723,4,0
1546444323,14,0
1546444923,5,0
1546447323,2,0
1546448524,6,0
1546449125,1,0
1546450322,1,0
1546452723,1,0
1546453323,1,0
1546455123,2,0
1546457523,5,0
1546458250,1,0
1546458722,1,0
1546459323,4,0
1546459923,4,0
1546460523,4,0
1546461122,21,0
1546462922,2,0
1546463524,1,0
1546465924,14,0
1546467723,1,0
1546468322,2,0
1546468923,3,0
1546470123,2,0
1546471322,4,0
1546473122,1,0
1546473725,2,0
1546474323,2,0
1546474923,2,0
1546475523,2,0
1546476122,1,0
1546477323,2,0
1546477924,1,0
1546479723,10,0
1546480923,7,0
1546482123,3,0
1546483323,9,0
1546484523,3,0
1546485723,2,0
1546486323,6,0
1546486923,1,0
1546487523,1,0
1546488123,9,0
1546488724,7,0
1546489323,15,0
1546490522,3,0
1546491122,7,0
1546491725,1,0
1546492323,1,0
1546492922,3,0
1546494123,5,0
1546496523,21,0
1546497723,1,0
1546498323,5,0
1546498923,3,0
1546500125,2,0
1546501323,1,0
1546501923,1,0
1546503123,3,0
1546504323,38,0
1546504923,2,0
1546505522,1,0
1546506123,2,0
1546507322,11,0
1546508523,1,0
1546509723,7,0
1546510923,6,1
1546511523,6,0
1546512123,4,0
1546513323,2,0
1546514523,7,0
1546515723,3,0
1546516923,5,0
1546517523,2,0
1546518124,1,0
1546518723,2,0
1546519323,4,0
1546520523,2,0
1546521722,2,0
1546522923,10,0
1546523523,1,0
1546524124,1,0
1546524723,4,0
1546525323,6,0
1546526523,1,0
1546528323,2,0
1546529523,1,0
1546530123,12,0
1546530723,1,0
1546531323,5,0
1546532523,1,0
1546533723,12,0
1546534323,4,0
1546534923,1,0
1546536124,4,0
1546537323,3,0
1546538523,1,0
1546539723,4,0
1546540324,2,0
1546540923,7,0
1546541523,1,0
1546542123,4,0
1546542723,1,0
1546544524,3,0
1546545123,1,0
1546545723,1,0
1546546923,3,0
1546548124,8,0
1546548723,1,0
1546549323,13,0
1546550522,1,0
1546551124,10,0
1546551724,2,0
1546552923,2,0
1546554123,5,0
1546554723,3,0
1546555323,4,0
1546556524,7,0
1546557723,3,0
1546558924,1,0
1546559523,4,0
1546560125,2,0
1546561323,13,0
1546561923,3,0
1546563122,1,0
1546563723,3,0
1546564323,10,0
1546564924,1,0
1546565523,10,0
1546566122,2,0
1546567323,21,0
1546568523,6,0
1546569724,3,0
1546570924,5,0
1546572123,10,0
1546573323,5,0
1546573923,3,0
1546574524,4,0
1546575723,8,0
1546576322,3,0
1546576923,1,0
1546577523,1,0
1546578123,9,0
1546579323,9,0
1546579923,2,0
1546580524,8,0
1546581723,3,0
1546582323,3,0
1546583523,2,0
1546584123,22,0
1546584723,4,0
1546585323,7,0
1546585923,1,0
1546586523,7,0
1546587123,7,1
1546587723,3,0
1546588323,3,0
1546588923,6,0
1546589523,6,0
1546590123,2,0
1546591323,13,0
1546592523,1,0
1546593722,1,0
1546594922,1,0
1546595524,1,0
1546596123,2,0
1546597323,4,0
1546598523,4,0
1546599122,4,0
1546599723,9,0
1546600922,2,0
1546602123,3,0
1546602724,1,0
1546603323,9,0
1546605123,1,0
1546605724,5,0
1546606323,4,0
1546606923,1,0
1546607523,20,0
1546608123,1,0
1546608722,1,0
1546611123,2,0
1546611723,2,0
1546612323,1,0
1546613523,1,0
1546614123,2,0
1546614723,2,0
1546615323,2,0
1546617723,2,0
1546618325,6,0
1546618924,2,0
1546620123,4,0
1546621324,2,0
1546622523,5,0
1546623724,7,0
1546624923,3,0
1546626123,5,0
1546626723,1,0
1546627323,4,0
1546628523,20,0
1546629722,10,0
1546630323,1,0
1546632122,6,0
1546632724,1,0
1546633322,3,0
1546633923,10,0
1546635725,2,0
1546636326,8,0
1546636923,2,0
1546638123,1,0
1546639323,3,0
1546639923,4,0
1546640522,1,0
1546641722,3,0
1546642323,2,0
1546644123,2,0
1546645323,3,0
1546646524,1,0
1546647723,4,0
1546648323,2,0
1546648923,2,0
1546650123,1,0
1546651325,2,0
1546651922,1,0
1546652524,2,0
1546653123,3,0
1546653724,9,0
1546654923,5,0
1546656123,9,0
1546656723,3,0
1546657323,3,0
1546658523,1,0
1546659723,1,0
1546660924,2,0
1546662123,2,0
1546663323,2,0
1546664523,3,0
1546665723,2,0
1546666323,1,0
1546666923,2,0
1546668123,1,0
1546669324,2,0
1546670522,2,0
1546671123,2,0
1546671723,2,0
1546673524,1,0
1546674123,3,0
1546675323,4,0
1546675923,2,0
1546677123,4,0
1546678323,2,0
1546680122,1,0
1546682522,3,0
1546683723,1,0
1546684923,2,0
1546685522,2,0
1546686122,3,0
1546687323,2,0
1546688523,1,0
1546689123,2,0
1546689723,1,0
1546690322,1,0
1546693324,3,0
1546693923,7,0
1546695124,1,0
1546695723,4,0
1546696323,4,0
1546696923,3,0
1546698123,2,0
1546698723,4,0
1546699322,1,0
1546699923,6,0
1546701124,1,0
1546701723,9,0
1546702922,7,0
1546704124,6,0
1546704724,6,0
1546707122,1,0
1546707723,1,0
1546708924,8,0
1546709523,4,0
1546710123,1,0
1546710723,6,0
1546711323,2,0
1546712523,1,0
1546713723,1,0
1546714923,1,0
1546717323,4,0
1546718524,2,0
1546719723,1,0
1546721523,1,0
1546722123,6,0
