DateTime,AddedIPs,RemovedIPs
1545775959,31,36
1545777849,35,40
1545779771,61,44
1545781970,51,42
1545783857,893,0
1545785773,66,48
1545787715,42,39
1545789639,32,47
1545791540,47,30
1545793485,32,47
1545795372,45,38
1545797575,38,56
1545799480,40,30
1545801386,45,40
1545803297,33,40
1545805222,50,51
1545807148,30,31
1545809050,52,24
1545811219,34,50
1545813139,37,28
1545815083,39,36
1545816999,47,45
1545819142,46,39
1545821068,63,39
1545823226,67,1780
1545825159,50,33
1545827050,860,0
1545828987,74,48
1545830888,54,34
1545832823,51,32
1545834762,42,36
1545836652,64,35
1545838834,55,36
1545840777,54,29
1545842653,42,25
1545844573,52,37
1545846736,57,38
1545848672,35,29
1545862093,180,273
1545864035,31,36
1545865928,32,42
1545867873,77,36
1545870043,793,0
1545871934,30,35
1545874096,40,37
1545876269,42,27
1545878191,31,37
1545880094,21,31
1545882255,42,32
1545884060,32,28
1545885869,18,24
1545887771,46,38
1545889934,27,36
1545891850,31,29
1545893785,31,35
1545896026,45,44
1545897855,26,50
1545899790,26,28
1545901691,26,25
1545903608,30,51
1545905555,45,38
1545907693,36,37
1545909629,40,2017
1545911535,30,45
1545913474,959,0
1545915362,54,48
1545917537,75,50
1545919468,38,23
1545921377,41,53
1545923319,40,38
1545925227,51,35
1545927399,66,56
1545929295,46,41
1545931218,49,46
1545933144,54,39
1545935046,33,48
1545936984,44,32
1545938882,63,41
1545940814,78,36
1545942757,56,30
1545944917,54,43
1545946807,43,50
1545948735,33,39
1545950676,35,39
1545952579,32,55
1545954515,25,43
1545956429,876,0
1545958334,27,39
1545960272,40,44
1545962431,41,29
1545964353,23,32
1545966276,43,41
1545968460,39,47
1545970345,26,37
1545972274,32,41
1545974171,34,44
1545976358,33,39
1545978252,30,44
1545980436,34,41
1545982390,34,35
1545984251,44,28
1545986166,45,36
1545988357,32,43
1545990250,43,42
1545992191,50,43
1545994332,41,46
1545996251,40,1900
1545998186,62,35
1546000091,770,0
1546002763,98,48
1546004674,46,31
1546006838,58,37
1546008738,43,23
1546010649,46,21
1546012835,62,52
1546014738,33,28
1546016669,37,18
1546018569,41,34
1546020737,100,41
1546022654,31,26
1546024600,35,35
1546026491,30,35
1546028409,32,32
1546030352,18,16
1546032279,45,36
1546034165,23,41
1546036115,27,45
1546038034,42,33
1546039956,35,38
1546041854,711,0
1546044023,29,55
1546046177,40,39
1546048345,24,34
1546050254,15,23
1546052171,22,21
1546054339,31,35
1546056273,18,30
1546058424,27,28
1546060353,9,22
1546062257,10,27
1546064437,22,41
1546066358,26,26
1546068255,24,33
1546070443,28,40
1546072337,37,27
1546074265,22,23
1546076186,24,32
1546078123,19,42
1546080031,26,42
1546081942,24,1924
1546083869,21,52
1546085778,826,0
1546087937,32,33
1546089854,35,35
1546091785,29,35
1546093687,18,28
1546095634,20,31
1546097551,12,29
1546099457,19,26
1546101398,40,42
1546103534,20,37
1546105447,25,31
1546107388,27,34
1546109531,29,35
1546111454,25,37
1546113385,29,43
1546115288,21,41
1546117235,31,39
1546119133,24,43
1546121054,15,31
1546122999,23,52
1546125154,25,60
1546127049,19,49
1546129241,793,0
1546131133,15,30
1546133294,27,44
1546135240,12,33
1546137131,15,21
1546139074,21,26
1546140967,14,33
1546143182,14,28
1546145077,12,34
1546146979,20,33
1546149157,11,34
1546151051,11,31
1546152996,21,34
1546154890,15,34
1546156856,33,51
1546158756,27,38
1546160656,22,31
1546162837,25,56
1546164732,25,41
1546166674,21,35
1546168575,18,1582
1546170498,24,15
1546172419,556,0
1546174355,42,25
1546176287,36,21
1546178447,42,35
1546180359,33,19
1546182260,28,26
1546184191,27,24
1546186380,20,24
1546188248,17,17
1546190441,32,20
1546192336,22,10
1546194528,18,21
1546196422,29,35
1546198341,27,24
1546200270,19,24
1546202168,21,27
1546204339,28,27
1546206271,22,23
1546208190,22,24
1546210087,31,23
1546212008,28,29
1546213944,25,16
1546216117,462,0
1546218071,9,23
1546219935,18,21
1546221882,27,15
1546224019,11,17
1546225961,6,25
1546227850,10,18
1546229776,18,24
1546231933,14,21
1546233877,11,10
1546235766,18,10
1546237959,19,21
1546239867,20,27
1546241793,17,24
1546243698,25,29
1546245617,22,23
1546247785,18,25
1546249711,19,29
1546251622,29,13
1546253529,30,21
1546255469,28,1007
1546257369,61,32
1546259310,481,0
1546261220,57,21
1546263134,77,24
1546265071,61,9
1546266979,48,16
1546269145,51,28
1546271067,25,18
1546272969,20,14
1546275132,28,17
1546277049,30,17
1546278973,32,8
1546280890,21,17
1546282815,38,25
1546284754,30,14
1546286650,36,15
1546288566,64,35
1546290515,22,18
1546292410,21,23
1546294332,21,24
1546296267,11,14
1546298440,25,24
1546300355,17,24
1546302277,399,1
1546304169,17,17
1546306086,24,18
1546308021,15,11
1546309943,29,13
1546311878,27,21
1546313773,24,17
1546315938,38,15
1546317854,32,13
1546319772,27,16
1546321714,16,10
1546323617,19,16
1546325530,10,16
1546327469,13,17
1546329365,14,17
1546331308,19,25
1546333218,8,25
1546335158,24,11
1546337057,22,25
1546338986,29,23
1546340908,26,1049
1546343555,73,69
1546345454,468,0
1546347367,36,11
1546349308,22,9
1546351219,39,26
1546353132,27,12
1546355076,21,4
1546356968,23,12
1546359175,24,14
1546361075,18,11
1546362972,22,16
1546365135,24,16
1546367046,11,15
1546368990,16,16
1546370888,26,16
1546372819,22,30
1546374730,43,21
1546376679,34,16
1546378810,63,27
1546380759,32,30
