DateTime,Entries,UniqueIPs
1545775959,3047,3047
1545777849,3042,3042
1545779771,3059,3059
1545781970,3068,3068
1545783857,3961,3961
1545785773,3979,3979
1545787715,3982,3982
1545789639,3967,3967
1545791540,3984,3984
1545793485,3969,3969
1545795372,3976,3976
1545797575,3958,3958
1545799480,3968,3968
1545801386,3973,3973
1545803297,3966,3966
1545805222,3965,3965
1545807148,3964,3964
1545809050,3992,3992
1545811219,3976,3976
1545813139,3985,3985
1545815083,3988,3988
1545816999,3990,3990
1545819142,3997,3997
1545821068,4021,4021
1545823226,2308,2308
1545825159,2325,2325
1545827050,3185,3185
1545828987,3211,3211
1545830888,3231,3231
1545832823,3250,3250
1545834762,3256,3256
1545836652,3285,3285
1545838834,3304,3304
1545840777,3329,3329
1545842653,3346,3346
1545844573,3361,3361
1545846736,3380,3380
1545848672,3386,3386
1545862093,3293,3293
1545864035,3288,3288
1545865928,3278,3278
1545867873,3319,3319
1545870043,4112,4112
1545871934,4107,4107
1545874096,4110,4110
1545876269,4125,4125
1545878191,4119,4119
1545880094,4109,4109
1545882255,4119,4119
1545884060,4123,4123
1545885869,4117,4117
1545887771,4125,4125
1545889934,4116,4116
1545891850,4118,4118
1545893785,4114,4114
1545896026,4115,4115
1545897855,4091,4091
1545899790,4089,4089
1545901691,4090,4090
1545903608,4069,4069
1545905555,4076,4076
1545907693,4075,4075
1545909629,2098,2098
1545911535,2083,2083
1545913474,3042,3042
1545915362,3048,3048
1545917537,3073,3073
1545919468,3088,3088
1545921377,3076,3076
1545923319,3078,3078
1545925227,3094,3094
1545927399,3104,3104
1545929295,3109,3109
1545931218,3112,3112
1545933144,3127,3127
1545935046,3112,3112
1545936984,3124,3124
1545938882,3146,3146
1545940814,3188,3188
1545942757,3214,3214
1545944917,3225,3225
1545946807,3218,3218
1545948735,3212,3212
1545950676,3208,3208
1545952579,3185,3185
1545954515,3167,3167
1545956429,4043,4043
1545958334,4031,4031
1545960272,4027,4027
1545962431,4039,4039
1545964353,4030,4030
1545966276,4032,4032
1545968460,4024,4024
1545970345,4013,4013
1545972274,4004,4004
1545974171,3994,3994
1545976358,3988,3988
1545978252,3974,3974
1545980436,3967,3967
1545982390,3966,3966
1545984251,3982,3982
1545986166,3991,3991
1545988357,3980,3980
1545990250,3981,3981
1545992191,3988,3988
1545994332,3983,3983
1545996251,2123,2123
1545998186,2150,2150
1546000091,2920,2920
1546002763,2970,2970
1546004674,2985,2985
1546006838,3006,3006
1546008738,3026,3026
1546010649,3051,3051
1546012835,3061,3061
1546014738,3066,3066
1546016669,3085,3085
1546018569,3092,3092
1546020737,3151,3151
1546022654,3156,3156
1546024600,3156,3156
1546026491,3151,3151
1546028409,3151,3151
1546030352,3153,3153
1546032279,3162,3162
1546034165,3144,3144
1546036115,3126,3126
1546038034,3135,3135
1546039956,3132,3132
1546041854,3843,3843
1546044023,3817,3817
1546046177,3818,3818
1546048345,3808,3808
1546050254,3800,3800
1546052171,3801,3801
1546054339,3797,3797
1546056273,3785,3785
1546058424,3784,3784
1546060353,3771,3771
1546062257,3754,3754
1546064437,3735,3735
1546066358,3735,3735
1546068255,3726,3726
1546070443,3714,3714
1546072337,3724,3724
1546074265,3723,3723
1546076186,3715,3715
1546078123,3692,3692
1546080031,3676,3676
1546081942,1776,1776
1546083869,1745,1745
1546085778,2571,2571
1546087937,2570,2570
1546089854,2570,2570
1546091785,2564,2564
1546093687,2554,2554
1546095634,2543,2543
1546097551,2526,2526
1546099457,2519,2519
1546101398,2517,2517
1546103534,2500,2500
1546105447,2494,2494
1546107388,2487,2487
1546109531,2481,2481
1546111454,2469,2469
1546113385,2455,2455
1546115288,2435,2435
1546117235,2427,2427
1546119133,2408,2408
1546121054,2392,2392
1546122999,2363,2363
1546125154,2328,2328
1546127049,2298,2298
1546129241,3091,3091
1546131133,3076,3076
1546133294,3059,3059
1546135240,3038,3038
1546137131,3032,3032
1546139074,3027,3027
1546140967,3008,3008
1546143182,2994,2994
1546145077,2972,2972
1546146979,2959,2959
1546149157,2936,2936
1546151051,2916,2916
1546152996,2903,2903
1546154890,2884,2884
1546156856,2866,2866
1546158756,2855,2855
1546160656,2846,2846
1546162837,2815,2815
1546164732,2799,2799
1546166674,2785,2785
1546168575,1221,1221
1546170498,1230,1230
1546172419,1786,1786
1546174355,1803,1803
1546176287,1818,1818
1546178447,1825,1825
1546180359,1839,1839
1546182260,1841,1841
1546184191,1844,1844
1546186380,1840,1840
1546188248,1840,1840
1546190441,1852,1852
1546192336,1864,1864
1546194528,1861,1861
1546196422,1855,1855
1546198341,1858,1858
1546200270,1853,1853
1546202168,1847,1847
1546204339,1848,1848
1546206271,1847,1847
1546208190,1845,1845
1546210087,1853,1853
1546212008,1852,1852
1546213944,1861,1861
1546216117,2323,2323
1546218071,2309,2309
1546219935,2306,2306
1546221882,2318,2318
1546224019,2312,2312
1546225961,2293,2293
1546227850,2285,2285
1546229776,2279,2279
1546231933,2272,2272
1546233877,2273,2273
1546235766,2281,2281
1546237959,2279,2279
1546239867,2272,2272
1546241793,2265,2265
1546243698,2261,2261
1546245617,2260,2260
1546247785,2253,2253
1546249711,2243,2243
1546251622,2259,2259
1546253529,2268,2268
1546255469,1289,1289
1546257369,1318,1318
1546259310,1799,1799
1546261220,1835,1835
1546263134,1888,1888
1546265071,1940,1940
1546266979,1972,1972
1546269145,1995,1995
1546271067,2002,2002
1546272969,2008,2008
1546275132,2019,2019
1546277049,2032,2032
1546278973,2056,2056
1546280890,2060,2060
1546282815,2073,2073
1546284754,2089,2089
1546286650,2110,2110
1546288566,2139,2139
1546290515,2143,2143
1546292410,2141,2141
1546294332,2138,2138
1546296267,2135,2135
1546298440,2136,2136
1546300355,2129,2129
1546302277,2527,2527
1546304169,2527,2527
1546306086,2533,2533
1546308021,2537,2537
1546309943,2553,2553
1546311878,2559,2559
1546313773,2566,2566
1546315938,2589,2589
1546317854,2608,2608
1546319772,2619,2619
1546321714,2625,2625
1546323617,2628,2628
1546325530,2622,2622
1546327469,2618,2618
1546329365,2615,2615
1546331308,2609,2609
1546333218,2592,2592
1546335158,2605,2605
1546337057,2602,2602
1546338986,2608,2608
1546340908,1585,1585
1546343555,1589,1589
1546345454,2057,2057
1546347367,2082,2082
1546349308,2095,2095
1546351219,2108,2108
1546353132,2123,2123
1546355076,2140,2140
1546356968,2151,2151
1546359175,2161,2161
1546361075,2168,2168
1546362972,2174,2174
1546365135,2182,2182
1546367046,2178,2178
1546368990,2178,2178
1546370888,2188,2188
1546372819,2180,2180
1546374730,2202,2202
1546376679,2220,2220
1546378810,2256,2256
1546380759,2258,2258
1546382674,2269,2269
1546384580,2270,2270
1546386754,2256,2256
1546388663,2697,2697
1546390590,2722,2722
1546392739,2763,2763
1546394651,2786,2786
1546396573,2823,2823
1546398760,2854,2854
1546400655,2870,2870
1546402593,2902,2902
1546404494,2924,2924
1546406658,2951,2951
1546408587,2966,2966
1546410485,2977,2977
1546412661,2998,2998
1546414813,3027,3027
1546416777,3039,3039
1546418653,3064,3064
1546420576,3084,3084
1546422490,3111,3111
1546424418,3125,3125
1546426352,3144,3144
1546428252,1802,1802
1546430172,1811,1811
1546432112,2416,2416
1546434037,2463,2463
1546435958,2515,2515
1546437880,2571,2571
1546439789,2596,2596
1546441713,2629,2629
1546443614,2633,2633
1546445594,2652,2652
1546447453,2669,2669
1546449372,2702,2702
1546451308,2739,2739
1546453220,2766,2766
1546455153,2776,2776
1546457074,2785,2785
1546459481,2826,2826
1546461614,2867,2867
1546463530,2889,2889
1546465450,2906,2906
1546467366,2923,2923
1546469293,2917,2917
1546471214,2921,2921
1546473130,2943,2943
1546475052,3467,3467
1546477720,3510,3510
1546479609,3531,3531
1546481556,3552,3552
1546483455,3556,3556
1546485646,3567,3567
1546487544,3571,3571
1546489476,3567,3567
1546491400,3567,3567
1546493294,3568,3568
1546495462,3600,3600
1546497371,3606,3606
1546499559,3626,3626
1546501451,3649,3649
1546503392,3689,3689
1546505312,3719,3719
