DateTime,AddedIPs,RemovedIPs
1539356194,1,1
1539370835,6,1
1539385946,5,4
1539400581,2,1
1539415215,1,0
1539429850,4,5
1539444744,8,1
1539459366,4,1
1539474007,2,0
1539488660,1,1
1539503291,0,2
1539517952,2,3
1539532566,4,4
1539547218,3,2
1539562095,1,1
1539576987,1,0
1539591511,2,0
1539620654,0,2
1539635296,2,3
1539649944,1,0
1539664842,1,1
1539679449,5,3
1539694101,6,0
1539708733,9,0
1539723629,9,0
1539738262,9,1
1539753131,6,1
1539767769,3,2
1539782663,5,1
1539797294,7,4
1539811933,3,0
1539826566,4,2
1539841223,9,0
1539870976,1,2
1539885630,4,1
1539900247,7,1
1539914897,2,1
1539929790,5,0
1539944667,3,4
1539959544,13,2
1539974423,6,0
1539989047,10,0
1540003692,3,2
1540018342,3,2
1540032988,6,3
1540047857,3,1
1540062745,2,1
1540077366,6,1
1540092021,2,0
1540106891,1,2
1540121535,10,1
1540136179,3,2
1540150821,3,2
1540165447,2,0
1540180101,5,0
1540194738,3,0
1540209659,0,1
1540224509,6,0
1540239373,2,1
1540254010,4,0
1540268663,1,0
1540283547,3,0
1540298429,2,2
1540327951,3,1
1540342832,2,1
1540357463,2,0
1540372110,0,1
1540386995,4,0
1540401633,2,2
1540416509,2,1
1540431145,3,0
1540446016,2,1
1540460891,2,1
1540475537,2,1
1540490193,1,2
1540504821,4,0
1540519711,5,0
1540534346,3,2
1540548966,4,1
1540563612,2,2
1540578491,1,1
1540593133,4,2
1540607787,2,1
1540622651,2,1
1540637534,5,0
1540652186,4,0
1540667067,4,3
1540681945,3,5
1540696831,2,5
1540711490,1,0
1540726234,1,1
1540740986,1,1
1540755630,1,2
1540770248,4,1
1540785138,5,1
1540800021,3,2
1540814900,1,1
1540829545,2,2
1540844173,1,1
1540858836,1,0
1540873448,2,3
1540888093,0,1
1540902732,2,0
1540917629,2,2
1540932498,3,3
1540947126,3,1
1540961774,2,1
1540976431,0,1
1540991051,1,1
1541005949,2,4
1541021077,7,3
1541035688,1,1
1541050589,1,1
1541065470,1,4
1541080109,1,0
1541094749,3,0
1541109389,2,3
1541124019,0,4
1541138666,2,0
1541153310,4,2
1541168175,1,1
1541183049,3,1
1541197934,1,3
1541212564,1,1
1541227450,1,1
1541242345,3,1
1541257235,0,2
1541271871,2,0
1541286491,4,0
1541301154,1,1
1541315787,2,0
1541330404,3,1
1541345053,3,1
1541359704,8,0
1541374589,15,3
1541389466,14,2
1541404332,19,0
1541418974,21,0
1541433869,16,0
1541448731,15,1
1541463381,14,2
1541478268,5,1
1541492894,15,0
1541507530,14,1
1541522168,19,2
1541537313,17,0
1541552078,17,4
1541567050,12,1
1541581691,13,2
1541596586,14,0
1541611472,10,1
1541626105,15,0
1541640970,15,2
1541655868,4,1
1541670731,7,0
1541685369,11,0
1541700032,11,0
1541714650,3,1
1541729528,9,1
1541744170,11,1
1541758813,7,1
1541773464,6,2
1541788344,17,0
1541803227,23,0
1541817849,7,2
1541832736,13,2
1541847389,8,1
1541862175,10,0
1541876891,8,0
1541891534,15,2
1541906178,7,1
1541920805,9,1
1541935474,10,0
1541950108,15,0
1541964743,8,2
1541979380,16,0
1541994023,7,4
1542008914,2,0
1542023524,5,2
1542038169,22,1
1542053068,14,2
1542067711,12,0
1542082572,7,3
1542097466,9,1
1542112349,8,0
1542127224,9,4
1542141867,9,1
1542156749,25,1
1542171639,5,2
1542186262,5,0
1542201149,12,3
1542215795,5,0
1542230412,2,1
1542245066,5,0
1542259935,14,1
1542274596,8,7
1542289220,7,3
1542304108,8,1
1542318747,3,4
1542333633,5,0
1542348271,3,1
1542363146,4,0
1542378013,5,0
1542392669,2,0
1542407549,4,0
1542422432,2,1
1542437047,2,0
1542451690,1,2
1542466587,11,0
1542481234,13,1
1542495858,6,2
1542510487,14,0
1542525372,8,2
1542540020,7,1
1542554666,11,0
1542569288,8,1
1542583929,7,3
1542598574,8,2
1542613455,10,3
1542628091,10,1
1542642742,13,1
1542657390,3,1
1542672269,5,1
1542687149,4,0
1542701795,11,2
1542716675,30,2
1542731285,15,1
1542746188,39,3
1542761069,37,1
1542775687,42,5
1542790327,34,1
1542804968,41,0
1542819867,33,2
1542834730,18,1
1542849390,6,1
1542864005,8,0
1542878899,8,3
1542893532,9,0
1542908183,13,3
1542922819,12,2
1542937475,6,0
1542952332,7,12
1542967228,6,6
1542982113,9,3
1542996992,9,5
1543011616,3,3
1543026510,8,0
1543041130,11,4
1543055787,5,0
1543070422,9,2
1543085052,8,6
1543099692,10,5
1543114329,3,4
1543128984,6,7
1543143618,5,5
1543158253,8,3
1543173134,12,19
1543188029,8,5
1543202647,10,2
1543217542,12,4
1543232425,4,1
1543247297,5,2
1543261930,38,3
1543276582,39,6
1543291470,52,7
1543306354,41,12
1543320966,40,2
1543335624,37,3
1543350271,43,3
1543364929,44,0
1543379548,49,1
1543394165,46,4
1543408807,66,3
1543423466,82,2
1543438347,63,0
1543453236,73,2
1543467847,69,1
1543482730,960,0
1543497382,72,1
1543512013,91,1
1543526648,59,1
1543541550,78,0
1543556430,75,1
1543571049,83,1
1543585702,57,2
1543600330,61,1
1543614967,54,1
1543629640,46,1
1543644273,34,2
1543658903,39,0
1543673779,36,2
1543688668,51,2
1543703551,71,1
1543718419,33,1
1543733050,34,0
1543747690,31,2
1543762343,27,1
1543776983,39,0
1543791695,56,2
1543806271,52,1
1543821147,38,6
1543835774,27,1
1543850408,38,3
1543865050,66,2
1543879712,16,2
1543894331,13,3
1543909233,23,2
1543923854,19,3
1543938487,15,0
1543953129,498,4
1543967791,570,0
1543982678,15,37
1543997550,13,128
1544012189,19,7
1544027065,22,0
1544041950,10,38
1544056851,28,65
1544071700,32,44
1544086352,18,29
1544101235,11,26
1544115849,11,7
1544130517,15,2
1544145154,20,0
1544160274,18,2
1544175154,10,2
1544189765,16,3
1544204434,9,1
1544219064,5,0
1544233951,5,1
1544248816,1,1
1544263471,4,2
1544278351,5,3
1544293235,3,0
1544307870,2,0
1544322732,2,1
1544337394,3,0
1544352046,4,2
1544366647,6,1
1544381534,2,1
1544396433,8,0
1544411074,4,0
1544425715,2,0
1544440574,2,0
1544455221,6,4
1544470143,4,1
1544484734,2,0
1544499374,91,5
1544514250,734,0
1544529152,1,1
1544543792,4,1
1544558417,4,1
1544573210,2,1
1544588173,4,2
1544602810,1,0
1544617716,1,1
1544632350,5,1
1544646985,7,1
1544661850,2,1
1544676489,3,0
1544691124,5,1
1544705787,1,0
1544720425,4,2
1544735058,3,0
1544749934,3,7
1544764565,4,10
1544779471,3,11
1544794350,3,1
1544809231,21,1
1544823866,22,1
1544838523,12,1
1544853128,17,1
1544868037,13,5
1544882650,16,2
1544897304,15,1
1544911926,10,1
1544926587,13,0
1544941489,18,1
1544956329,18,0
1544970967,342,1
1544985607,1486,0
1545000273,19,1
1545014888,23,5
1545029531,23,0
1545044168,18,1
1545058836,17,0
1545073715,25,0
1545088572,13,1
1545103237,11,0
1545117872,16,2
1545132752,13,3
1545147629,17,1
1545162270,20,1
1545176893,21,2
1545191525,19,9
1545206212,20,13
1545220860,21,5
1545235448,16,8
1545250111,20,11
1545264734,19,4
1545279369,14,2
1545294011,12,6
1545308648,3,1
1545323288,5,2
1545337933,4,5
1545352810,4,7
1545367455,4,2
1545382088,2,2
1545396755,3,5
1545411655,5,4
1545426275,8,12
1545440923,5,5
1545455529,3,0
1545470192,7,3
1545484811,4,7
1545499452,4,4
1545514108,7,6
1545528726,5,2
1545543393,1,2
1545558252,3,6
1545573147,5,2
1545588040,7,3
1545602922,4,4
1545617552,3,2
1545632166,3,4
1545646813,1,3
1545661454,3,4
1545676089,5,4
1545690735,6,4
1545705632,5,9
1545720254,3,1
1545734903,3,2
1545749528,2,5
1545764164,3,1
1545778820,2,3
1545793472,3,5
1545808334,3,2
1545823215,4,2
1545837852,5,5
1545852494,0,6
1545867155,5,5
1545881785,2,3
1545896441,4,5
1545911073,4,6
1545925952,2,0
1545940585,2,1
1545955473,1,1
1545970335,2,1
1545984976,1,1
1545999626,3,0
1546014273,1,1
1546028907,4,1
1546043550,5,0
1546058417,2,0
1546073292,5,3
1546087933,3,0
1546102567,4,2
1546117232,6,2
1546131847,2,2
1546146512,1,5
1546161151,3,6
1546176276,5,8
1546190889,1,4
1546205559,2,6
1546220194,1,6
1546235054,2,4
1546249708,3,2
1546264349,4,2
1546278970,5,3
1546293609,1,2
1546308261,4,3
1546323152,2,4
1546338013,3,2
1546352669,5,6
1546367290,1,8
1546381955,2,2
1546396568,2,6
1546411207,51,2
1546425847,2,5
1546440507,4,5
1546455151,31,2
1546469771,36,1
1546484417,31,1
1546499048,22,3
1546513949,42,4
1546528809,12,1
1546543467,23,1
1546558355,4,0
1546572965,7,1
1546602250,7,2
1546616888,7,0
1546631533,4,6
1546646192,8,0
1546660816,1,2
1546675716,1,1
1546690326,2,2
1546704994,4,0
1546719610,9,2
1546734247,7,0
1546749166,9,3
1546763788,5,2
