DateTime,AddedIPs,RemovedIPs
1546202710,434,1305
1546203610,559,1814
1546205412,739,2846
1546207212,677,1299
1546208112,400,489
1546209011,1106,236
1546209912,566,262
1546210812,337,377
1546211711,413,523
1546212611,325,496
1546214411,723,541
1546215310,454,79
1546217112,949,311
1546218013,338,371
1546218912,1703,646
1546219813,2556,1684
1546220710,576,318
1546222513,852,433
1546223413,433,186
1546224312,422,184
1546225214,897,159
1546227012,1546,720
1546228811,1213,1499
1546229711,522,1456
1546230610,748,2461
1546232411,1261,1957
1546233312,507,644
1546234211,508,1550
1546235112,647,1388
1546236012,655,445
1546236912,510,312
1546237813,474,1026
1546238713,526,997
1546239612,525,961
1546241413,1166,840
1546243213,1115,616
1546244112,645,435
1546245012,650,448
1546245912,654,477
1546246813,567,332
1546247711,566,321
1546249513,1169,2165
1546250414,1697,2379
1546252212,849,2251
1546253113,467,129
1546254013,411,1419
1546255813,717,811
1546256715,422,312
1546257614,1203,272
1546258513,982,186
1546259414,492,151
1546260314,352,62
1546261214,300,81
1546262114,1024,178
1546263014,383,120
1546263915,2802,268
1546264813,2724,174
1546265717,1073,103
1546267513,819,158
1546268415,412,173
1546269314,744,152
1546270215,757,202
1546271112,735,682
1546272012,1372,1345
1546272916,443,527
1546273814,483,251
1546275613,888,379
1546276512,372,546
1546277414,388,825
1546279212,964,4279
1546280113,2072,2575
1546281015,429,616
1546282812,812,935
1546283713,409,410
1546284614,376,547
1546286411,1332,1582
1546287311,1215,825
1546288215,445,335
1546290012,983,719
1546290914,406,277
1546291811,412,248
1546293611,767,662
1546294511,1286,300
1546295412,335,129
1546297211,632,842
1546299009,1447,1546
1546299909,259,382
1546300810,274,509
1546301708,258,1014
1546302610,246,231
1546303509,276,319
1546304409,217,164
1546305309,296,1099
1546307110,670,1284
1546308009,335,382
1546308908,262,510
1546309808,295,639
1546310708,251,698
1546311609,250,124
1546312508,209,213
1546313408,2116,1583
1546314308,669,554
1546315209,785,1286
1546316110,526,1033
1546317909,971,314
1546318809,330,348
1546319708,345,334
1546320610,383,246
1546321509,454,631
1546322410,391,912
1546324209,709,1047
1546325109,396,2371
1546326009,386,631
1546327809,759,987
1546329609,2415,1813
1546330510,394,859
1546331410,359,98
1546332310,350,350
1546333209,327,325
1546334110,355,146
1546335010,360,50
1546336809,1005,338
1546338609,1760,365
1546339510,1234,247
1546340409,335,230
1546341310,350,122
1546343109,760,994
1546344011,255,655
1546344909,249,642
1546345809,311,395
1546346708,334,72
1546347610,442,306
1546348509,340,141
1546349410,228,145
1546350310,164,193
1546351210,2146,654
1546352111,617,841
1546353011,3741,2966
1546353909,3206,1161
1546354810,1824,444
1546355708,1235,467
1546356611,1114,205
1546357510,2137,278
1546358409,1005,168
1546360209,1892,413
1546362009,2610,342
1546362910,872,389
1546363810,750,188
1546365610,1551,256
1546366508,652,76
1546367409,659,356
1546369210,1289,1413
1546371008,1147,549
1546371909,516,675
1546372809,965,810
1546374610,2593,1515
1546375508,1039,1135
1546377309,1225,1522
1546378208,680,604
1546379108,630,480
1546380008,563,649
1546380907,1257,1265
1546381808,1325,1073
1546382708,564,405
1546383608,525,408
1546384507,506,328
1546385407,484,539
1546387206,863,1354
1546388107,551,1141
1546389006,715,706
1546390807,956,1067
1546391707,701,526
1546392607,526,876
1546393506,581,590
1546394405,528,653
1546395305,422,506
1546396205,524,640
1546398005,1366,1611
1546399805,1017,1619
1546401604,510,853
1546402505,463,1396
1546403404,399,303
1546404304,433,368
1546405205,398,1067
1546406104,528,459
1546407004,324,732
1546407905,323,1139
1546408804,613,1684
1546409704,1964,2652
1546410605,1301,2607
1546412405,2008,3561
1546413304,1337,1228
1546414205,1873,1395
1546416005,1705,1272
1546417804,1682,1736
1546418705,1203,913
1546419605,1259,935
1546420504,965,745
1546421405,1042,402
1546422304,1001,641
1546423205,844,529
1546425005,1847,297
1546425905,924,269
1546426806,1871,648
1546427705,2172,810
1546428604,882,453
1546429505,1080,609
1546430405,897,604
1546431305,883,621
1546432206,1347,572
1546433105,1036,432
1546434005,924,486
1546434905,1043,380
1546435806,949,737
1546436707,1053,645
1546438507,1926,886
1546439406,908,819
1546440307,995,1012
1546441206,1646,1502
1546443006,3201,2325
1546443906,967,904
1546444806,712,835
1546445707,935,808
1546446606,538,794
1546447507,531,797
1546448407,495,1272
1546449306,632,1417
1546450208,438,1499
1546451107,2998,3074
1546452007,1320,1067
1546453807,2773,2715
1546454706,1064,863
1546455607,995,1010
1546456506,1434,1308
1546458306,1969,2393
1546460106,1582,1757
1546461005,565,778
1546461905,745,809
1546462805,750,854
1546463706,830,891
1546464605,372,491
1546465505,320,537
1546467305,505,2585
1546468204,374,1932
1546469106,239,1049
1546470005,309,1094
1546470905,325,481
1546471805,204,707
1546472705,271,646
1546473605,349,552
1546475404,636,1348
1546477205,552,2276
1546479005,2155,3603
1546480805,615,2431
1546481704,324,1302
1546483505,825,2081
1546484405,297,500
1546486205,684,2147
1546488005,651,2878
1546489806,698,763
1546490707,470,527
1546491607,802,434
1546493407,2438,951
1546495207,3202,1195
1546496107,721,630
1546497007,957,1552
1546498807,1770,769
1546500608,2161,988
1546502407,3058,1618
1546503307,1338,426
1546504207,1309,862
1546505108,1209,1345
1546506008,773,886
1546506908,917,1570
1546507808,1315,2324
1546509609,2373,5336
1546510509,1190,928
1546511408,949,1930
1546512308,900,2449
1546513209,1655,1502
1546514109,916,873
1546515009,1113,1259
1546515909,1502,1876
1546516811,1707,1879
1546517710,2500,2302
1546518610,2261,1215
1546520410,2429,4848
1546521311,1690,1259
1546522212,832,788
1546523110,1238,793
1546524012,1198,1390
1546524911,1128,2404
1546525812,1556,665
1546529411,4464,2322
1546534810,569,1050
1546535725,41,247
1546536612,2974,785
1546538412,4329,2398
1546539312,1133,627
1546540213,1429,434
1546541113,1301,165
1546542911,2351,690
1546543813,997,338
1546545612,2044,1141
1546546510,506,474
1546547411,383,1480
1546549210,861,2433
1546550109,305,1054
1546551010,270,1662
1546551913,1543,2369
1546552811,631,1119
1546553712,1929,776
1546555511,2911,2348
1546556411,626,1297
1546557309,301,860
1546558211,501,692
1546560010,1263,2213
1546560909,377,1080
1546561808,702,1585
1546562709,1154,598
1546563608,926,246
1546565410,1559,729
1546566308,363,218
1546567209,418,223
1546568108,1281,1315
1546569010,875,1491
1546569908,757,1587
1546570809,645,1169
1546571708,826,1213
1546572608,219,536
1546574407,1018,1439
1546576208,1476,1076
1546578008,1035,763
1546578907,449,163
1546580710,962,539
1546581608,654,687
1546582510,1267,775
1546583409,1501,1333
1546584308,1487,1343
1546585208,1441,1443
1546586108,660,434
1546587008,979,737
1546587909,988,1122
1546588809,918,457
1546590609,1728,1007
1546591507,441,819
1546592408,930,992
1546593309,1088,187
1546594208,470,714
1546596007,954,2420
1546597808,851,1977
1546599609,1092,574
1546600508,529,415
1546601409,496,570
1546602307,548,1099
1546603209,732,802
1546605008,1213,1925
1546606808,1434,2442
1546608610,1308,925
1546609508,478,248
1546610407,856,1358
1546612208,2013,2319
1546614008,1860,4153
1546615808,1684,1695
1546616711,813,1340
1546617609,946,1795
1546618510,986,1029
1546619409,752,533
1546621209,1529,1002
1546622109,659,201
1546623010,677,440
1546623911,750,844
1546625709,2036,1837
1546626609,720,970
1546628409,1555,1272
1546629311,731,544
1546631110,1159,1367
1546632013,628,1317
1546633812,1189,1669
1546634711,585,717
1546635612,592,815
1546636511,596,606
1546637411,521,599
1546638310,699,611
1546640110,1109,1763
1546641911,1087,1217
1546642812,674,332
1546643711,480,544
1546644611,556,866
1546646412,1058,1703
1546647311,568,432
1546648212,571,638
1546650012,1237,1077
1546651814,1041,1444
1546652712,511,1028
1546653612,437,443
1546655411,1044,1122
1546657211,1073,1083
1546658112,538,1130
1546659011,509,1141
1546660814,1006,1422
1546662611,1042,1805
1546663511,463,306
1546664413,585,323
1546666212,1117,555
1546667112,502,193
1546668912,1209,474
1546669811,725,333
1546671611,1088,834
1546672512,504,591
1546673411,492,613
1546674311,454,307
1546675211,377,321
1546676113,388,361
1546677014,443,551
1546677913,496,1173
1546679714,879,1293
1546680613,391,804
1546681513,402,618
1546682413,598,1159
1546683313,692,262
1546684212,718,298
1546686012,1359,416
1546686911,582,430
1546687813,608,568
1546689613,1173,767
1546691414,1811,1275
1546692312,828,698
1546693213,982,1147
1546695012,1547,957
1546695911,679,210
1546697712,1343,4346
1546698613,4047,0
1546699512,639,136
1546700413,589,573
1546702214,1608,1625
1546704013,1097,1380
1546704911,437,561
1546706713,881,1223
1546707610,359,545
1546709413,1012,1411
1546711212,1126,1450
1546712110,612,308
1546713012,827,114
1546714812,1675,1630
1546715712,665,913
1546716611,690,529
1546717512,745,332
1546718413,685,562
1546719311,622,903
1546720211,713,642
1546721112,604,380
1546722909,1607,294
1546723810,1770,534
1546724711,653,929
1546726511,995,1312
1546727411,603,716
1546729210,1164,671
1546730111,813,992
1546731009,566,1264
1546731911,1032,1296
1546732811,603,2869
1546733712,510,2297
1546734612,582,777
1546735510,1271,890
1546736411,893,1574
1546738211,1974,712
1546739111,584,501
1546740913,1002,361
1546741810,460,340
1546742709,415,257
1546744510,834,495
1546745410,406,416
1546746310,472,562
1546747210,839,698
1546748111,551,429
1546749009,1798,386
1546749911,1109,1160
1546750809,580,716
1546752610,946,734
1546753511,587,469
1546754410,550,433
1546755309,994,628
1546757110,1169,707
1546758011,3523,677
1546758912,1503,336
1546759809,595,375
1546760711,667,766
1546761609,1780,2387
1546762511,723,1583
1546763410,633,1003
1546764311,566,824
1546765212,842,1407
1546767011,2326,7385
1546767912,546,1110
1546769712,1154,2016
1546770610,594,849
1546771511,819,1536
1546772411,1206,208
1546773311,801,403
