DateTime,AddedIPs,RemovedIPs
1504214899,40,40
1504299852,38,38
1504388169,27,27
1504475532,13,13
1504560255,46,46
1504649055,45,45
1504734496,45,45
1504819454,38,38
1504908259,34,34
1504992966,31,31
1505077695,28,28
1505166733,39,39
1505252653,39,39
1505338096,36,36
1505426656,42,42
1505511851,38,38
1505597291,24,24
1505685630,26,26
1505771053,38,38
1505856016,43,43
1505945771,34,34
1506030969,30,30
1506115452,36,36
1506204732,33,33
1506289934,31,31
1506374655,35,35
1506463695,36,36
1506548655,45,45
1506637212,45,45
1506722172,46,46
1506809787,34,34
1506895461,36,36
1506980000,39,39
1507068963,41,41
1507153930,43,43
1507239612,42,42
1507326254,45,45
1507414811,41,41
1507499533,35,35
1507585210,44,44
1507674012,40,40
1507759222,41,41
1507844656,37,37
1507933937,38,38
1508019853,35,35
1508104824,35,35
1508193855,38,38
1508279535,37,37
1508364732,37,37
1508450439,35,35
1508539213,37,37
1508624899,31,31
1508709852,22,22
1508796024,28,28
1508882177,34,34
1508970978,32,32
1509056660,30,30
1509142576,29,29
1509228419,39,39
1509313694,38,38
1509402258,40,40
1509487464,36,36
1509573368,39,39
1509662659,36,36
1509747614,37,37
1509835932,33,33
1509920892,41,41
1510006810,44,44
1510091538,43,43
1510180332,43,43
1510268438,36,36
1510353140,40,40
1510437852,37,37
1510527133,31,31
1510612340,27,27
1510698259,35,35
1510783463,31,31
1510872492,37,37
1510959142,37,37
1511044808,26,26
1511130738,29,29
1511219542,43,43
1511304975,38,38
1511389688,41,41
1511476098,41,41
1511564898,41,41
1511649371,33,33
1511737927,27,27
1511823372,29,29
1511908812,34,34
1511994254,38,38
1512080414,35,35
1512169934,32,32
1512254890,38,38
1512339853,36,36
1512429136,42,42
1512514574,42,42
1512602455,38,38
1512689309,39,39
1512775941,40,40
1512860651,36,36
1512946092,36,36
1513033230,39,39
1513117937,40,40
1513207209,42,42
1513293378,39,39
1513379529,42,42
1513465451,35,35
1513551129,31,31
1513636342,30,30
1513725856,40,40
1513812501,36,36
1513899142,38,38
1513984107,40,40
1514069299,34,34
1514158342,32,32
1514243534,34,34
1514328727,36,36
1514415374,41,41
1514501532,41,41
1514587211,44,44
1514673856,39,39
1514762659,35,35
1514848812,38,38
1514934254,36,36
1515020427,38,38
1515109462,40,40
1515194662,38,38
1515279613,30,30
1515365305,36,36
1515454816,38,38
1515538345,35,35
1515624499,42,42
1515714725,40,40
1515799695,41,41
1515885612,40,40
1515970582,35,35
1516059859,45,45
1516145052,40,40
1516230974,40,40
1516317381,45,45
1516404252,39,39
1516489699,39,39
1516578266,36,36
1516662732,39,39
1516751772,40,40
1516836968,41,41
1516922184,39,39
1517011277,36,36
1517094736,37,37
1517184029,46,46
1517269698,36,36
1517355375,41,41
1517440104,41,41
1517529856,39,39
1517615539,44,44
1517701456,42,42
1517787379,37,37
1517872576,35,35
1517961135,37,37
1518046091,40,40
1518131777,38,38
1518218896,35,35
1518305053,39,39
1518392663,31,31
1518479539,28,28
1518565702,33,33
1518649461,27,27
1518736821,29,29
1518824656,35,35
1518911778,28,28
1518998662,37,37
1519083863,44,44
1519170739,35,35
1519257376,33,33
1519344506,38,38
1519430422,33,33
1519517777,35,35
1519602731,40,40
1519688411,42,42
1519775294,37,37
1519862429,34,34
1519947862,31,31
1520033054,31,31
1520122100,38,38
1520207534,39,39
1520293698,41,41
1520378652,36,36
1520467933,32,32
1520553128,31,31
1520637857,28,28
1520727610,27,27
1520813533,21,21
1520900408,30,30
1520985373,25,25
1521071548,34,34
1521156745,25,25
1521246019,32,32
1521330730,27,27
1521419287,18,18
1521504725,25,25
1521589689,36,36
1521678491,29,29
1521763692,36,36
1521849853,29,29
1521935288,28,28
1522024568,23,23
1522110013,30,30
1522194981,26,26
1522282810,32,32
1522369219,27,27
1522455855,33,33
1522540581,17,17
1522626495,28,28
1522715535,31,31
1522801698,31,31
1522887376,33,33
1522973530,23,23
1523059932,21,21
1523148731,20,20
1523233451,19,19
1523318890,28,28
1523404572,23,23
1523493615,24,24
1523579633,29,29
1523664974,31,31
1523753776,21,21
1523838253,26,26
1523926816,27,27
1524011528,29,29
1524098180,35,35
1524121217,0,0
1524184094,32,32
1524269048,27,27
1524358335,19,19
1524443535,33,33
1524528982,31,31
1524618254,33,33
1524704423,23,23
1524789377,33,33
1524875536,39,39
1524960734,20,20
1526573534,41,41
1526646996,31,31
1526732424,21,21
1526821205,22,22
1526905933,31,31
1526992337,34,34
1527078731,36,36
1527164425,29,29
1527253464,38,38
1527288497,0,0
1527294038,0,0
1527298591,0,0
1527302673,0,0
1527307712,0,0
1527311793,0,0
1527316111,0,0
1527320439,0,0
1527324752,0,0
1527329317,0,0
1527333872,0,0
1527338672,27,27
1527342989,0,0
1527347069,0,0
1527351394,0,0
1527355966,0,0
1527360510,0,0
1527364841,0,0
1527368674,0,0
1527373243,0,0
1527377791,0,0
1527381871,0,0
1527386190,0,0
1527390270,0,0
1527394589,0,0
1527398434,0,0
1527425531,22,22
1527511208,39,39
1527595934,40,40
1527684730,39,39
1527769687,39,39
1527858256,44,44
1527894505,0,0
1527958112,42,42
1527962912,0,0
1527967711,0,0
1527972271,0,0
1527976591,0,0
1527981395,0,0
1527985960,0,0
1527990751,0,0
1527995551,0,0
1528000355,0,0
1528004195,0,0
1528160168,37,37
1528218014,30,30
1528306573,32,32
1528318792,0,0
1528322768,0,0
1528330081,0,0
1528393209,36,36
1528478169,30,30
1528567221,31,31
1528652411,30,30
1528738195,34,34
1528823052,34,34
1528911609,34,34
1530258007,42,42
1530316333,37,37
1530402258,31,31
1530487933,30,30
1530573846,42,42
1530659538,37,37
1530748091,40,40
1530833783,41,41
1530920177,37,37
1531005382,36,36
1531091292,31,31
1531177449,40,40
1531266489,38,38
1531351451,33,33
1531440019,39,39
1531525213,30,30
1531611138,30,30
1531698009,34,34
1531783450,37,37
1531869368,37,37
1531957932,31,31
1532043381,35,35
1532128574,38,38
1532217850,28,28
1532302575,22,22
1532387771,29,29
1532477052,29,29
1532563225,33,33
1532646742,30,30
1532735776,40,40
1532820493,39,39
1532909530,25,25
1532994731,44,44
1533079938,41,41
1533168730,35,35
1533253693,41,41
1533338891,44,44
