DateTime,AddedIPs,RemovedIPs
1537713637,1,3
1537725636,2,6
1537735236,0,8
1537745437,2,9
1537755038,4,10
1537763437,12,11
1537771837,4,8
1537781438,2,6
1537791037,0,4
1537803635,4,9
1537813836,0,2
1537822836,1,8
1537831235,1,10
1537846834,0,4
1537855243,1,17
1537863035,0,5
1537871440,0,11
1537878035,1,0
1537885835,4,7
1537901436,1,9
1537909835,2,17
1537919434,4,9
1537929033,1,9
1537938632,0,3
1537947041,2,5
1537955434,0,15
1537963234,2,0
1537970434,1,13
1537977035,2,7
1537984234,0,4
1537990834,1,3
1537998033,0,8
1538005233,1,11
1538013033,2,19
1538027433,1,10
1538034638,2,6
1538041834,0,3
1538048447,2,9
1538056250,0,4
1538063452,4,3
1538070660,0,10
1538077837,1,6
1538084451,1,7
1538091652,3,1
1538098247,2,12
1538104245,1,5
1538111445,2,6
1538118675,122,11
1538125284,26,9
1538131255,11,6
1538139044,0,2
1538148049,8,15
1538155851,0,3
1538163052,1,7
1538170852,1,8
1538179249,1,3
1538187043,22,7
1538194850,2,0
1538201452,0,13
1538209249,28,9
1538224856,0,18
1538232657,0,3
1538239258,64,9
1538247659,41,15
1538254263,6,5
1538262039,4,10
1538268634,0,5
1538275234,1,8
1538282435,0,5
1538289646,1,2
1538296247,0,8
1538303457,0,1
1538310649,3,12
1538317248,1,20
1538323850,0,4
1538331649,1,5
1538339450,2,7
1538346649,0,5
1538353249,0,1
1538359845,0,2
1538367050,3,3
1538374249,1,5
1538380849,0,1
1538387451,4,1
1538394649,2,1
1538401840,0,6
1538407846,1,5
1538414444,1,4
1538421043,0,6
1538428247,0,6
1538434846,0,5
1538439644,0,4
1538446247,1,1
1538451045,0,4
1538467848,1,1
1538475045,1,7
1538482252,0,4
1538487634,1,2
1538494835,0,7
1538501434,0,3
1538507434,2,6
1538512234,0,5
1538517634,1,8
1538523633,0,5
1538529033,0,8
1538535033,2,0
1538541033,1,7
1538547032,0,8
1538552433,2,11
1538557834,1,0
1538563834,1,9
1538570434,1,17
1538577633,1,7
1538584835,2,9
1538592633,1,19
1538607034,3,13
1538614233,28,3
1538622034,1,10
1538628633,1,0
1538635833,2,3
