DateTime,AddedIPs,RemovedIPs
1540562427,2,12
1540576826,11,10
1540591225,15,9
1540605625,10,27
1540612824,1,18
1540621223,3,14
1540629026,9,16
1540643426,9,11
1540651826,6,37
1540659625,3,0
1540674025,1,10
1540688423,111,28
1540695624,6,33
1540703424,4,0
1540710627,2,8
1540719026,5,9
1540726827,8,10
1540735826,8,25
1540744825,4,61
1540754426,11,55
1540762825,8,39
1540776024,10,29
1540785023,4,47
1540794623,3,67
1540802426,1,32
1540810825,1,28
1540819225,7,27
1540827625,3,0
1540836624,4,27
1540845024,7,24
1540858823,19,10
1540866624,23,14
1540895426,23,56
1540910424,15,27
1540924225,10,29
1540937423,5,25
1540944624,6,10
1540953023,4,16
1540966822,7,16
1540974626,7,14
1540982426,6,10
1540990826,7,10
1540998625,6,11
1541006427,6,10
1541020225,17,16
1541028025,17,35
1541035224,10,16
1541049623,10,0
1541056825,7,65
1541065226,3,24
1541079025,10,15
1541092824,4,14
1541107224,8,27
1541121624,10,8
1541130023,8,14
1541143224,6,6
1541157626,17,15
1541164825,5,24
1541179224,17,35
1541193625,10,28
1541208023,0,20
1541222422,7,10
1541236225,8,22
1541244025,5,23
1541251224,6,0
1541265624,3,4
1541280024,13,28
1541294423,15,5
1541308822,7,3
1541316023,3,13
1541324425,3,13
1541338225,4,19
1541352625,10,11
1541365825,8,24
1541373624,2,17
1541380824,0,12
1541395223,11,0
1541402422,3,15
1541416825,10,13
1541425225,8,26
1541433625,5,12
1541446824,8,10
1541461224,1,22
1541473822,3,20
1541488223,10,37
1541502026,10,18
1541515225,11,13
1541522425,7,0
1541530225,1154,12
1541538624,47,6
1541547025,39,0
1541553624,10,11
1541562024,7,15
1541570424,3,11
1541578225,2,0
1541586625,3,13
1541594425,4,18
1541603424,3,13
1541617224,10,13
1541631024,12,27
1541637623,1341,12
1541650823,4158,11
1541668226,809,31
1541682626,90,0
1541697626,42,43
1541726424,28,26
1541740225,7,13
1541754626,19,20
1541769626,1087,39
1541786426,416,9
1541801427,277,7
1541817624,61,7
1541834424,38,2
1541850027,14,20
1541866226,10,9
1541883626,10,17
1541898025,40,0
1541911824,115,6
1541926827,92,14
1541943026,102,15
1541958027,29,17
1541974225,25,3
1541989225,13,24
1542006025,9,26
1542021028,11,9
1542035426,12,0
1542064826,68,53
1542079226,42,6
1542095425,27,52
1542109828,13,0
1542126627,12,18
1542155425,9,68
1542171025,3,125
1542199226,44,86
1542213026,39,113
1542226226,16,21
1542237625,8,12
1542250825,6,27
1542263424,9,337
1542275426,12,0
1542288626,6,506
1542300027,3,0
1542312626,3,0
1542324625,3,108
1542335424,8,65
1542348024,18,40
1542359427,19,70
1542370227,7,0
1542381627,4,0
1542393027,19,113
1542403826,4,47
1542414626,8,0
1542427825,41,38
1542439225,9,42
1542451226,8,44
1542464426,9,0
1542475226,16,45
1542487226,12,68
1542499225,8,41
1542510625,3,63
1542523224,8,71
1542533429,13,0
1542544828,8,43
1542555627,7,0
1542567026,1,30
1542577826,5,42
1542588626,2,31
1542600626,11,0
1542624027,21,95
1542637227,14,0
1542649827,9,301
1542661827,7,0
1542673826,9,214
1542685225,5,206
1542697225,12,0
1542709227,5,0
1542721227,4,511
1542733827,9,0
1542747026,14,488
1542758427,11,226
1542768626,7,0
1542779425,4,0
1542789631,7,515
1542801027,7,0
1542812427,8,421
1542822027,4,109
1542834027,2,31
1542844227,7,33
1542855025,2,29
1542877229,19,36
1542887428,13,52
1542899428,14,51
1542911428,124,58
1542922227,10,47
1542932427,5,52
1542943827,2,49
1542954027,14,32
1542965429,7,47
1542976228,1124,38
1542988227,250,22
1543000827,33,24
1543012827,15,16
1543024826,14,19
1543035626,11,18
1543047030,8,12
1543059030,6,23
1543071029,4,31
1543083029,5,38
1543095629,4,32
1543118427,49,30
1543129227,7,18
1543140029,8,19
1543150830,11,24
1543161629,11,17
1543171828,14,13
1543182629,5,19
1543192828,10,0
1543203027,6,22
1543214428,6,79
1543227637,6,0
1543239030,8,56
1543249229,8,34
1543260630,9,22
1543281028,6,42
1543310431,2641,44
1543354230,136,139
1543366829,71,15
1543395632,34,29
1543408231,11,48
1543421429,36,28
1543435229,83,25
1543447230,17,11
1543460429,29,17
1543473628,22,82
1543485631,6,36
1543497631,8,28
1543522830,11,39
1543534830,16,16
1543557029,17,21
1543569631,27,27
1543581030,21,34
1543593030,13,41
1543605629,25,68
1543616430,9,153
1543626629,12,0
1543638628,5,71
1543649427,7,35
1543660830,7,49
1543673430,8,39
1543683029,4,36
1543694429,3,45
1543703429,4,43
1543713028,35,0
1543724428,12,18
1543735228,5,21
1543746632,8,38
1543757431,14,39
1543768831,7,23
1543780831,16,23
1543790431,9,16
1543799429,5,13
1543810829,2,15
1543822228,2,28
1543833631,3,17
1543847431,4,31
1543858231,4,29
1543869631,7,22
1543881030,5,0
1543893028,21,84
1543906829,11,0
1543918832,7,723
1543930831,14,0
1543944030,6,0
1543955431,3,0
1543965030,6,280
1543977029,5,101
1543987829,4,0
1543999232,3,75
1544011231,8,0
1544022031,11,103
1544031631,10,106
1544042430,14,134
1544062230,17,448
1544073630,10,0
1544085031,6,112
1544095833,8,40
1544106030,4,72
1544115631,19,0
1544125831,3,19
1544144430,5,92
1544153429,3,0
1544163629,12,327
1544174431,6,165
1544185231,32,0
1544206831,16,258
1544217631,7,224
1544227232,11,103
1544236229,5,23
1544256633,2,24
1544267432,12,18
1544289632,100,25
1544310631,14,41
1544320831,78,12
1544331029,13,39
1544343033,15,48
1544355033,7,20
1544375431,3,30
1544386831,3,10
1544397031,8,21
1544408429,6,20
1544419830,6,39
1544430632,30,29
1544441433,15,57
1544462431,18,56
1544472632,6,73
1544493030,9,84
1544505030,4,34
1544517032,6,37
1544528433,15,50
1544550632,12,62
1544560830,9,26
1544571031,12,15
1544580630,2,9
1544592630,11,0
1544614233,20,52
1544625032,12,26
1544634033,6,21
1544643030,16,27
1544651431,7,14
1544660431,2248,0
1544675430,912,27
1544691033,61,49
1544707233,25,33
1544721632,46,0
1544750431,134,29
1544766031,18,44
1544795432,33,67
1544809831,218,0
1544825432,20,57
1544841031,7,12
1544855429,7,0
1544869831,32,28
1544883632,13,29
1544897431,76,0
1544925629,112,49
1544939430,17,15
1544953833,35,21
1544967633,9,12
1544982033,3,0
1544996433,9,16
1545009630,14,3
1545024031,5,10
1545053432,42,101
1545067832,19,0
1545081631,13,27
1545094831,10,0
1545108630,13,14
1545138033,16,80
1545151832,9,0
1545165632,1478,35
1545181831,236,56
1545200431,52,48
1545217833,35,19
1545236434,17,30
1545252033,13,27
1545267632,13,56
1545282031,10,0
1545295833,6,53
1545324633,137,121
1545339033,57,57
1545352231,25,0
1545364831,16,47
1545378631,23,0
1545392433,21,98
1545408633,18,121
1545424832,13,0
1545439231,4,0
1545468034,28,90
1545481233,27,33
1545493232,25,36
1545506433,12,47
1545517832,9,0
1545529231,8,26
1545540031,3,0
1545553233,6,32
1545565234,8,29
1545577832,3,31
1545589833,8,23
1545600032,7,29
1545610832,7,0
1545621631,17,23
1545634231,10,100
1545645632,9,0
1545657033,6,49
1545669033,9,0
1545679832,4,61
1545690633,1,49
1545700831,4,29
1545712230,8,89
