DateTime,AddedIPs,RemovedIPs
1540562427,409,337
1540576826,495,480
1540591225,521,483
1540605625,477,463
1540612824,344,400
1540621223,354,423
1540629026,449,429
1540643426,577,516
1540651826,349,398
1540659625,384,378
1540674025,534,443
1540688423,561,448
1540695624,292,325
1540703424,314,371
1540710627,354,354
1540719026,459,386
1540726827,347,446
1540735826,481,496
1540744825,448,461
1540754426,468,553
1540762825,479,417
1540776024,596,514
1540785023,414,469
1540794623,349,425
1540802426,389,366
1540810825,464,414
1540819225,343,419
1540827625,402,463
1540836624,527,429
1540845024,369,360
1540858823,623,490
1540866624,376,402
1540895426,692,668
1540910424,511,602
1540924225,498,494
1540937423,496,405
1540944624,367,248
1540953023,268,372
1540966822,468,527
1540974626,363,371
1540982426,371,418
1540990826,422,423
1540998625,438,486
1541006427,472,388
1541020225,558,546
1541028025,448,357
1541035224,410,334
1541049623,414,462
1541056825,372,365
1541065226,318,422
1541079025,483,509
1541092824,554,444
1541107224,452,500
1541121624,535,475
1541130023,295,422
1541143224,506,478
1541157626,582,536
1541164825,376,406
1541179224,494,486
1541193625,466,407
1541208023,392,414
1541222422,411,422
1541236225,466,474
1541244025,366,375
1541251224,375,410
1541265624,515,478
1541280024,527,457
1541294423,511,488
1541308822,398,441
1541316023,357,319
1541324425,352,410
1541338225,442,480
1541352625,478,443
1541365825,500,427
1541373624,341,361
1541380824,358,316
1541395223,425,541
1541402422,354,346
1541416825,517,529
1541425225,381,525
1541433625,417,434
1541446824,501,447
1541461224,460,363
1541473822,381,377
1541488223,443,430
1541502026,455,471
1541515225,451,509
1541522425,410,329
1541530225,1460,322
1541538624,460,457
1541547025,424,441
1541553624,425,358
1541562024,301,467
1541570424,395,541
1541578225,338,402
1541586625,419,526
1541594425,296,508
1541603424,382,545
1541617224,578,544
1541631024,473,461
1541637623,1633,185
1541650823,4790,432
1541668226,1319,1371
1541682626,840,1296
1541697626,819,1209
1541726424,922,913
1541740225,672,784
1541754626,806,726
1541769626,2313,737
1541786426,1122,1234
1541801427,998,827
1541817624,775,805
1541834424,839,972
1541850027,831,751
1541866226,754,923
1541883626,890,1002
1541898025,928,736
1541911824,801,855
1541926827,934,962
1541943026,935,1092
1541958027,876,829
1541974225,893,914
1541989225,860,763
1542006025,725,909
1542021028,849,827
1542035426,851,883
1542064826,1193,1140
1542079226,933,1018
1542095425,823,1076
1542109828,820,1031
1542126627,781,1292
1542155425,947,1315
1542171025,664,1114
1542199226,1135,1555
1542213026,1044,1383
1542226226,824,917
1542237625,595,663
1542250825,699,787
1542263424,752,798
1542275426,772,733
1542288626,699,766
1542300027,677,708
1542312626,776,687
1542324625,629,656
1542335424,658,713
1542348024,773,977
1542359427,844,718
1542370227,647,674
1542381627,660,734
1542393027,787,611
1542403826,538,626
1542414626,570,583
1542427825,617,773
1542439225,727,685
1542451226,752,625
1542464426,704,759
1542475226,838,631
1542487226,805,828
1542499225,623,730
1542510625,609,656
1542523224,662,690
1542533429,701,588
1542544828,656,645
1542555627,546,634
1542567026,645,610
1542577826,627,560
1542588626,536,568
1542600626,625,726
1542624027,1024,1211
1542637227,785,812
1542649827,731,746
1542661827,723,730
1542673826,626,684
1542685225,631,723
1542697225,655,673
1542709227,696,708
1542721227,809,804
1542733827,876,818
1542747026,855,934
1542758427,818,724
1542768626,608,608
1542779425,628,613
1542789631,722,555
1542801027,546,647
1542812427,612,612
1542822027,559,548
1542834027,600,659
1542844227,569,567
1542855025,594,512
1542877229,954,1035
1542887428,689,645
1542899428,667,768
1542911428,795,714
1542922227,598,632
1542932427,555,566
1542943827,577,608
1542954027,551,566
1542965429,616,673
1542976228,1714,588
1542988227,880,667
1543000827,768,856
1543012827,739,808
1543024826,762,747
1543035626,561,638
1543047030,548,676
1543059030,683,697
1543071029,583,728
1543083029,663,711
1543095629,629,735
1543118427,768,812
1543129227,579,635
1543140029,620,609
1543150830,672,736
1543161629,683,838
1543171828,664,627
1543182629,486,637
1543192828,607,478
1543203027,466,578
1543214428,605,628
1543227637,667,803
1543239030,775,627
1543249229,580,556
1543260630,628,563
1543281028,476,534
1543310431,4223,1001
1543354230,987,1801
1543366829,782,962
1543395632,846,1116
1543408231,851,721
1543421429,718,889
1543435229,881,899
1543447230,743,779
1543460429,775,1053
1543473628,725,927
1543485631,638,818
1543497631,736,666
1543522830,775,830
1543534830,705,571
1543557029,602,623
1543569631,689,1032
1543581030,711,847
1543593030,677,781
1543605629,722,896
1543616430,607,754
1543626629,565,597
1543638628,541,632
1543649427,535,532
1543660830,586,582
1543673430,634,707
1543683029,567,479
1543694429,520,631
1543703429,525,408
1543713028,553,423
1543724428,553,645
1543735228,602,596
1543746632,644,761
1543757431,638,675
1543768831,586,583
1543780831,636,581
1543790431,549,453
1543799429,383,432
1543810829,513,614
1543822228,565,679
1543833631,574,666
1543847431,700,904
1543858231,728,603
1543869631,684,754
1543881030,651,630
1543893028,649,743
1543906829,705,861
1543918832,627,888
1543930831,772,774
1543944030,761,704
1543955431,701,655
1543965030,575,492
1543977029,601,641
1543987829,482,592
1543999232,628,671
1544011231,742,730
1544022031,654,681
1544031631,611,556
1544042430,719,591
1544062230,585,521
1544073630,495,477
1544085031,553,640
1544095833,588,645
1544106030,626,637
1544115631,821,707
1544125831,521,574
1544144430,526,386
1544153429,455,420
1544163629,518,522
1544174431,570,611
1544185231,870,893
1544206831,572,697
1544217631,590,560
1544227232,714,610
1544236229,425,472
1544256633,463,502
1544267432,676,706
1544289632,795,683
1544310631,577,668
1544320831,833,677
1544331029,502,523
1544343033,595,746
1544355033,611,678
1544375431,615,570
1544386831,606,465
1544397031,516,601
1544408429,526,474
1544419830,560,521
1544430632,632,884
1544441433,650,617
1544462431,827,869
1544472632,681,563
1544493030,539,484
1544505030,480,539
1544517032,623,756
1544528433,636,635
1544550632,592,786
1544560830,872,750
1544571031,711,507
1544580630,516,532
1544592630,563,730
1544614233,847,916
1544625032,602,601
1544634033,553,452
1544643030,496,381
1544651431,379,367
1544660431,2601,308
1544675430,1416,744
1544691033,729,918
1544707233,897,928
1544721632,946,790
1544750431,1102,834
1544766031,818,899
1544795432,907,1035
1544809831,950,714
1544825432,613,821
1544841031,683,739
1544855429,641,743
1544869831,789,839
1544883632,798,763
1544897431,905,734
1544925629,883,816
1544939430,624,741
1544953833,766,872
1544967633,777,698
1544982033,731,737
1544996433,732,729
1545009630,744,679
1545024031,667,769
1545053432,981,1092
1545067832,773,788
1545081631,748,880
1545094831,912,729
1545108630,682,797
1545138033,854,1019
1545151832,848,946
1545165632,2259,638
1545181831,912,891
1545200431,785,1353
1545217833,949,1322
1545236434,1013,1317
1545252033,859,1048
1545267632,821,999
1545282031,702,835
1545295833,761,756
1545324633,945,1008
1545339033,804,785
1545352231,691,695
1545364831,630,650
1545378631,682,768
1545392433,827,868
1545408633,808,873
1545424832,766,859
1545439231,735,691
1545468034,809,1165
1545481233,844,767
1545493232,726,693
1545506433,653,683
1545517832,588,528
1545529231,600,532
1545540031,503,674
1545553233,603,875
1545565234,623,814
1545577832,684,871
1545589833,654,770
1545600032,585,501
1545610832,566,517
1545621631,478,560
1545634231,592,721
1545645632,643,661
