DateTime,Entries,UniqueIPs
1540562427,2541,2541
1540576826,2556,2556
1540591225,2594,2594
1540605625,2608,2608
1540612824,2552,2552
1540621223,2483,2483
1540629026,2503,2503
1540643426,2564,2564
1540651826,2515,2515
1540659625,2521,2521
1540674025,2612,2612
1540688423,2725,2725
1540695624,2692,2692
1540703424,2635,2635
1540710627,2635,2635
1540719026,2708,2708
1540726827,2609,2609
1540735826,2594,2594
1540744825,2581,2581
1540754426,2496,2496
1540762825,2558,2558
1540776024,2640,2640
1540785023,2585,2585
1540794623,2509,2509
1540802426,2532,2532
1540810825,2582,2582
1540819225,2506,2506
1540827625,2445,2445
1540836624,2543,2543
1540845024,2552,2552
1540858823,2685,2685
1540866624,2659,2659
1540895426,2683,2683
1540910424,2592,2592
1540924225,2596,2596
1540937423,2687,2687
1540944624,2806,2806
1540953023,2702,2702
1540966822,2643,2643
1540974626,2635,2635
1540982426,2588,2588
1540990826,2587,2587
1540998625,2539,2539
1541006427,2623,2623
1541020225,2635,2635
1541028025,2726,2726
1541035224,2802,2802
1541049623,2754,2754
1541056825,2761,2761
1541065226,2657,2657
1541079025,2631,2631
1541092824,2741,2741
1541107224,2693,2693
1541121624,2753,2753
1541130023,2626,2626
1541143224,2654,2654
1541157626,2700,2700
1541164825,2670,2670
1541179224,2678,2678
1541193625,2737,2737
1541208023,2715,2715
1541222422,2704,2704
1541236225,2696,2696
1541244025,2687,2687
1541251224,2652,2652
1541265624,2689,2689
1541280024,2759,2759
1541294423,2782,2782
1541308822,2739,2739
1541316023,2777,2777
1541324425,2719,2719
1541338225,2681,2681
1541352625,2716,2716
1541365825,2789,2789
1541373624,2769,2769
1541380824,2811,2811
1541395223,2695,2695
1541402422,2703,2703
1541416825,2691,2691
1541425225,2547,2547
1541433625,2530,2530
1541446824,2584,2584
1541461224,2681,2681
1541473822,2685,2685
1541488223,2698,2698
1541502026,2682,2682
1541515225,2624,2624
1541522425,2705,2705
1541530225,3843,3843
1541538624,3846,3846
1541547025,3829,3829
1541553624,3896,3896
1541562024,3730,3730
1541570424,3584,3584
1541578225,3520,3520
1541586625,3413,3413
1541594425,3201,3201
1541603424,3038,3038
1541617224,3072,3072
1541631024,3084,3084
1541637623,4532,4532
1541650823,8890,8890
1541668226,8838,8838
1541682626,8382,8382
1541697626,7992,7992
1541726424,8001,8001
1541740225,7889,7889
1541754626,7969,7969
1541769626,9545,9545
1541786426,9433,9433
1541801427,9604,9604
1541817624,9574,9574
1541834424,9441,9441
1541850027,9521,9521
1541866226,9352,9352
1541883626,9240,9240
1541898025,9432,9432
1541911824,9378,9378
1541926827,9350,9350
1541943026,9193,9193
1541958027,9240,9240
1541974225,9219,9219
1541989225,9316,9316
1542006025,9132,9132
1542021028,9154,9154
1542035426,9122,9122
1542064826,9175,9175
1542079226,9090,9090
1542095425,8837,8837
1542109828,8626,8626
1542126627,8115,8115
1542155425,7747,7747
1542171025,7297,7297
1542199226,6877,6877
1542213026,6538,6538
1542226226,6445,6445
1542237625,6377,6377
1542250825,6289,6289
1542263424,6243,6243
1542275426,6282,6282
1542288626,6215,6215
1542300027,6184,6184
1542312626,6273,6273
