DateTime,Entries,UniqueIPs
1541130028,2386,2406
1541136629,2382,2401
1541143228,2377,2396
1541150431,2377,2396
1541157630,2372,2391
1541164829,2369,2388
1541172630,2370,2389
1541179229,2365,2384
1541186429,2371,2390
1541193630,2359,2379
1541200229,2359,2379
1541208030,2355,2375
1541215829,2358,2378
1541222428,2351,2371
1541230229,2354,2374
1541236229,2359,2379
1541244030,2350,2370
1541251229,2348,2368
1541259029,2345,2365
1541265629,2343,2362
1541272829,2342,2361
1541280030,2347,2366
1541287229,2333,2352
1541294429,2337,2357
1541301629,2333,2353
1541308829,2340,2360
1541316029,2331,2351
1541324429,2328,2348
1541331030,2321,2341
1541338229,2329,2349
1541345430,2324,2344
1541352630,2318,2338
1541359830,2321,2341
1541365830,2326,2346
1541373629,2317,2337
1541380831,2310,2330
1541388629,2314,2334
1541395229,2307,2327
1541402428,2312,2332
1541410231,2309,2329
1541416828,2314,2334
1541425230,2312,2332
1541433629,2304,2323
1541440229,2309,2328
1541446829,2314,2333
1541454030,2309,2328
1541461229,2314,2333
1541467829,2312,2331
1541473828,2314,2333
1541481030,2306,2325
1541488230,2313,2332
1541496030,2310,2329
1541502029,2316,2335
1541508630,2312,2331
1541515229,2317,2336
1541522429,2320,2339
1541530230,2318,2337
1541538630,2322,2341
1541547031,2329,2348
1541553630,2331,2349
1541562030,2336,2353
1541570434,2343,2360
1541578229,2345,2362
1541586630,2349,2366
1541594431,2355,2372
1541603429,2357,2375
1541610032,2361,2379
1541617230,2358,2376
1541624430,2362,2380
1541631030,2365,2383
1541637630,2380,2398
1541650834,2390,2408
1541668234,2390,2408
1541682634,2396,2414
1541697634,2395,2413
1541713234,2394,2412
1541726432,2394,2412
1541740234,2404,2422
1541754633,2394,2412
1541769634,2394,2412
1541786435,2396,2415
1541801436,2398,2417
1541817635,2398,2417
1541834435,2395,2413
1541850035,2402,2420
1541866235,2404,2422
1541883636,2411,2429
1541898036,2417,2435
1541911834,2419,2437
1541926835,2421,2439
1541943034,2427,2445
1541958035,2422,2440
1541974235,2421,2439
1541989235,2417,2435
1542006035,2419,2437
1542021035,2414,2432
1542035434,2416,2434
1542051036,2409,2427
1542064835,2409,2427
1542079235,2412,2431
1542095435,2409,2428
1542109836,2409,2428
1542126635,2417,2436
1542141635,2408,2428
1542155433,2411,2431
1542171034,2410,2430
1542186034,2410,2430
1542199233,2413,2433
1542213033,2418,2438
1542226233,2413,2433
1542237633,2421,2441
1542250834,2421,2441
1542263432,2410,2430
1542275432,2415,2435
1542288633,2416,2435
1542300034,2420,2439
1542312633,2419,2438
1542324633,2412,2431
1542335432,2415,2434
1542348033,2414,2433
1542359433,2414,2432
1542370236,2421,2439
1542381633,2421,2439
1542393034,2415,2433
1542403833,2419,2437
1542414633,2426,2444
1542427832,2422,2440
1542439233,2430,2449
1542451232,2426,2445
1542464434,2420,2439
1542475234,2425,2444
1542487233,2417,2436
1542499236,2417,2436
1542510633,2417,2436
1542523232,2420,2439
1542533434,2424,2443
1542544834,2422,2441
1542555633,2422,2443
1542567033,2417,2438
1542577833,2414,2435
1542588633,2416,2437
1542600635,2414,2435
1542611433,2409,2430
1542624033,2403,2424
1542637233,2400,2421
1542649834,2399,2420
1542661833,2401,2422
1542673833,2404,2425
1542685233,2396,2417
1542697233,2400,2421
1542709233,2401,2422
1542721233,2393,2414
1542733833,2396,2417
1542747033,2386,2407
1542758443,2387,2408
1542768633,2387,2408
1542779432,2392,2413
1542789638,2396,2417
1542801033,2390,2411
1542812435,2389,2410
1542822034,2390,2411
1542834039,2393,2414
1542844234,2394,2415
1542855034,2397,2418
1542866441,2400,2421
1542877238,2397,2418
1542887433,2398,2420
1542899443,2400,2423
1542911435,2394,2417
1542922234,2390,2413
1542932434,2396,2420
1542943837,2400,2424
1542954036,2405,2429
1542965441,2408,2432
1542976237,2406,2430
1542988238,2413,2437
1543000839,2405,2429
1543012838,2402,2426
1543024842,2411,2434
1543035654,2413,2436
1543047038,2420,2443
1543059056,2422,2445
1543071038,2422,2446
1543083043,2423,2447
1543095641,2425,2449
1543107644,2423,2447
1543118438,2426,2450
1543129243,2428,2453
1543140044,2421,2446
1543150846,2424,2449
1543161656,2429,2454
1543171839,2428,2453
1543182642,2432,2457
1543192839,2423,2448
1543203052,2425,2450
1543214439,2426,2451
1543227646,2421,2446
1543239039,2426,2451
1543249239,2432,2457
1543260643,2429,2454
1543270241,2423,2448
1543281039,2425,2450
1543296638,2407,2432
1543310444,2413,2438
1543324844,2402,2427
1543339854,2400,2425
1543354243,2396,2421
1543366848,2387,2413
1543381842,2387,2413
1543395641,2386,2412
1543408245,2387,2415
1543421439,2387,2417
1543435244,2381,2411
1543447241,2378,2408
1543460457,2376,2406
1543473640,2375,2405
1543485644,2373,2402
1543497641,2375,2404
1543510242,2371,2400
1543522842,2368,2397
1543534842,2370,2399
1543546839,2366,2395
1543557042,2359,2388
1543569640,2357,2386
1543581039,2360,2389
1543593040,2352,2381
1543605640,2351,2380
1543616440,2350,2379
1543626640,2349,2378
1543638641,2346,2375
1543649440,2341,2369
1543660839,2340,2368
1543673440,2341,2368
1543683040,2341,2368
1543694442,2329,2358
1543703442,2321,2350
1543713039,2324,2352
1543724443,2331,2359
1543735251,2328,2356
1543746647,2323,2352
1543757442,2318,2347
1543768843,2313,2344
1543780857,2315,2346
1543790441,2319,2350
1543799439,2322,2353
1543810844,2319,2350
1543822242,2311,2342
1543833644,2316,2347
1543847439,2309,2340
1543858240,2310,2341
1543869640,2311,2342
1543881039,2310,2341
1543893039,2305,2337
1543906839,2304,2336
1543918840,2295,2325
1543930839,2295,2325
1543944039,2288,2318
1543955445,2286,2316
