DateTime,AddedIPs,RemovedIPs
1541100630,8,0
1541107229,6,8
1541114429,9,8
1541121629,12,0
1541130028,10,14
1541136629,3,0
1541143228,7,6
1541150431,6,6
1541157630,10,8
1541164829,9,8
1541172630,8,4
1541179229,7,8
1541186429,6,4
1541193630,5,9
1541200229,6,8
1541208030,6,19
1541215829,5,0
1541222428,7,5
1541230229,13,8
1541236229,6,5
1541244030,7,11
1541251229,7,6
1541259029,6,0
1541265629,7,5
1541272829,7,14
1541280030,8,8
1541287229,4,11
1541294429,6,8
1541301629,8,8
1541308829,8,4
1541316029,8,7
1541324429,8,9
1541331030,6,0
1541338229,9,8
1541345430,9,8
1541352630,3,7
1541359830,8,0
1541365830,7,10
1541373629,3,14
1541380831,6,0
1541388629,10,9
1541395229,6,11
1541402428,7,10
1541410231,6,0
1541416828,7,8
1541425230,7,13
1541433629,7,9
1541440229,6,0
1541446829,7,8
1541454030,7,8
1541461229,8,8
1541467829,7,7
1541473828,2,8
1541481030,0,6
1541488230,11,5
1541496030,3,9
1541502029,6,7
1541508630,10,0
1541515229,6,9
1541522429,6,12
1541530230,12,0
1541538630,11,15
1541547031,12,11
1541553630,9,0
1541562030,14,4
1541570434,10,20
1541578229,9,0
1541586630,11,17
1541594431,11,0
1541603429,9,18
1541610032,5,0
1541617230,8,4
1541624430,8,10
1541631030,8,7
1541637630,21,9
1541650834,17,13
1541668234,9,20
1541682634,15,16
1541697634,14,12
1541713234,13,27
1541726432,11,18
1541740234,18,9
1541754633,10,21
1541769634,9,10
1541786435,15,23
1541801436,9,13
1541817635,15,10
1541834435,9,27
1541850035,14,6
1541866235,11,27
1541883636,16,25
1541898036,13,9
1541911834,12,20
1541926835,8,18
1541943034,14,22
1541958035,8,13
1541974235,10,19
1541989235,13,16
1542006035,10,29
1542021035,10,8
1542035434,10,19
1542051036,15,23
1542064835,11,23
1542079235,13,10
1542095435,11,21
1542109836,9,15
1542126635,12,31
1542141635,8,12
1542155433,10,26
1542171034,7,26
1542186034,14,21
1542199233,10,13
1542213033,16,24
1542226233,14,22
1542237633,15,29
1542250834,11,15
1542263432,12,15
1542275432,16,11
1542288633,14,12
1542300034,14,0
1542312633,13,12
1542324633,13,9
1542335432,11,14
1542348033,13,14
1542359433,12,0
1542370236,14,14
1542381633,9,10
1542393034,13,0
1542403833,9,10
1542414633,17,14
1542427832,9,12
1542439233,15,10
1542451232,11,0
1542464434,5,8
1542475234,9,15
1542487233,7,12
1542499236,9,0
1542510633,10,9
1542523232,7,11
1542533434,8,11
1542544834,10,0
1542555633,11,10
1542567033,16,14
1542577833,11,0
1542588633,10,16
1542600635,9,13
1542624033,13,25
1542637233,7,0
1542649834,11,9
1542661833,10,10
1542673833,16,9
1542685233,13,14
1542697233,14,0
1542709233,10,9
1542721233,10,11
1542733833,9,11
1542747033,7,8
1542758443,10,0
1542768633,13,12
1542779432,11,13
1542789638,14,0
1542801033,10,11
1542812435,10,14
1542822034,14,10
1542834039,12,12
1542844234,12,0
1542855034,12,10
1542866441,10,12
1542877238,11,11
1542887433,12,12
1542899443,13,11
1542911435,12,11
1542922234,8,10
1542932434,19,10
1542943837,16,10
1542954036,15,0
1542965441,12,26
1542976237,13,12
1542988238,17,8
1543000839,15,14
1543012838,13,10
1543024842,14,10
1543035654,6,6
1543047038,17,0
1543059056,11,22
1543071038,16,9
1543083043,9,8
1543095641,11,7
1543107644,13,10
1543118438,11,11
1543129243,12,0
1543140044,12,24
1543150846,11,9
1543161656,10,15
1543171839,15,11
1543182642,12,0
1543192839,8,26
1543203052,12,0
1543214439,16,8
1543227646,13,0
1543239039,14,9
1543249239,13,10
1543260643,12,9
1543270241,0,13
1543281039,15,19
1543296638,0,11
1543310444,16,10
1543324844,10,11
1543339854,10,9
1543354243,11,21
1543366848,14,13
1543381842,17,14
1543395641,13,26
1543408245,16,11
1543421439,12,10
1543435244,9,11
1543447241,14,26
1543460457,14,11
1543473640,14,10
1543485644,15,11
1543497641,13,12
1543510242,14,14
1543522842,11,10
1543534842,11,12
1543546839,0,24
1543569640,16,25
1543581039,15,0
1543593040,9,14
1543605640,15,14
1543616440,13,14
1543626640,14,11
1543638641,15,26
1543649440,14,0
1543660839,9,14
1543673440,14,10
1543683040,13,10
1543694442,13,14
1543703442,9,12
1543713039,14,0
1543724443,11,30
1543735251,9,10
1543746647,12,12
1543757442,15,11
1543768843,12,15
1543780857,12,17
1543790441,11,10
1543799439,9,10
1543810844,9,13
1543822242,10,0
1543833644,15,13
1543847439,12,24
1543858240,11,15
1543869640,15,0
1543881039,13,18
1543893039,16,0
1543906839,7,9
1543918840,11,17
1543930839,14,10
1543944039,11,16
1543955445,12,0
1543965039,12,13
1543977039,10,13
1543987839,12,14
1543999239,10,0
1544011249,8,12
1544022057,11,11
1544031640,11,12
1544042439,8,8
1544062241,12,12
1544073641,9,12
1544085048,13,14
1544095857,16,10
1544106057,11,12
1544115652,8,0
1544125841,10,14
1544134840,0,11
1544144450,10,0
1544153449,14,0
1544163640,10,15
1544174440,9,0
1544185240,12,21
1544206841,13,10
1544217658,11,14
1544227255,8,6
1544236254,10,11
1544245844,10,8
1544256647,0,12
1544267441,9,10
1544278840,0,17
1544289641,10,10
1544310641,10,16
1544320856,9,15
1544331040,14,12
1544343041,9,9
1544355058,12,10
1544365850,0,14
1544375440,12,0
1544386835,0,11
1544397040,8,21
1544408439,13,11
1544419840,11,11
1544430639,14,10
1544441443,11,11
1544462440,13,15
1544472640,5,13
1544481642,14,11
1544493040,0,9
1544505041,15,12
