DateTime,AddedIPs,RemovedIPs
1545979928,8,11
1545980414,11,6
1545980886,6,8
1545981364,7,4
1545981848,5,7
1545982329,5,5
1545983046,6,7
1545983526,6,5
1545984014,6,12
1545984486,10,6
1545984965,5,3
1545985445,5,2
1545985924,1,0
1545987125,0,1
1546046166,4,5
1546046647,6,10
1546047126,8,6
1546047605,4,9
1546048329,10,11
1546048814,12,11
1546049286,12,8
1546049767,8,9
1546050246,6,8
1546050726,9,4
1546051204,4,8
1546051688,10,9
1546052167,9,8
1546052645,7,6
1546053129,4,12
1546053604,10,9
1546054330,15,11
1546054805,9,7
1546055524,9,8
1546056029,8,4
1546056729,4,7
1546057205,6,7
1546057929,7,7
1546058410,9,6
1546058885,6,3
1546059368,5,7
1546059848,6,8
1546060325,9,7
1546060811,7,9
1546061286,10,8
1546061765,8,10
1546062249,9,15
1546062724,14,7
1546063211,9,8
1546063685,8,6
1546064410,7,6
1546064890,6,10
1546065368,8,7
1546065845,9,11
1546066328,7,9
1546066815,7,6
1546067286,8,10
1546067768,10,9
1546068246,7,7
1546068729,9,7
1546069205,7,5
1546069925,5,6
1546070427,7,9
1546070888,9,5
1546071367,4,10
1546071845,9,4
1546072328,3,0
1546072805,0,1
1546073287,1,0
1546097526,0,1
1546098005,1,0
1546132086,0,8
1546132568,10,9
1546133287,8,11
1546133767,10,9
1546134244,7,9
1546134728,10,11
1546135218,9,5
1546135686,6,13
1546136410,17,10
1546136884,7,6
1546137365,5,8
1546137845,9,7
1546138326,8,10
1546138811,8,5
1546139286,6,5
1546139764,5,8
1546140249,8,4
1546140726,8,9
1546141205,6,6
1546141928,7,5
1546142407,4,7
1546143129,9,10
1546143605,8,7
1546144086,8,11
1546144564,11,7
1546145045,8,7
1546145529,10,7
1546146025,5,6
1546146487,5,4
1546146969,4,9
1546147444,8,5
1546147930,5,7
1546148404,6,8
1546149127,20,14
1546149611,2,9
1546150085,9,5
1546150568,7,11
1546151045,9,11
1546151527,11,5
1546152005,6,9
1546152488,9,1
1546152966,2,6
1546153446,6,6
1546153924,9,4
1546154408,3,4
1546154887,4,11
1546155364,9,6
1546155844,7,8
1546156324,11,8
1546156850,9,9
1546157289,9,6
1546157764,4,8
1546158248,10,4
1546158726,4,3
1546159208,1,1
1546159685,1,0
1546218494,0,7
1546218965,9,6
1546219445,5,8
1546219926,7,5
1546220405,5,10
1546220886,8,6
1546221374,6,9
1546221850,8,9
1546222325,10,6
1546222808,7,14
1546223284,11,9
1546224006,8,9
1546224488,7,6
1546225226,6,8
1546225925,7,9
1546226407,5,8
1546227128,13,10
1546227614,6,5
1546228326,7,7
1546228813,7,7
1546229284,9,5
1546229766,5,8
1546230254,7,5
1546230728,5,5
1546231205,3,5
1546231925,8,5
1546232415,4,5
1546232885,6,7
1546233378,6,8
1546233845,8,8
1546234329,8,5
1546235048,7,6
1546235524,15,15
1546236014,5,4
1546236495,5,9
1546236964,8,9
1546237445,9,11
1546237932,6,7
1546238408,7,7
1546238884,8,8
1546239365,7,3
1546239856,5,11
1546240329,9,5
1546240805,6,8
1546241290,10,6
1546241764,4,9
1546242250,12,8
1546242725,8,10
1546243208,11,3
1546243686,6,10
1546244168,9,5
1546244645,4,3
1546245123,1,0
1546245610,1,0
1546304891,0,4
1546305366,6,8
1546305845,7,9
1546306568,9,8
1546307050,11,9
1546307525,7,6
1546308015,7,8
1546308729,6,9
1546309448,12,7
1546309926,7,6
1546310405,5,7
1546310886,8,5
1546311619,6,6
1546312328,6,9
1546312808,9,7
1546313286,8,12
1546313768,9,7
1546314488,7,9
1546314965,10,9
1546315446,7,6
1546315926,7,9
1546316407,7,6
1546316891,7,8
1546317368,8,4
1546317848,2,8
1546318324,9,12
1546318820,8,6
1546319529,9,9
1546320004,6,7
1546320729,7,9
1546321205,8,5
1546321687,7,8
1546322164,6,8
1546322649,9,7
1546323127,7,7
1546323607,8,5
1546324329,5,8
1546324804,5,4
1546325285,6,10
1546325766,9,6
1546326246,7,8
1546326725,11,10
1546327209,7,7
1546327928,8,8
1546328405,8,5
1546329126,6,8
1546329615,8,5
1546330327,6,6
1546330803,4,5
1546331286,6,4
1546331764,1,0
1546391285,0,8
1546391775,11,8
1546392244,5,5
1546392729,9,15
1546393446,13,9
1546393924,11,9
1546394414,9,9
1546394886,10,12
1546395366,10,6
1546395844,4,7
1546396325,7,8
1546396804,10,5
1546397529,6,7
1546398009,6,8
1546398728,9,8
1546399205,8,9
1546399688,13,8
1546400164,6,6
1546400646,6,8
1546401128,9,6
1546401609,6,8
1546402086,8,7
1546402564,5,10
1546403046,9,14
1546403525,13,7
1546404004,8,9
1546404488,10,8
1546405224,7,14
1546405687,10,8
1546406165,8,8
1546406649,5,7
1546407127,9,10
1546407605,8,7
1546408328,11,9
1546408813,10,6
1546409287,4,7
1546409768,7,12
1546410245,14,7
1546410728,7,8
1546411204,8,6
1546411926,6,6
1546412653,9,6
1546413125,7,7
1546413604,7,9
1546414088,8,5
1546414806,7,2
1546415524,5,7
1546416251,9,15
1546416728,12,5
1546417208,4,3
1546417684,3,2
1546418165,1,1
1546418648,2,1
1546419125,1,0
1546444566,0,1
1546445050,1,0
1546477691,0,8
1546478408,10,9
1546478886,8,6
1546479365,7,12
1546479846,10,12
1546480327,12,11
1546480811,11,11
1546481286,10,9
1546481767,10,10
1546482486,7,7
1546482966,9,7
1546483449,5,7
1546483924,8,10
1546484414,9,9
1546484886,13,8
1546485609,7,7
1546486089,8,6
1546486566,4,5
1546487044,5,7
1546487533,8,6
1546488012,6,9
1546488727,10,9
1546489211,6,7
1546489926,9,10
1546490408,9,7
1546490884,9,6
1546491366,6,3
1546491846,4,10
1546492325,8,6
1546492809,6,9
1546493286,9,8
1546494005,7,8
1546494725,17,17
1546495454,8,10
1546495924,7,7
1546496408,8,6
1546496885,7,8
1546497365,6,9
1546497845,10,12
1546498327,11,7
1546498815,6,6
1546499530,9,8
1546500007,7,8
1546500729,12,11
1546501205,7,9
1546501925,9,5
1546502419,9,9
1546502886,7,9
1546503365,9,4
1546503845,5,3
1546504328,2,2
1546504804,1,1
1546505286,1,0
1546564326,0,6
1546564805,8,8
1546565529,7,7
1546566009,5,9
1546566485,10,4
1546566965,5,9
1546567447,9,8
1546567925,9,10
1546568408,10,8
1546568885,5,10
1546569365,11,7
1546569848,7,8
1546570324,7,6
1546570814,6,8
1546571283,7,4
1546571766,3,10
1546572244,9,5
1546572726,9,12
1546573204,7,4
1546573929,8,6
1546574426,4,8
1546575127,8,8
1546575613,6,9
1546576089,9,6
1546576565,8,7
1546577049,6,6
1546577527,7,8
1546578011,6,7
1546578489,9,8
1546578966,7,9
1546579449,7,7
1546580165,7,4
1546580649,5,11
1546581126,19,17
1546581611,9,7
1546582086,10,8
1546582571,5,9
1546583045,8,10
1546583526,8,4
1546584005,5,3
1546584490,6,13
1546585238,12,6
1546585687,7,7
1546586169,9,7
1546586644,7,7
1546587128,7,5
1546587606,5,6
1546588089,7,8
1546588565,8,7
1546589047,8,11
1546589529,8,5
1546590011,6,4
1546590485,2,1
1546590966,0,1
1546591444,1,0
1546650485,0,7
1546651205,8,7
1546651689,5,8
1546652409,12,9
1546652886,6,10
1546653368,10,9
1546653849,9,11
1546654327,10,6
1546654810,9,9
1546655528,7,10
1546656004,10,5
1546656729,6,6
1546657231,8,7
1546657927,7,11
1546658404,10,5
1546659130,10,11
1546659604,6,6
1546660330,7,8
1546660813,9,12
1546661531,11,7
1546662013,6,6
1546662729,7,9
1546663205,9,8
1546663684,8,9
1546664167,13,8
1546664645,4,6
1546665125,10,11
1546665608,8,6
1546666087,6,10
1546666568,11,7
1546667046,7,6
1546667524,7,6
1546668252,9,8
1546668725,8,11
1546669204,10,8
1546669929,7,7
1546670405,8,22
1546671128,22,10
1546671616,9,6
1546672088,6,10
1546672566,11,10
1546673045,8,6
1546673527,7,7
1546674008,6,9
1546674484,10,8
1546675222,10,11
1546675687,7,11
1546676169,11,4
1546676645,4,6
1546677127,3,1
1546677604,1,0
1546737126,2,8
1546737609,8,10
1546738085,10,9
1546738805,8,7
1546739288,8,9
1546739767,5,9
1546740247,7,5
1546740732,10,8
1546741205,6,4
1546741932,5,7
1546742404,5,7
1546742886,8,6
1546743365,5,9
1546743851,10,9
1546744326,6,8
1546744804,8,5
1546745530,7,9
1546746010,7,6
1546746485,6,9
1546747215,9,3
1546747691,5,6
1546748165,5,4
1546748644,4,9
1546749151,9,10
1546749606,8,7
1546750085,8,6
1546750814,6,7
1546751526,9,6
1546752013,4,8
1546752486,7,7
1546753205,8,9
1546753685,8,17
1546754165,18,8
1546754650,10,7
1546755127,5,7
1546755604,8,8
1546756569,8,8
1546757045,7,10
1546757525,9,7
1546758019,9,4
1546758487,5,4
1546758964,5,11
1546759449,8,5
1546759929,6,5
1546760404,7,7
1546760888,5,7
1546761613,10,12
1546762088,7,8
1546762568,9,4
1546763046,3,2
1546763525,3,0
1546764010,0,1
1546764484,1,1
1546764968,1,0
