DateTime,Entries,UniqueIPs
1545979928,4811,4811
1545980414,4816,4816
1545980886,4814,4814
1545981364,4817,4817
1545981848,4815,4815
1545982329,4815,4815
1545983046,4814,4814
1545983526,4815,4815
1545984014,4809,4809
1545984486,4813,4813
1545984965,4815,4815
1545985445,4818,4818
1545985924,4819,4819
1545987125,4818,4818
1546046166,4817,4817
1546046647,4813,4813
1546047126,4815,4815
1546047605,4810,4810
1546048329,4809,4809
1546048814,4810,4810
1546049286,4814,4814
1546049767,4813,4813
1546050246,4811,4811
1546050726,4816,4816
1546051204,4812,4812
1546051688,4813,4813
1546052167,4814,4814
1546052645,4815,4815
1546053129,4807,4807
1546053604,4808,4808
1546054330,4812,4812
1546054805,4814,4814
1546055524,4815,4815
1546056029,4819,4819
1546056729,4816,4816
1546057205,4815,4815
1546057929,4815,4815
1546058410,4818,4818
1546058885,4821,4821
1546059368,4819,4819
1546059848,4817,4817
1546060325,4819,4819
1546060811,4817,4817
1546061286,4819,4819
1546061765,4817,4817
1546062249,4811,4811
1546062724,4818,4818
1546063211,4819,4819
1546063685,4821,4821
1546064410,4822,4822
1546064890,4818,4818
1546065368,4819,4819
1546065845,4817,4817
1546066328,4815,4815
1546066815,4816,4816
1546067286,4814,4814
1546067768,4815,4815
1546068246,4815,4815
1546068729,4817,4817
1546069205,4819,4819
1546069925,4818,4818
1546070427,4816,4816
1546070888,4820,4820
1546071367,4814,4814
1546071845,4819,4819
1546072328,4822,4822
1546072805,4821,4821
1546073287,4822,4822
1546097526,4821,4821
1546098005,4822,4822
1546132086,4814,4814
1546132568,4815,4815
1546133287,4812,4812
1546133767,4813,4813
1546134244,4811,4811
1546134728,4810,4810
1546135218,4814,4814
1546135686,4807,4807
1546136410,4814,4814
1546136884,4815,4815
1546137365,4812,4812
1546137845,4814,4814
1546138326,4812,4812
1546138811,4815,4815
1546139286,4816,4816
1546139764,4813,4813
1546140249,4817,4817
1546140726,4816,4816
1546141205,4816,4816
1546141928,4818,4818
1546142407,4815,4815
1546143129,4814,4814
1546143605,4815,4815
1546144086,4812,4812
1546144564,4816,4816
1546145045,4817,4817
1546145529,4820,4820
1546146025,4819,4819
1546146487,4820,4820
1546146969,4815,4815
1546147444,4818,4818
1546147930,4816,4816
1546148404,4814,4814
1546149127,4820,4820
1546149611,4813,4813
1546150085,4817,4817
1546150568,4813,4813
1546151045,4811,4811
1546151527,4817,4817
1546152005,4814,4814
1546152488,4822,4822
1546152966,4818,4818
1546153446,4818,4818
1546153924,4823,4823
1546154408,4822,4822
1546154887,4815,4815
1546155364,4818,4818
1546155844,4817,4817
1546156324,4820,4820
1546156850,4820,4820
1546157289,4823,4823
1546157764,4819,4819
1546158248,4825,4825
1546158726,4826,4826
1546159208,4826,4826
1546159685,4827,4827
1546218494,4820,4820
1546218965,4823,4823
1546219445,4820,4820
1546219926,4822,4822
1546220405,4817,4817
1546220886,4819,4819
1546221374,4816,4816
1546221850,4815,4815
1546222325,4819,4819
1546222808,4812,4812
1546223284,4814,4814
1546224006,4813,4813
1546224488,4814,4814
1546225226,4812,4812
1546225925,4810,4810
1546226407,4807,4807
1546227128,4810,4810
1546227614,4811,4811
1546228326,4811,4811
1546228813,4811,4811
1546229284,4815,4815
1546229766,4812,4812
1546230254,4814,4814
1546230728,4814,4814
1546231205,4812,4812
1546231925,4815,4815
1546232415,4814,4814
1546232885,4813,4813
1546233378,4811,4811
1546233845,4811,4811
1546234329,4814,4814
1546235048,4815,4815
1546235524,4815,4815
1546236014,4816,4816
1546236495,4812,4812
1546236964,4811,4811
1546237445,4809,4809
1546237932,4808,4808
1546238408,4808,4808
1546238884,4808,4808
1546239365,4812,4812
1546239856,4806,4806
1546240329,4810,4810
