DateTime,AddedIPs,RemovedIPs
1519612346,1,1
1519656738,121,121
1519715792,1,1
1519745293,58,58
1519834117,49,49
1519914979,52,52
1519937054,1,1
1520010585,71,71
1520040012,1,1
1520084186,1,1
1520106510,53,53
1520187372,44,44
1520268748,42,42
1520283380,1,1
1520298019,1,1
1520357298,41,41
1520445378,45,45
1520519316,1,1
1520533936,41,41
1520556019,1,1
1520585308,1,1
1520614831,48,48
1520703628,53,53
1520776822,57,57
1520791458,1,1
1520835619,1,1
1520865146,47,47
1520953222,42,42
1521026892,1,1
1521041535,28,28
1521129633,40,40
1521217941,39,39
1521262101,1,1
1521306259,39,39
1521394342,91,91
1521408976,1,1
1521438254,1,1
1521460340,1,1
1521474974,62,62
1521504500,1,1
1521555866,186,186
1521585387,1,1
1521614660,1,1
1521643950,41,41
1521732488,44,44
1521820595,67,67
1521908665,45,45
1521997235,60,60
1522092748,57,57
1522166670,63,63
1522225951,1,1
1522241067,1,1
1522255701,50,50
1522299853,1,1
1522314498,1,1
1522343783,59,59
1522417928,37,37
1522506742,499,499
1522594849,499,499
1522609736,1,1
1522638971,1,1
1522668255,1,1
1522683141,87,87
1522697790,1,1
1522772203,43,43
1522860738,58,58
1522935860,52,52
1523024655,22,22
1523113218,55,55
1523202257,55,55
1523231561,1,1
1523290093,44,44
1523378659,35,35
1523422578,1,1
1523466740,45,45
1523540183,96,96
1523628495,69,69
1523717054,73,73
1523731946,1,1
1523805379,132,132
1523893707,53,53
1523937862,494,494
1524114498,0,0
1524769715,497,497
1524828998,1,1
1524843877,70,70
1524932419,119,119
1525020998,65,65
1525095626,78,78
1525139780,1,1
1525906335,488,488
1525965614,46,46
1526053691,59,59
1526083253,1,1
1526097867,1,1
1526141949,53,53
1526230092,41,41
1526305001,117,117
1526328250,1,1
1526401952,49,49
1526476581,1,1
1526491222,51,51
1526506099,1,1
1526564906,55,55
1526653221,60,60
1526741789,81,81
1526814980,1,1
1526829624,95,95
1526918167,108,108
1527006985,68,68
1527095772,59,59
1527154336,1,1
1527169478,180,180
1527257794,127,127
1527287074,0,0
1527302699,0,0
1527318076,0,0
1527332698,0,0
1527349022,155,155
1527364868,0,0
1527380461,0,0
1527395586,0,0
1527439468,175,175
1527483618,1,1
1527527544,142,142
1527571453,1,1
1527600970,85,85
1527645133,1,1
1527689302,104,104
1527777144,72,72
1527865213,70,70
1527909129,0,0
1527923860,0,0
1527938501,0,0
1527953132,98,98
1527967736,0,0
1527982414,0,0
1527997960,0,0
1528041860,96,96
1528129700,127,127
1528217544,77,77
1528305628,83,83
1528322797,1,1
1528388890,82,82
1528476742,104,104
1528550181,1,1
1528564817,76,76
1528638250,119,119
1528652895,1,1
1528696819,1,1
1528726088,109,109
1528815392,67,67
1528830254,1,1
1528903463,127,127
1528992767,60,60
1529080810,51,51
1529168899,71,71
1529242088,1,1
1529256743,81,81
1529329934,50,50
1529418014,62,62
1529506093,91,91
1529580735,2,2
1529595618,55,55
1529683457,54,54
1529698102,2,2
1529771539,59,59
1529860105,33,33
1529933779,48,48
1529948416,1,1
1530021621,51,51
1530036261,1,1
1530109690,50,50
1530198029,50,50
1530256570,1,1
1530286836,29,29
1530301455,1,1
1530374896,46,46
1530419291,1,1
1530463209,48,48
1530522328,1,1
1530551531,63,63
1530624744,54,54
1530713554,69,69
1530801609,51,51
1530889694,45,45
1530978008,59,59
1531066410,43,43
1531154650,51,51
1531243468,186,186
1531316902,65,65
1531346443,1,1
1531375694,1,1
1531405231,43,43
1531493313,34,34
1531581611,91,91
1531670441,33,33
1531729224,1,1
1531758742,51,51
1531847067,35,35
1531935143,47,47
1532008843,41,41
1532097382,34,34
1532170573,1,1
1532185222,44,44
1532214508,1,1
1532258655,1,1
1532273296,40,40
1532287952,1,1
1532361868,48,48
1532449955,55,55
1532538266,42,42
1532553146,1,1
1532582434,1,1
1532611954,39,39
1532656354,1,1
1532700260,61,61
1532714889,1,1
1532788571,37,37
1532876654,48,48
1532964492,63,63
1533008654,1,1
1533053076,41,41
1533097456,1,1
1533141382,57,57
1533229716,30,30
1533317549,45,45
1533391469,49,49
1533420981,1,1
1533464902,1,1
1533479533,67,67
1533494177,2,2
1533509065,1,1
1533568101,41,41
1533582751,1,1
1533656907,70,70
1533671571,1,1
1533744984,162,162
1533759611,1,1
1533832829,83,83
1533921147,136,136
1533950652,1,1
1533994594,105,105
1534023855,1,1
1534082899,59,59
1534141691,0,0
1534170971,57,57
1534200270,1,1
1534215152,1,1
1534259293,66,66
1534273933,2,2
1534347138,84,84
1534420852,1,1
1534435453,63,63
1534523540,81,81
1534538172,1,1
1534552808,1,1
1534567473,2,2
1534611876,87,87
1534699690,60,60
1534774121,56,56
1534818012,1,1
1534847548,1,1
1534862174,50,50
1534876810,1,1
1534891457,2,2
1534950256,55,55
1534964897,1,1
1535039056,110,110
1535112733,1,1
1535127376,71,71
1535215456,58,58
1535303292,230,230
1535376493,1,1
1535391398,229,229
1535465061,176,176
1535553143,232,232
1535641714,284,284
1535729798,258,258
1535818105,205,205
1535832746,1,1
1535906429,131,131
1535994252,116,116
1536082348,82,82
1536156045,74,74
1536170659,1,1
1536244830,82,82
1536259455,2,2
1536333627,83,83
1536362919,1,1
1536421468,88,88
1536450991,1,1
1536510274,69,69
1536598341,97,97
1536672991,81,81
1536761538,163,163
1536834753,1,1
1536849614,226,226
1536938915,205,205
1537012865,1,1
1537027507,128,128
1537056981,1,1
1537116261,126,126
1537131143,1,1
1537176015,1,1
1537190930,1,1
1537205796,107,107
1537249931,1,1
1537264579,1,1
1537279461,104,104
1537294337,1,1
1537323866,2,2
1537338760,1,1
1537368251,104,104
1537412439,1,1
1537456570,81,81
1537471218,1,1
1537530027,1,1
1537544652,77,77
1537633230,116,116
1537721056,91,91
1537809392,91,91
1537838665,1,1
1537867937,1,1
1537882817,93,93
1537897453,1,1
1537971630,173,173
1538060674,164,164
1538149954,164,164
1538164568,1,1
1538238013,120,120
1538311452,1,1
1538326096,77,77
1538414183,90,90
1538443940,1,1
1538473212,4,4
1538487858,93,93
1538576431,87,87
1538605696,1,1
1538664509,78,78
1538723793,1,1
1538753052,82,82
1538767961,1,1
1538841618,102,102
1538930431,83,83
1538945055,1,1
1538974354,1,1
1539018505,66,66
1539077556,1,1
1539092201,95,95
1539180022,106,106
1539194650,2,2
1539267866,62,62
1539282497,1,1
1539356199,73,73
1539444750,62,62
1539474010,1,1
1539532568,86,86
1539547225,2,2
1539591517,1,1
1539620657,109,109
1539635301,2,2
1539708736,78,78
1539782667,1,1
1539797297,83,83
1539811941,1,1
1539856109,1,1
1539870981,92,92
1539959551,81,81
1540018347,1,1
1540047863,129,129
1540062749,1,1
1540121540,1,1
1540136182,98,98
1540224514,124,124
1540239379,1,1
1540313300,132,132
1540401641,109,109
1540475544,134,134
1540548973,1,1
1540563614,73,73
1540578495,1,1
1540652189,68,68
1540740989,60,60
1540770250,1,1
1540829548,76,76
1540873452,1,1
1540888096,1,1
1540917632,63,63
