DateTime,AddedIPs,RemovedIPs
1524270921,7,7
1524358223,54,34
1524401595,16,35
1524444624,33,21
1524487830,41,20
1524531020,19,22
1524573468,45,37
1524616530,27,15
1524659732,26,17
1524702925,20,34
1524746218,27,33
1524758738,17,4
1524846023,59,57
1524889228,28,20
1524909946,4,7
1524997209,42,53
1525040413,16,37
1525083620,31,22
1525126818,25,31
1525170019,32,21
1525213225,30,21
1525256423,26,28
1525300524,23,22
1525343715,22,27
1525386922,34,28
1525430129,18,19
1525473325,20,24
1525516526,20,26
1525559719,23,22
1525602924,22,26
1525646118,22,58
1525689323,20,22
1525732523,17,34
1525775716,19,17
1525818922,37,35
1525862116,30,24
1525905320,28,35
1525948524,33,25
1525991727,84,25
1526034920,19,18
1526078131,15,23
1526121325,35,30
1526164537,21,37
1526207734,25,22
1526251832,26,31
1526295024,27,25
1526340034,37,31
1526383215,20,18
1526426426,26,26
1526469625,24,21
1526512814,36,32
1526556026,22,25
1526599228,22,70
1526642430,16,24
1526685630,26,27
1526728823,30,20
1526772032,29,38
1526816137,22,25
1526859329,30,18
1526902530,24,22
1526945730,94,29
1526988936,14,22
1527032134,16,31
1527075343,14,27
1527118535,23,36
1527161749,20,26
1527204950,102,26
1527248163,21,44
1527291365,39,20
1527334542,19,18
1527378656,17,32
1527421863,14,30
1527465064,41,37
1527508288,19,28
1527551465,26,83
1527594659,13,11
1527637868,28,16
1527681059,22,18
1527724277,38,26
1527767465,12,25
1527810679,25,112
1527853879,34,22
1527897084,36,19
1527940281,22,21
1527984376,14,24
1528027586,29,21
1528070773,19,45
1528114137,13,25
1528157182,25,15
1528200396,26,18
1528243579,10,19
1528286806,17,18
1528332693,29,37
1528375892,23,30
1528419093,20,24
1528462404,14,36
1528505504,16,14
1528548689,12,24
1528591889,24,30
1528635262,13,24
1528678284,20,14
1528721495,27,13
1528764694,10,24
1528808053,19,24
1528851088,28,15
1528894291,22,17
1528937488,14,27
1528980859,20,25
1529023895,29,12
1529067090,18,24
1529110285,25,16
1529153610,17,23
1529196697,24,23
1529239894,102,26
1529283103,16,15
1529326449,27,27
1529369496,31,10
1529412703,32,24
1529455895,18,18
1529499254,14,16
1529542300,29,34
1529585503,25,25
1529628692,23,28
1529672026,19,30
1529715984,33,35
1529759197,27,23
1529802378,17,22
1529845782,18,102
1529889684,21,21
1529932893,32,25
1529976081,9,16
1530019318,31,27
1530062470,30,19
1530105654,24,19
1530148865,28,19
1530192103,26,20
1530236168,27,24
1530279362,20,43
1530322556,34,14
1530365768,41,26
1530408958,15,20
1530453063,36,33
1530496249,14,15
1530539467,32,36
1530582651,21,13
1530625850,37,38
1530669039,20,14
1530712241,22,21
1530755445,10,31
1530798644,24,33
1530841836,25,17
1530885037,54,16
1530928238,20,25
1530971436,35,51
1531014643,23,15
1531057848,40,33
1531101043,18,17
1531144249,37,34
1531187440,17,19
1531230647,23,35
1531273846,22,12
1531317058,29,30
1531360244,41,17
1531403458,31,32
1531446651,13,12
1531489850,27,50
1531533051,16,19
1531576250,20,26
1531619662,6679,16
1531662711,826,28
1531705919,19,15
1531744604,20,31
1531787739,41,7470
1531830958,19,20
1531874150,15,24
1531917353,26,31
1531960538,20,15
1532003734,24,24
1532046943,27,25
1532090139,22,29
1532133338,11,26
1532176540,16,23
1532219743,15,11
1532262961,20,23
1532306155,17,21
1532349359,18,22
1532392544,16,17
1532435747,17,22
1532478948,18,15
1532522145,17,21
1532565342,19,16
1532608565,21,26
1532651738,22,18
1532694949,25,29
1532738151,16,21
1532781347,14,26
1532826349,14,18
1532869550,20,25
1532912745,17,21
1532955947,18,16
1532999147,17,8
1533042346,24,23
1533085544,13,19
1533128744,35,21
1533171955,25,19
1533215149,14,16
1533258349,14,19
1533301552,16,27
1533344746,12,13
1533387942,19,18
1533431145,17,17
1533474351,24,22
1533517545,18,10
1533560760,25,32
1533603949,15,21
1533647158,24,27
1533690360,16,11
1533733556,19,24
1533776756,14,19
1533819958,18,22
1533863141,26,18
1533906364,17,25
1533949556,15,20
1533992742,19,32
1534035939,8,19
1534079146,21,18
1534122360,21,22
1534165541,22,31
1534208746,19,23
1534251945,23,16
1534295153,12,13
1534338357,22,23
1534381551,34,19
1534424743,22,20
1534467950,23,16
1534511149,29,23
1534554358,19,19
1534597550,13,27
1534640753,22,16
1534683965,14,27
1534727149,18,11
1534770354,30,19
1534813551,20,17
1534856775,26,16
1534899959,22,19
1534943169,17,20
1534986370,19,11
1535029562,23,34
1535072756,16,35
1535115954,21,27
1535159165,16,13
1535202354,23,27
1535245547,7,20
1535288753,25,29
1535331953,11,19
1535375162,32,24
1535418371,36,13
1535461557,28,21
1535504756,20,18
1535547967,23,25
1535591152,21,35
1535634356,21,28
1535677561,18,29
1535720769,26,25
1535763963,34,28
1535807161,39,21
1535850366,21,19
1535893564,17,23
1535936756,16,19
1535979969,24,24
1536023159,18,18
1536066373,16,16
1536109562,17,17
1536152756,20,14
1536195971,21,15
1536239161,25,24
1536282357,18,21
1536325568,25,20
1536368771,20,22
1536411970,20,25
1536455164,17,20
1536498359,18,24
1536541578,23,19
1536584758,18,32
1536627983,28,21
1536671171,37,16
1536714383,19,17
1536757572,15,24
1536800768,19,18
1536843977,19,25
1536887172,19,28
1536930381,13,30
1536973573,26,22
1537016769,22,25
1537059976,13,23
1537103170,15,25
1537146370,17,20
1537189564,16,24
1537232768,15,16
1537275973,17,19
1537319170,17,16
1537362371,21,19
1537405561,32,14
1537448762,31,30
1537491963,22,21
1537535165,20,27
1537578354,12,18
1537621558,31,21
1537664754,16,23
1537707954,19,23
1537751159,25,12
1537794351,14,19
1537837551,35,16
1537880750,16,15
1538081457,122,87
1538780758,188,257
1538824095,11,29
1538867148,32,22
1538909512,12,30
1538952652,28,18
1538995976,30,26
1539039051,68,25
1539082253,34,20
1539125456,21,14
1539168767,16,28
1539211857,12,22
1539255062,15,18
1539298245,21,14
1539341512,21,85
1539384652,21,14
1539427906,19,24
1539471030,18,19
1539514292,15,21
1539557429,15,15
1539600722,15,15
1539643829,11,18
1539687027,26,20
1539730224,17,9
1539773431,13,21
1539816624,24,15
1539859876,20,19
1539903027,17,9
1539946312,22,17
1539989418,23,23
1540032639,14,22
1540075824,13,20
1540119102,13,17
1540162219,15,15
1540205484,17,25
1540248618,17,15
1540291861,14,17
1540335027,32,6
1540378320,15,14
1540421435,24,13
1540439432,10,4
1540526729,50,45
1540570820,25,19
1540614038,14,28
1540657231,16,26
1540700431,23,22
1540743638,22,31
1540786828,8,20
1540830039,17,23
1540873226,17,14
1540916431,16,19
1540959633,23,9
1541002843,21,20
1541046035,21,8
1541089236,31,22
1541132428,22,17
1541175623,21,28
1541218828,13,15
1541262034,16,22
1541305235,13,28
1541348434,13,22
1541391636,11,10
1541434836,32,13
1541478045,14,27
1541521251,20,33
1541564447,12,14
1541607633,18,15
1541650842,33,15
1541694035,18,23
1541737245,19,16
1541780443,18,12
1541823647,20,15
1541866841,19,20
1541910046,19,18
1541953240,22,24
1541996433,13,17
1542039646,33,23
1542082839,23,13
1542125148,20,15
1542168336,20,17
1542211541,18,18
1542254741,39,17
1542297950,22,27
1542341146,18,12
1542384342,22,19
1542427548,19,20
1542470980,23,24
1542513953,23,16
1542557151,19,23
1542600340,20,16
1542643555,20,20
1542686753,12,21
1542729958,22,35
1542773154,16,16
1542816345,15,26
1542859547,14,13
1542902745,20,23
1542945935,18,11
1542989146,14,17
1543032344,16,19
1543075557,10,25
1543118746,19,20
1543161949,27,24
1543205150,5,14
