DateTime,Entries,UniqueIPs
1527594659,1632,1632
1527637868,1644,1644
1527681059,1648,1648
1527724277,1660,1660
1527767465,1647,1647
1527810679,1560,1560
1527853879,1572,1572
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527897084,1589,1589
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527940281,1590,1590
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1527984376,1580,1580
1528027586,1588,1588
1528070773,1562,1562
1528114137,1550,1550
1528157182,1560,1560
1528200396,1568,1568
1528243579,1559,1559
1528286806,1558,1558
1528286806,1558,1558
1528286806,1558,1558
1528286806,1558,1558
1528286806,1558,1558
1528286806,1558,1558
1528332693,1550,1550
1528375892,1543,1543
1528419093,1539,1539
1528462404,1517,1517
1528505504,1519,1519
1528548689,1507,1507
1528591889,1501,1501
1528635262,1490,1490
1528678284,1496,1496
1528721495,1510,1510
1528764694,1496,1496
1528808053,1491,1491
1528851088,1504,1504
1528894291,1509,1509
1528937488,1496,1496
1528980859,1491,1491
1529023895,1508,1508
1529067090,1502,1502
1529110285,1511,1511
1529153610,1505,1505
1529196697,1506,1506
1529239894,1582,1582
1529283103,1583,1583
1529326449,1583,1583
1529369496,1604,1604
1529412703,1612,1612
1529455895,1612,1612
1529499254,1610,1610
1529542300,1605,1605
1529585503,1605,1605
1529628692,1600,1600
1529672026,1589,1589
1529715984,1587,1587
1529759197,1591,1591
1529802378,1586,1586
1529845782,1502,1502
1529889684,1502,1502
1529932893,1509,1509
1529976081,1502,1502
1530019318,1506,1506
1530062470,1517,1517
1530105654,1522,1522
1530148865,1531,1531
1530192103,1537,1537
1530236168,1540,1540
1530279362,1517,1517
1530322556,1537,1537
1530365768,1552,1552
1530408958,1547,1547
1530453063,1550,1550
1530496249,1549,1549
1530539467,1545,1545
1530582651,1553,1553
1530625850,1552,1552
1530669039,1558,1558
1530712241,1559,1559
1530755445,1538,1538
1530798644,1529,1529
1530841836,1537,1537
1530885037,1575,1575
1530928238,1570,1570
1530971436,1554,1554
1531014643,1562,1562
1531057848,1569,1569
1531101043,1570,1570
1531144249,1573,1573
1531187440,1571,1571
1531230647,1559,1559
1531273846,1569,1569
1531317058,1568,1568
1531360244,1592,1592
1531403458,1591,1591
1531446651,1592,1592
1531489850,1569,1569
1531533051,1566,1566
1531576250,1560,1560
1531619662,8223,8223
1531662711,9021,9021
1531705919,9025,9025
1531744604,9014,9014
1531787739,1585,1585
1531830958,1584,1584
1531874150,1575,1575
1531917353,1570,1570
1531960538,1575,1575
1532003734,1575,1575
1532046943,1577,1577
1532090139,1570,1570
1532133338,1555,1555
1532176540,1548,1548
1532219743,1552,1552
1532262961,1549,1549
1532306155,1545,1545
1532349359,1541,1541
1532392544,1540,1540
1532435747,1535,1535
1532478948,1538,1538
1532522145,1534,1534
1532565342,1537,1537
1532608565,1532,1532
1532651738,1536,1536
1532694949,1532,1532
1532738151,1527,1527
1532781347,1515,1515
1532826349,1511,1511
1532869550,1506,1506
1532912745,1502,1502
1532955947,1504,1504
1532999147,1513,1513
1533042346,1514,1514
1533085544,1508,1508
1533128744,1522,1522
1533171955,1528,1528
1533215149,1526,1526
1533258349,1521,1521
1533301552,1510,1510
1533344746,1509,1509
1533387942,1510,1510
1533431145,1510,1510
1533474351,1512,1512
1533517545,1520,1520
1533560760,1513,1513
1533603949,1507,1507
1533647158,1504,1504
1533690360,1509,1509
1533733556,1504,1504
1533776756,1499,1499
1533819958,1495,1495
1533863141,1503,1503
1533906364,1495,1495
1533949556,1490,1490
1533992742,1477,1477
1534035939,1466,1466
1534079146,1469,1469
1534122360,1468,1468
1534165541,1459,1459
1534208746,1455,1455
1534251945,1462,1462
1534295153,1461,1461
1534338357,1460,1460
1534381551,1475,1475
1534424743,1477,1477
1534467950,1484,1484
1534511149,1490,1490
1534554358,1490,1490
1534597550,1476,1476
1534640753,1482,1482
1534683965,1469,1469
1534727149,1476,1476
1534770354,1487,1487
1534813551,1490,1490
1534856775,1500,1500
1534899959,1503,1503
1534943169,1500,1500
1534986370,1508,1508
1535029562,1497,1497
1535072756,1478,1478
1535115954,1472,1472
1535159165,1475,1475
1535202354,1471,1471
1535245547,1458,1458
1535288753,1454,1454
1535331953,1446,1446
1535375162,1454,1454
1535418371,1477,1477
1535461557,1484,1484
1535504756,1486,1486
1535547967,1484,1484
1535591152,1470,1470
1535634356,1463,1463
1535677561,1452,1452
1535720769,1453,1453
1535763963,1459,1459
1535807161,1477,1477
1535850366,1479,1479
1535893564,1473,1473
1535936756,1470,1470
1535979969,1470,1470
1536023159,1470,1470
1536066373,1470,1470
1536109562,1470,1470
1536152756,1476,1476
1536195971,1482,1482
1536239161,1483,1483
1536282357,1480,1480
1536325568,1485,1485
1536368771,1483,1483
1536411970,1478,1478
1536455164,1475,1475
1536498359,1469,1469
1536541578,1473,1473
1536584758,1459,1459
1536627983,1466,1466
1536671171,1487,1487
1536714383,1489,1489
1536757572,1480,1480
1536800768,1481,1481
1536843977,1475,1475
1536887172,1466,1466
1536930381,1449,1449
1536973573,1453,1453
1537016769,1450,1450
1537059976,1440,1440
1537103170,1430,1430
1537146370,1427,1427
1537189564,1419,1419
1537232768,1418,1418
1537275973,1416,1416
1537319170,1417,1417
1537362371,1419,1419
1537405561,1437,1437
1537448762,1438,1438
1537491963,1439,1439
1537535165,1432,1432
1537578354,1426,1426
1537621558,1436,1436
1537664754,1429,1429
1537707954,1425,1425
1537751159,1438,1438
1537794351,1433,1433
1537837551,1452,1452
1537880750,1453,1453
1538081457,1488,1488
1538780758,1419,1419
1538824095,1401,1401
1538867148,1411,1411
1538909512,1393,1393
1538952652,1403,1403
1538995976,1407,1407
1539039051,1450,1450
1539082253,1464,1464
1539125456,1471,1471
1539168767,1459,1459
1539211857,1449,1449
1539255062,1446,1446
1539298245,1453,1453
1539341512,1389,1389
1539384652,1396,1396
1539427906,1391,1391
1539471030,1390,1390
1539514292,1384,1384
1539557429,1384,1384
1539600722,1384,1384
1539643829,1377,1377
1539687027,1383,1383
1539730224,1391,1391
1539773431,1383,1383
1539816624,1392,1392
1539859876,1393,1393
1539903027,1401,1401
1539946312,1406,1406
1539989418,1406,1406
1540032639,1398,1398
1540075824,1391,1391
1540119102,1387,1387
1540162219,1387,1387
1540205484,1379,1379
1540248618,1381,1381
1540291861,1378,1378
1540335027,1404,1404
1540378320,1405,1405
1540421435,1416,1416
1540439432,1422,1422
1540526729,1427,1427
1540570820,1433,1433
1540614038,1419,1419
1540657231,1409,1409
1540700431,1410,1410
1540743638,1401,1401
1540786828,1389,1389
1540830039,1383,1383
1540873226,1386,1386
1540916431,1383,1383
1540959633,1397,1397
1541002843,1398,1398
1541046035,1411,1411
1541089236,1420,1420
1541132428,1425,1425
1541175623,1418,1418
1541218828,1416,1416
1541262034,1410,1410
1541305235,1395,1395
1541348434,1386,1386
1541391636,1387,1387
1541434836,1406,1406
1541478045,1393,1393
1541521251,1380,1380
1541564447,1378,1378
1541607633,1381,1381
1541650842,1399,1399
1541694035,1394,1394
1541737245,1397,1397
1541780443,1403,1403
1541823647,1408,1408
1541866841,1407,1407
1541910046,1408,1408
1541953240,1406,1406
1541996433,1402,1402
1542039646,1412,1412
1542082839,1422,1422
1542125148,1427,1427
1542168336,1430,1430
1542211541,1430,1430
1542254741,1452,1452
1542297950,1447,1447
1542341146,1453,1453
1542384342,1456,1456
1542427548,1455,1455
1542470980,1454,1454
1542513953,1461,1461
1542557151,1457,1457
1542600340,1461,1461
1542643555,1461,1461
1542686753,1452,1452
1542729958,1439,1439
1542773154,1439,1439
1542816345,1428,1428
1542859547,1429,1429
1542902745,1426,1426
1542945935,1433,1433
1542989146,1430,1430
1543032344,1427,1427
1543075557,1412,1412
1543118746,1411,1411
1543161949,1414,1414
1543205150,1405,1405
1543248355,1406,1406
1543291555,1430,1430
1543334751,1433,1433
1543377962,1442,1442
1543420253,1444,1444
1543463459,1447,1447
1543505753,1442,1442
1543548964,1449,1449
1543592162,1433,1433
1543635351,1445,1445
1543678570,1443,1443
1543721749,1446,1446
1543764951,1443,1443
1543808160,1442,1442
1543851353,1438,1438
1543894567,1437,1437
1543937754,1446,1446
1543980960,1449,1449
1544024161,1455,1455
1544067354,1454,1454
1544110544,1451,1451
1544153749,1451,1451
1544196952,1438,1438
1544240157,1445,1445
1544283371,1448,1448
1544326557,1457,1457
1544369756,1457,1457
1544412945,1464,1464
1544456156,1462,1462
1544499352,1484,1484
1544542565,1483,1483
1544585764,1484,1484
1544628963,1485,1485
1544672154,1500,1500
1544715372,1493,1493
1544758565,1491,1491
1544801765,1495,1495
1544844967,1492,1492
1544888160,1486,1486
1544931374,1486,1486
1544974575,1494,1494
1545017769,1486,1486
1545060965,1481,1481
1545104155,1485,1485
1545147381,1481,1481
1545190557,1483,1483
1545233764,1466,1466
1545276975,1451,1451
1545320166,1447,1447
1545363372,1455,1455
1545406567,1457,1457
1545449758,1467,1467
1545492967,1462,1462
1545536171,1462,1462
1545578461,1460,1460
1545621653,1453,1453
1545664866,1451,1451
1545708049,1444,1444
1545751267,1454,1454
1545794451,1448,1448
1545837658,1440,1440
1545880857,1446,1446
1545924063,1452,1452
1545967264,1458,1458
1546010450,1455,1455
1546053657,1459,1459
1546096856,1450,1450
1546140045,1446,1446
1546183247,1442,1442
1546226453,1429,1429
1546269645,1422,1422
1546312842,1448,1448
1546356039,1451,1451
1546399254,1458,1458
1546442443,1464,1464
1546485657,1474,1474
1546528848,1475,1475
1546572048,1478,1478
1546615249,1472,1472
1546658454,1475,1475
1546701650,1480,1480
1546744848,1478,1478
