DateTime,AddedIPs,RemovedIPs
1546369923,1,10
1546370523,2,0
1546371723,2,8
1546372923,5,13
1546373523,8,3
1546374124,3,4
1546375323,3,6
1546375923,5,0
1546376523,4,0
1546377723,7,7
1546378323,10,73
1546378923,1,0
1546379524,1,7
1546380123,3,21
1546380723,5,0
1546381324,1,0
1546381923,1,9
1546382522,1,0
1546383723,5,21
1546384323,4,0
1546384923,2,9
1546385523,3,10
1546386123,2,8
1546387325,2,17
1546387922,4,21
1546388523,4,0
1546389722,1,32
1546390923,0,27
1546391523,3,13
1546392123,40,16
1546393323,3,17
1546393924,4,12
1546394522,3,14
1546395123,3,0
1546395723,5,8
1546396324,4,8
1546396923,3,22
1546398123,4,24
1546398725,2,24
1546399323,4,16
1546400523,1,28
1546401722,1,0
1546402924,6,19
1546404122,0,11
1546405324,4,17
1546406523,3,34
1546407723,0,18
1546408925,6,14
1546409523,5,7
1546410122,0,5
1546410723,2,16
1546411323,1,0
1546412523,1,37
1546413124,16,0
1546413723,7,0
1546414323,2,17
1546414923,0,13
1546416123,3,36
1546416723,2,12
1546417323,5,49
1546417923,2,13
1546418523,5,7
1546419723,1,19
1546420323,0,21
1546420922,2,0
1546421523,1,16
1546422123,10,19
1546422722,0,10
1546423325,5,10
1546424523,5,14
1546425723,1,43
1546426323,8,12
1546426922,3,0
1546427523,2,23
1546428123,3,20
1546428723,2,13
1546429324,2,0
1546429923,3,17
1546430524,4,10
1546431723,2,22
1546432324,4,14
1546432923,5,4
1546434123,5,13
1546434724,3,8
1546435322,1,21
1546436523,4,12
1546437123,2,0
1546437723,6,42
1546438323,2,0
1546438923,1,24
1546440123,9,34
1546440722,6,0
1546441323,2,0
1546442523,9,34
1546443123,6,0
1546443723,1,14
1546444323,13,0
1546444923,5,0
1546446124,2,16
1546447323,3,13
1546448524,9,9
1546449125,4,12
1546449723,2,0
1546450322,2,15
1546450923,5,18
1546452123,1,0
1546453323,1,32
1546453924,2,10
1546454523,7,9
1546455123,8,11
1546455724,2,4
1546456323,0,28
1546456923,2,7
1546457523,8,0
1546458123,3,7
1546458722,1,0
1546459323,6,18
1546459923,5,0
1546460523,8,8
1546461122,29,8
1546461723,1,10
1546462922,3,5
1546463524,1,7
1546464123,1,5
1546464722,1,0
1546465323,2,21
1546465924,5,32
1546466524,1,11
1546467723,1,13
1546468322,2,13
1546468923,9,0
1546470123,2,16
1546471322,3,8
1546472523,3,17
1546473122,3,5
1546473725,4,5
1546474323,6,20
1546474923,3,7
1546475523,3,0
1546476122,2,4
1546477323,4,17
1546477924,0,10
1546478523,5,7
1546479123,3,0
1546479723,7,0
1546480323,0,9
1546480923,1,3
1546482123,2,36
1546482724,4,17
1546483323,10,0
1546484523,4,20
1546485723,7,13
1546486323,9,24
1546486923,2,13
1546487523,5,0
1546488123,11,11
1546488724,6,24
1546489323,14,0
1546490522,2,15
1546491122,10,10
1546491725,4,7
1546492323,3,3
1546492922,6,13
1546494123,10,25
1546495323,4,39
1546496523,17,0
1546497723,1,17
1546498323,8,12
1546498923,6,0
1546500125,2,12
1546501323,1,13
1546501923,3,7
1546502523,4,11
1546503123,10,8
1546503723,2,2
1546504323,46,0
1546504923,5,0
1546505522,6,8
1546506123,7,0
1546507322,5,12
1546508523,5,7
1546509723,11,4
1546510923,7,16
1546511523,8,0
1546512123,8,8
1546513323,6,11
1546514523,9,16
1546515723,11,16
1546516923,10,0
1546517523,16,10
1546518124,1,0
1546518723,3,8
1546519323,6,6
1546520523,4,5
1546521722,5,20
1546522323,1,0
1546522923,8,10
1546523523,2,8
1546524124,0,10
1546524723,6,0
1546525323,7,2
1546526523,2,7
1546527723,3,0
1546528323,12,6
1546528923,2,5
1546530123,10,12
1546530723,3,0
1546531323,5,7
1546531925,3,0
1546532523,2,0
1546533723,16,9
1546534323,5,9
1546534923,3,6
1546536124,3,9
1546537323,1,0
1546538523,3,3
1546539723,7,21
1546540324,6,0
1546540923,10,2
1546541523,5,7
1546542123,5,0
1546542723,1,7
1546543323,1,3
1546544524,3,9
1546545123,3,11
1546545723,5,0
1546546923,6,10
1546548124,10,14
1546549323,34,63
1546550522,1,24
1546551124,13,0
1546551724,1,10
1546552323,0,14
1546554123,7,13
1546554723,6,0
1546555323,6,4
1546556524,8,0
1546557723,1,4
1546558924,1,1
1546559523,7,1
1546560125,4,9
1546560723,2,0
1546561323,18,7
1546561923,9,0
1546562523,0,2
1546563122,1,11
1546563723,4,0
1546564323,13,1
1546564924,4,0
1546565523,12,3
1546566122,4,0
1546567323,22,4
1546568523,4,4
1546569724,5,4
1546570924,8,1
1546572123,15,4
1546573323,6,6
1546573923,5,3
1546574524,7,0
1546575723,7,11
1546576322,10,0
1546576923,3,15
1546577523,3,0
1546578123,9,12
1546578722,0,3
1546579323,13,8
1546579923,4,6
1546580524,10,2
1546581723,1,4
1546582323,5,12
1546582922,3,0
1546583523,4,2
1546584123,24,0
1546584723,4,16
1546585323,10,0
1546585923,1,19
1546586523,9,0
1546587123,8,9
1546587723,5,0
1546588323,7,4
1546588923,4,3
1546589523,6,4
1546590123,7,0
1546591323,15,7
1546592523,4,11
1546593722,2,5
1546594922,7,0
1546595524,5,31
1546596123,6,10
1546597323,7,6
1546598523,7,23
1546599723,9,9
1546600922,2,7
1546602123,9,6
1546602724,2,4
1546603323,9,0
1546604523,3,12
1546605123,5,8
1546605724,8,0
1546606323,5,15
1546606923,2,0
1546607523,37,2
1546608123,1,5
1546609323,1,11
1546610523,1,8
1546611723,5,6
1546612323,2,0
1546613523,2,1
1546614123,3,3
1546614723,3,0
1546615323,5,25
1546616523,1,0
1546617723,5,9
1546618325,28,0
1546618924,6,15
1546620123,6,10
1546621324,6,15
1546621923,4,1
1546622523,2,8
1546623724,5,4
1546624323,4,8
1546624923,4,2
1546626123,4,0
1546626723,4,8
1546627323,4,0
1546628523,24,48
1546629722,12,22
1546630323,1,4
1546630923,3,3
1546631523,3,0
1546632122,9,0
1546632724,1,4
1546633322,2,4
1546633923,11,4
1546634523,4,2
1546635123,0,6
1546635725,1,5
1546636326,9,0
1546636923,4,5
1546638123,0,9
1546638723,0,5
1546639323,7,5
1546639923,4,0
1546640522,2,4
1546641123,1,6
1546641722,2,0
1546642323,3,2
1546644123,2,2
1546645323,1,12
1546645922,3,5
1546646524,1,0
1546647723,2,15
1546648323,4,4
1546648923,2,2
1546649523,5,0
1546650123,6,4
1546651325,6,5
1546651922,1,0
1546652524,2,2
1546653123,4,0
1546653724,28,0
1546654923,7,6
1546656123,8,9
1546656723,5,5
1546657323,4,0
1546658523,1,5
1546659723,2,51
1546660924,8,18
1546662123,5,45
1546662722,5,0
1546663323,2,11
1546664523,5,9
1546665723,3,12
1546666323,1,9
1546666923,2,6
1546667523,2,0
1546668123,3,14
1546669324,6,3
1546670522,4,9
1546671123,7,9
1546671723,3,10
1546672923,2,11
1546673524,6,0
1546674123,5,4
1546675323,3,11
1546675923,2,8
1546676522,1,0
1546677123,5,2
1546677723,4,3
1546678323,4,11
1546678923,4,4
1546680122,2,4
1546681323,2,6
1546682522,5,3
1546683723,3,6
1546684923,3,43
1546685522,2,11
1546686122,6,0
1546687323,3,9
1546688523,2,9
1546689123,4,6
1546689723,4,4
1546690322,1,4
1546692123,1,12
1546693324,4,7
1546693923,12,6
1546694524,5,4
1546695124,2,4
1546695723,10,5
1546696323,5,0
1546696923,7,0
1546698123,4,15
1546698723,6,0
1546699322,1,9
1546699923,9,4
1546700523,4,0
1546701124,3,5
1546701723,11,3
1546702922,8,1
1546704124,7,48
1546704724,7,0
1546705323,1,0
1546705924,1,23
1546706524,0,5
1546707122,1,0
1546707723,3,0
1546708924,1,14
1546709523,6,0
1546710123,4,3
1546710723,12,0
1546711323,4,0
1546712523,2,8
1546713723,4,3
1546714923,2,4
1546716123,2,18
1546717323,2,4
1546718524,4,2
1546719723,2,13
1546720923,4,4
1546721523,6,11
1546722123,8,0
1546723323,2,7
1546724523,3,13
1546725722,1,3
1546726923,13,5
1546728123,6,7
1546728723,5,2
1546729323,6,0
1546730522,2,2
1546731723,3,6
1546732323,5,1
1546732924,1,4
1546733523,1,0
1546734123,6,5
1546734723,10,1
1546735323,0,1
1546735923,2,0
1546736523,2,4
1546737722,9,8
1546738323,1,3
1546738923,3,6
1546739524,1,5
1546740125,4,0
1546741324,12,8
1546741922,4,4
1546742523,5,2
1546743123,2,0
1546743724,4,9
1546744922,4,6
1546746123,2,5
1546747323,3,0
1546748523,2,7
1546749123,2,14
1546750323,2,7
1546750923,5,0
1546752123,3,6
1546753323,4,15
1546754523,13,16
1546755723,2,0
1546756323,7,13
1546756923,2,0
1546758124,3,34
1546758723,18,9
1546759323,1,0
1546760523,3,24
1546761123,2,9
1546761723,6,9
1546762325,13,16
1546762924,2,0
1546763522,1,9
1546764123,1,6
1546765323,6,20
1546766524,6,5
1546767724,1,2
1546768323,1,11
1546768923,5,2
1546770124,5,12
1546771323,1,8
1546771923,2,61
1546772524,2,0
