DateTime,AddedIPs,RemovedIPs
1546374124,80,80
1546375323,80,80
1546375923,80,80
1546376523,80,80
1546377723,80,80
1546378323,80,80
1546378923,78,78
1546379524,80,80
1546380123,80,80
1546380723,78,78
1546381324,80,80
1546381923,80,80
1546382522,80,80
1546383723,76,76
1546384323,79,79
1546384923,80,80
1546385523,79,79
1546386123,80,80
1546387325,80,80
1546387922,80,80
1546388523,80,80
1546389722,80,80
1546390923,80,80
1546391523,79,79
1546392123,79,79
1546393323,80,80
1546393924,80,80
1546394522,80,80
1546395123,80,80
1546395723,80,80
1546396324,80,80
1546396923,80,80
1546398123,79,79
1546398725,80,80
1546399323,80,80
1546400523,80,80
1546401722,80,80
1546402924,80,80
1546404122,80,80
1546405324,80,80
1546406523,80,80
1546407723,80,80
1546408925,80,80
1546409523,79,79
1546410122,80,80
1546410723,80,80
1546411323,80,80
1546412523,80,80
1546413124,80,80
1546413723,79,79
1546414323,80,80
1546414923,80,80
1546416123,80,80
1546416723,80,80
1546417323,80,80
1546417923,80,80
1546418523,80,80
1546419723,80,80
1546420323,80,80
1546420922,78,78
1546421523,80,80
1546422123,80,80
1546422722,80,80
1546423325,80,80
1546424523,80,80
1546425723,80,80
1546426323,80,80
1546426922,80,80
1546427523,80,80
1546428123,80,80
1546428723,80,80
1546429324,79,79
1546429923,80,80
1546430524,80,80
1546431723,80,80
1546432324,80,80
1546432923,79,79
1546434123,80,80
1546434724,80,80
1546435322,80,80
1546436523,77,77
1546437123,80,80
1546437723,79,79
1546438323,80,80
1546438923,80,80
1546440123,80,80
1546440722,80,80
1546441323,78,78
1546442523,80,80
1546443123,80,80
1546443723,80,80
1546444323,80,80
1546444923,80,80
1546446124,79,79
1546447323,80,80
1546448524,80,80
1546449125,80,80
1546449723,80,80
1546450322,80,80
1546450923,80,80
1546452123,78,78
1546453323,76,76
1546453924,80,80
1546454523,77,77
1546455123,80,80
1546455724,80,80
1546456323,80,80
1546456923,80,80
1546457523,80,80
1546458123,80,80
1546458722,80,80
1546459323,79,79
1546459923,79,79
1546460523,80,80
1546461122,78,78
1546461723,80,80
1546462922,80,80
1546463524,80,80
1546464123,80,80
1546464722,80,80
1546465323,80,80
1546465924,80,80
1546466524,79,79
1546467723,80,80
1546468322,80,80
1546468923,80,80
1546470123,80,80
1546471322,80,80
1546472523,80,80
1546473122,79,79
1546473725,80,80
1546474323,80,80
1546474923,80,80
1546475523,80,80
1546476122,80,80
1546477323,80,80
1546477924,80,80
1546478523,80,80
1546479123,79,79
1546479723,79,79
1546480323,80,80
1546480923,80,80
1546482123,80,80
1546482724,79,79
1546483323,80,80
1546484523,80,80
1546485723,80,80
1546486323,80,80
1546486923,80,80
1546487523,78,78
1546488123,80,80
1546488724,80,80
1546489323,79,79
1546490522,80,80
1546491122,80,80
1546491725,80,80
1546492323,80,80
1546492922,80,80
1546494123,80,80
1546495323,79,79
1546496523,80,80
1546497723,80,80
1546498323,80,80
1546498923,80,80
1546500125,80,80
1546501323,80,80
1546501923,80,80
1546502523,80,80
1546503123,80,80
1546503723,80,80
1546504323,79,79
1546504923,80,80
1546505522,80,80
1546506123,80,80
1546507322,79,79
1546508523,80,80
1546509723,80,80
1546510923,80,80
1546511523,76,76
1546512123,80,80
1546513323,80,80
1546514523,79,79
1546515723,80,80
1546516923,80,80
1546517523,80,80
1546518124,80,80
1546518723,80,80
1546519323,80,80
1546520523,80,80
1546521722,80,80
1546522323,80,80
1546522923,80,80
1546523523,80,80
1546524124,80,80
1546524723,80,80
1546525323,80,80
1546526523,80,80
1546527723,80,80
1546528323,80,80
1546528923,79,79
1546530123,79,79
1546530723,79,79
1546531323,80,80
1546531925,80,80
1546532523,80,80
1546533723,80,80
1546534323,79,79
1546534923,80,80
1546536124,80,80
1546537323,80,80
1546538523,80,80
1546539723,78,78
1546540324,79,79
1546540923,80,80
1546541523,80,80
1546542123,80,80
1546542723,80,80
1546543323,80,80
1546544524,80,80
1546545123,80,80
1546545723,80,80
1546546923,80,80
1546548124,80,80
1546549323,80,80
1546550522,79,79
1546551124,80,80
1546551724,80,80
1546552323,80,80
1546552923,80,80
1546554123,80,80
1546554723,80,80
1546555323,77,77
1546556524,80,80
1546557723,80,80
1546558924,80,80
1546559523,80,80
1546560125,80,80
1546560723,80,80
1546561323,80,80
1546561923,80,80
1546562523,80,80
1546563122,80,80
1546563723,80,80
1546564323,80,80
1546564924,79,79
1546565523,79,79
1546566122,79,79
1546567323,80,80
1546568523,80,80
1546569724,80,80
1546570924,80,80
1546572123,80,80
1546573323,80,80
1546573923,80,80
1546574524,80,80
1546575723,80,80
1546576322,80,80
1546576923,80,80
1546577523,80,80
1546578123,79,79
1546578722,80,80
1546579323,80,80
1546579923,80,80
1546580524,80,80
1546581723,80,80
1546582323,80,80
1546582922,80,80
1546583523,80,80
1546584123,79,79
1546584723,80,80
1546585323,80,80
1546585923,80,80
1546586523,80,80
1546587123,80,80
1546587723,79,79
1546588323,80,80
1546588923,80,80
1546589523,80,80
1546590123,80,80
1546591323,80,80
1546592523,80,80
1546593722,80,80
1546594922,79,79
1546595524,80,80
1546596123,80,80
1546597323,80,80
1546598523,79,79
1546599723,80,80
1546600922,80,80
1546602123,80,80
1546602724,78,78
1546603323,80,80
1546604523,80,80
1546605123,80,80
1546605724,79,79
1546606323,80,80
1546606923,80,80
1546607523,80,80
1546608123,80,80
1546609323,79,79
1546610523,80,80
1546611723,78,78
1546612323,80,80
1546613523,80,80
1546614123,80,80
1546614723,80,80
1546615323,79,79
1546616523,80,80
1546617723,80,80
1546618325,80,80
1546618924,80,80
1546620123,80,80
1546621324,80,80
1546621923,80,80
1546622523,80,80
1546623724,80,80
1546624323,80,80
1546624923,80,80
1546626123,80,80
1546626723,80,80
1546627323,79,79
1546628523,80,80
1546629722,80,80
1546630323,80,80
1546630923,80,80
1546631523,80,80
1546632122,79,79
1546632724,78,78
1546633322,78,78
1546633923,80,80
1546634523,80,80
1546635123,80,80
1546635725,80,80
1546636326,80,80
1546636923,80,80
1546638123,80,80
1546638723,80,80
1546639323,80,80
1546639923,80,80
1546640522,80,80
1546641123,80,80
1546641722,80,80
1546642323,79,79
1546642922,80,80
1546644123,80,80
1546645323,80,80
1546645922,79,79
1546646524,79,79
1546647723,80,80
1546648323,80,80
1546648923,80,80
1546649523,80,80
1546650123,80,80
1546651325,78,78
1546651922,80,80
1546652524,80,80
1546653123,80,80
1546653724,80,80
1546654923,80,80
