DateTime,AddedIPs,RemovedIPs
1546336923,14,47
1546337523,22,0
1546338123,32,42
1546339322,41,35
1546340524,31,12
1546341123,8,20
1546341722,12,10
1546342323,6,7
1546343522,4,2
1546344123,0,5
1546345323,4,20
1546345923,6,0
1546346523,6,3
1546347122,1,2
1546347723,0,6
1546348922,6,27
1546349523,29,50
1546350123,9,0
1546350723,24,19
1546351323,1,18
1546351923,9,0
1546352523,50,57
1546353723,70,69
1546354923,15,65
1546355522,11,0
1546356123,6,0
1546357322,52,68
1546358524,28,0
1546359123,4,31
1546359723,15,55
1546360922,21,10
1546362123,5,18
1546363324,73,39
1546364522,36,60
1546365723,5,34
1546366923,1,0
1546368124,13,1
1546368723,1,30
1546369323,1,0
1546370523,2,8
1546371723,36,17
1546372923,58,67
1546373523,18,0
1546374123,23,0
1546374722,50,78
1546375323,26,21
1546376523,12,17
1546377723,18,0
1546378923,5,14
1546379524,56,10
1546380123,49,2
1546381323,48,58
1546382522,17,36
1546383723,37,53
1546384323,49,25
1546384923,0,66
1546386123,60,0
1546386723,42,2
1546387325,18,28
1546387922,1,36
1546388523,0,16
1546389722,21,22
1546390922,10,13
1546391523,0,11
1546392123,1,0
1546393323,7,22
1546394522,32,28
1546395723,26,24
1546396923,18,13
1546398123,15,22
1546399323,8,28
1546399924,1,0
1546401123,0,8
1546401722,5,0
1546402923,47,73
1546404122,31,38
1546405324,53,69
1546406523,62,34
1546407723,25,29
1546408924,46,20
1546409523,38,0
1546410122,35,34
1546410722,17,0
1546411322,8,52
1546411922,4,8
1546412523,1,30
1546413722,14,0
1546414922,25,51
1546416123,48,68
1546416723,22,0
1546417323,14,0
1546418522,0,53
1546419722,3,0
1546420922,3,25
1546422122,18,3
1546423325,37,0
1546423923,62,46
1546424523,59,5
1546425722,60,43
1546426922,24,54
1546427523,15,10
1546428123,2,0
1546428723,6,8
1546429323,14,22
1546429922,7,0
1546430524,6,19
1546431122,9,0
1546431723,3,0
1546432923,38,4
1546434123,17,19
1546435322,14,24
1546435923,14,19
1546436523,24,0
1546437123,2,17
1546437723,4,8
1546438323,21,0
1546438923,41,11
1546440122,34,64
1546441323,26,59
1546442523,26,49
1546443723,65,36
1546444323,41,0
1546444922,32,14
1546446123,54,22
1546447323,15,19
1546448524,18,0
1546449723,68,12
1546450923,37,69
1546452123,4,0
1546452723,4,5
1546453323,13,0
1546453924,8,18
1546454523,4,6
1546455723,3,3
1546456323,24,4
1546456923,2,18
1546457522,2,0
1546458122,2,46
1546459323,46,6
1546459923,58,0
1546460523,24,30
1546461723,53,47
1546462922,16,55
1546464123,12,6
1546464722,22,0
1546465323,7,29
1546465923,75,0
1546466523,8,57
1546467723,8,33
1546468322,8,0
1546468923,28,0
1546470123,28,17
1546470722,2,43
1546471322,7,0
1546471922,21,55
1546472523,49,0
1546473122,42,25
1546473725,6,49
1546474923,5,24
1546476122,6,45
1546477323,2,6
1546477923,11,10
1546478523,1,11
1546479723,59,21
1546480923,39,0
1546482123,10,32
1546482723,7,0
1546483323,1,3
1546484523,15,0
1546485123,1,27
1546485723,1,0
1546486323,3,6
1546486922,2,0
1546487523,47,8
1546488123,42,27
1546488723,18,0
1546489323,43,0
1546489922,0,28
1546490522,23,13
1546491725,33,59
1546492323,29,0
1546492922,30,0
1546494123,12,86
1546495323,64,0
1546496523,50,61
1546497723,10,47
1546498323,5,3
1546498923,33,0
1546500124,10,24
1546501323,27,32
1546502523,65,0
1546503723,7,82
1546504923,8,18
1546506123,3,0
1546507322,10,10
1546508522,0,9
1546509723,2,18
1546510923,64,149
1546512122,55,70
1546513323,36,0
1546514523,24,26
1546515723,19,41
1546516923,16,23
1546517523,4,2
1546518124,3,14
1546518723,10,0
1546519323,7,26
1546520523,19,40
1546521722,10,0
1546522923,33,22
1546524123,42,23
1546524723,14,8
1546525323,17,64
1546525923,50,0
1546526522,42,38
1546527723,25,22
1546528923,37,0
1546529523,40,22
1546530123,67,0
1546531323,49,78
1546531924,10,0
1546532522,1,43
1546533723,23,0
1546534923,1,17
1546535523,37,21
1546536123,47,55
1546536723,56,0
1546537323,20,0
1546537923,5,18
1546538523,2,0
1546539723,2,36
1546540923,30,13
1546541523,1,11
1546542123,9,23
1546543323,6,6
1546544523,14,9
1546545723,32,35
1546546323,55,91
1546546923,34,43
1546548123,37,52
1546548723,19,0
1546549323,15,0
1546550522,33,29
1546551723,58,4
1546552923,47,39
1546554123,10,34
1546554723,1,22
1546555323,0,19
1546556523,49,0
1546557723,61,41
1546558923,46,6
1546560125,27,107
1546561323,4,12
1546562523,3,0
1546563122,10,4
1546563723,48,0
1546564323,0,12
1546564924,8,4
1546565523,1,31
1546566122,57,0
1546566723,23,31
1546567323,9,31
1546568523,12,0
1546569723,14,8
1546570323,5,10
1546570924,1,2
1546572123,1,19
1546573323,12,2
1546574523,68,45
1546575723,18,50
1546576322,5,13
1546576923,23,20
1546578123,56,14
1546578722,11,17
1546579323,24,43
1546579923,8,0
1546580524,8,44
1546581723,28,0
1546582323,22,65
1546582922,9,12
1546583522,7,0
1546584123,24,0
1546584723,3,18
1546585323,0,38
1546586523,63,22
1546587723,66,0
1546588323,42,38
1546588923,51,44
1546589523,26,0
1546590123,12,0
1546591322,8,21
1546591923,6,3
1546592522,9,0
1546593123,9,14
1546593722,6,4
1546594922,4,0
1546596123,41,3
1546597322,16,25
1546597924,59,53
1546598523,47,48
1546599122,22,0
1546599723,21,0
1546600323,0,35
1546600922,3,17
1546602123,5,0
1546603323,6,28
1546604522,0,18
1546605723,15,20
1546606923,6,24
1546607522,1,21
1546608123,4,0
1546608722,16,32
1546609323,7,23
1546610523,11,0
1546611123,23,9
1546611723,48,35
1546612323,45,47
1546613523,26,41
1546614123,19,0
1546615323,4,62
1546616523,31,42
1546617723,29,44
1546618324,2,12
1546618923,17,5
1546620123,2,36
1546620723,2,0
1546621324,6,0
1546622522,67,43
1546623724,56,113
1546624323,26,3
1546624923,14,9
1546626122,12,0
1546627323,5,16
1546628523,2,44
1546629123,12,0
1546629722,1,19
1546630323,2,0
1546630923,41,0
1546631523,43,36
1546632122,12,0
1546632724,29,32
1546633322,37,36
1546633923,15,56
1546634523,17,0
1546635725,33,65
1546636326,16,0
1546636922,15,36
1546638123,71,0
1546638723,9,60
1546639323,1,13
1546639923,2,0
1546641123,8,2
1546641722,62,0
1546642322,12,31
1546642922,16,56
1546644123,47,0
1546645323,36,69
1546646524,24,45
1546647723,7,7
1546648923,14,19
1546650123,9,30
1546651324,34,25
1546651922,7,0
1546652524,7,48
