DateTime,AddedIPs,RemovedIPs
1544948102,176,0
1544951702,199,0
1544955302,196,0
1544958902,204,0
1544962502,386,0
1544966102,393,0
1544969702,303,0
1544973302,258,0
1544976902,260,0
1544980502,229,0
1544984102,248,0
1544987702,229,0
1544991302,214,0
1544994902,198,0
1544998502,182,0
1545002102,170,0
1545005702,214,5695
1545009302,249,0
1545012902,227,0
1545016502,208,0
1545020102,228,0
1545023702,209,0
1545027302,241,0
1545030902,248,0
1545034502,283,0
1545038102,254,0
1545041703,423,0
1545045303,287,0
1545048902,298,0
1545052502,290,0
1545056102,336,0
1545059702,267,0
1545063302,228,0
1545066902,215,0
1545070502,208,0
1545074102,252,0
1545077703,204,0
1545081302,230,0
1545084902,212,0
1545088502,214,0
1545092102,245,5071
1545095702,220,0
1545099302,210,0
1545102902,210,0
1545106502,231,0
1545110102,231,0
1545113702,236,0
1545117302,251,0
1545120902,293,0
1545124502,549,0
1545128102,412,0
1545131702,253,1
1545135302,330,0
1545138902,235,0
1545142502,265,0
1545146102,179,0
1545149702,285,0
1545153302,299,0
1545156902,239,0
1545160502,234,0
1545164102,202,0
1545167703,148,0
1545171302,171,0
1545174902,171,0
1545178502,182,5902
1545182102,282,0
1545185702,174,0
1545189302,191,0
1545192902,150,0
1545196502,203,0
1545200102,214,0
1545203702,222,0
1545207302,214,0
1545210902,250,0
1545214502,208,0
1545218102,298,0
1545221702,171,0
1545225302,184,0
1545228902,172,1
1545232502,171,0
1545236102,372,0
1545239702,112,0
1545243302,141,0
1545246902,86,0
1545250502,86,0
1545254102,104,0
1545257702,92,0
1545261302,110,0
1545264901,116,6282
1545268502,81,0
1545272102,103,0
1545275702,108,0
1545279302,128,0
1545282902,135,0
1545286502,159,0
1545290102,172,0
1545293702,166,0
1545297302,191,0
1545300902,229,0
1545304502,601,0
1545308102,605,0
1545311702,179,0
1545315302,537,0
1545318902,283,0
1545322502,293,0
1545326102,286,0
1545329702,261,0
1545333302,289,0
1545336902,261,0
1545340502,188,0
1545344102,190,0
1545347703,186,0
1545351302,117,4644
1545354902,142,0
1545358502,144,0
1545362102,159,0
1545365702,180,0
1545369302,164,0
1545372902,188,0
1545376502,170,0
1545380102,180,0
1545383701,116,0
1545387302,180,0
1545390902,167,0
1545394502,191,0
1545398102,188,0
1545401702,165,0
1545405302,169,0
1545408902,185,0
1545412502,129,0
1545416102,181,0
1545419702,157,0
1545423302,158,0
1545426902,315,0
1545430502,158,0
1545434102,208,0
1545437702,143,5572
1545441302,159,0
1545444902,146,0
1545448501,166,0
1545452102,170,1
1545455702,154,0
1545459302,166,0
1545462902,228,0
1545466502,317,0
1545470102,328,0
1545473701,226,0
1545477302,219,0
1545480902,197,0
1545484502,197,0
1545488102,243,0
1545491702,188,0
1545495302,200,0
1545498902,209,0
1545502502,165,0
1545506102,182,0
1545509702,186,0
1545513302,140,0
1545516902,160,0
1545520503,167,0
1545524102,122,4141
1545527702,121,0
1545531301,131,0
1545534902,140,0
1545538502,109,0
1545542102,118,0
1545545702,126,0
1545549302,130,0
1545552901,128,0
1545556502,151,0
1545560102,205,0
1545563702,169,0
1545567302,176,0
1545570902,147,0
1545574502,138,0
1545578102,147,0
1545581702,150,0
1545585302,155,0
1545588902,163,0
1545592502,173,0
1545596102,135,0
1545599702,125,0
1545603302,101,0
1545606902,149,0
1545610502,117,4762
1545614102,141,0
1545617702,137,0
1545621302,156,0
1545624902,144,0
1545628502,158,0
1545632102,317,0
1545635702,181,0
1545639302,197,0
1545642902,258,0
1545646502,210,0
1545650102,206,0
1545653702,190,0
1545657302,183,0
1545660902,173,0
1545664502,142,0
1545668102,173,0
1545671702,139,0
1545675302,155,0
1545678903,144,0
1545682502,140,0
1545686102,149,0
1545689702,137,0
1545693302,125,0
1545696902,167,3554
1545700502,125,0
1545704102,142,0
1545707702,122,0
1545711302,139,0
1545714902,108,0
1545718502,154,0
1545722102,140,0
1545725702,180,0
1545729302,148,0
1545732902,154,0
1545736502,162,0
1545740101,193,0
1545743702,160,0
1545747302,174,0
1545750902,178,0
1545754502,170,0
1545758102,164,0
1545761702,153,0
1545765302,135,0
1545768902,122,0
1545772502,138,0
1545776102,146,0
1545779702,130,0
1545783302,146,4141
1545786902,148,0
1545790502,151,0
1545794102,134,0
1545797701,133,0
1545801302,148,0
1545804902,177,0
1545808502,146,0
1545812102,196,0
1545815702,204,0
1545819302,201,0
1545822902,200,0
1545826502,177,0
1545830102,187,0
1545833702,226,0
1545837301,181,0
1545840902,169,0
1545844502,184,0
1545848102,182,0
1545851702,158,0
1545855302,176,0
1545858903,130,0
1545862502,168,0
1545866102,140,0
1545869702,164,3589
1545873302,172,0
1545876902,183,0
1545880502,203,0
1545884102,169,0
1545887702,195,0
1545891302,214,0
1545894902,266,0
1545898502,260,0
1545902102,291,0
1545905702,262,0
1545909302,209,0
1545912902,235,0
1545916502,244,0
1545920102,208,0
