DateTime,AddedIPs,RemovedIPs
1544268060,2,3
1544274362,0,1
1544275269,2,3
1544282458,1,8
1544289660,4,3
1544292362,0,1
1544296863,6,1
1544304068,4,1
1544311256,2,1
1544318456,1,4
1544325658,4,1
1544332866,3,6
1544340063,3,6
1544347261,4,4
1544352831,2,2
1544354584,8,2
1544361652,2,3
1544368854,3,2
1544376053,5,1
1544383257,1,1
1544390460,4,1
1544397654,2,2
1544402168,0,1
1544404854,2,1
1544412051,3,3
1544414754,0,1
1544419255,6,4
1544426446,3,3
1544431842,0,1
1544433651,3,1
1544439957,1,1
1544440853,0,4
1544448066,2,2
1544451650,1,0
1544455250,1,2
1544462450,8,1
1544463349,0,1
1544469655,3,3
1544476851,1,1
1544484058,6,1
1544491254,15,5
1544498466,5,4
1544505648,4,4
1544512855,5,5
1544520061,9,7
1544527385,1,4
1544534471,7,4
1544541660,3,6
1544548862,6,1
1544550665,0,1
1544553374,0,1
1544556072,3,3
1544563267,3,2
1544565967,1,0
1544570468,1,4
1544577663,2,5
1544584860,5,3
1544586671,1,0
1544589364,1,0
1544592067,11,11
1544599265,7,6
1544605573,0,1
1544606471,2,3
1544607366,1,0
1544610960,1,0
1544613662,4,0
1544619966,0,1
1544620866,2,8
1544622662,0,1
1544623563,1,0
1544624456,0,1
1544628056,5,4
1544628963,1,0
1544635269,6,3
1544638870,11,0
1544642470,4,4
1544649660,5,6
1544652357,1,0
1544656873,1,1
1544664063,7,3
1544671262,2,5
1544678462,7,6
1544682066,1,0
1544685661,3,7
1544692865,2,5
1544700190,7,7
1544707267,3,2
1544714465,2,5
1544720762,0,1
1544721665,4,4
1544722564,1,0
1544728856,7,0
1544730663,0,4
1544733380,1,0
1544736068,2,3
1544742366,1,0
1544743263,3,0
1544750460,0,5
1544757679,1,5
1544764870,6,6
1544772083,4,2
1544779274,5,2
1544786473,5,4
1544793669,7,5
1544800872,4,8
1544808072,2,1
1544815269,3,4
1544816162,1,0
1544822463,10,1
1544827866,0,2
1544828765,0,2
1544829662,1,5
1544836861,2,4
1544844064,3,5
1544844967,0,1
1544851256,2,4
1544858463,4,5
1544865670,7,5
1544870357,0,2
1544873008,2,3
1544880064,2,3
1544887268,2,3
1544889999,0,1
1544894474,1,4
1544898068,1,0
1544901671,2,5
1544908872,4,1
1544911578,1,0
1544916072,4,2
1544923273,0,1
1544930478,5,4
1544937668,3,6
1544941267,1,0
1544944880,8,5
1544952075,8,4
1544952969,1,0
1544955674,0,1
1544956580,1,0
1544959262,3,2
1544966465,3,3
1544973665,5,4
1544979075,0,2
1544980869,3,5
1544981756,0,1
1544984463,0,1
1544988080,5,7
1544988965,1,0
1544995260,4,1
1545002470,1,2
1545009670,1,3
1545016878,2,3
1545024077,4,3
1545031266,6,6
1545038460,3,6
1545042083,0,1
1545045794,6,5
1545051063,1,0
1545052859,1,6
1545055571,1,0
1545060070,2,2
1545061866,0,2
1545067269,4,2
1545071769,1,0
1545074467,8,7
1545076268,0,1
1545081663,4,2
1545089768,5,2
1545096063,1,4
1545103264,3,2
1545105964,0,1
1545110457,4,4
1545114067,0,1
1545117672,3,7
1545124876,6,4
1545129381,1,1
1545132069,4,1
1545139271,3,3
1545147381,0,3
1545153659,4,1
1545160868,6,3
1545164469,1,0
1545165364,0,1
1545167165,0,1
1545168064,2,1
1545168966,0,1
1545173474,0,1
1545175266,1,4
1545182461,4,0
1545189665,0,3
1545191463,0,1
1545196870,6,7
1545199564,1,0
1545200458,1,0
1545204076,2,5
1545211261,3,3
1545212158,0,1
1545217733,2,0
1545218621,4,1
1545225673,4,4
1545228373,0,1
