DateTime,AddedIPs,RemovedIPs
1544648535,4,0
1544655793,0,1
1544659394,1,0
1544662993,3,0
1544666595,2,3
1544673749,1,3
1544677412,3,2
1544680934,2,5
1544684610,1,0
1544688152,1,1
1544695407,2,2
1544699010,5,0
1544702599,1,1
1544706196,2,3
1544713411,1,4
1544716935,1,0
1544720596,4,4
1544724148,1,2
1544727741,2,2
1544731398,1,1
1544734994,2,0
1544738544,1,1
1544742198,0,1
1544749404,0,4
1544756543,0,3
1544760212,2,3
1544763747,3,2
1544767404,1,1
1544770995,3,0
1544774596,1,5
1544778197,2,1
1544781799,2,0
1544785395,3,4
1544788995,0,1
1544792537,4,0
1544796194,2,0
1544799794,1,3
1544803401,0,1
1544806994,2,3
1544810598,3,0
1544814197,0,1
1544817797,3,4
1544821339,6,1
1544824994,1,1
1544832137,0,1
1544835795,1,0
1544842997,1,0
1544846597,0,3
1544850138,2,2
1544853803,1,2
1544857335,1,7
1544860995,2,0
1544864595,3,1
1544868197,1,4
1544875395,2,1
1544878998,0,1
1544889797,1,5
1544893337,1,0
1544896997,1,1
1544900597,1,1
1544904198,2,2
1544907798,0,7
1544911397,1,0
1544915000,2,1
1544918596,1,1
1544925799,0,1
1544929398,3,0
1544936596,2,3
1544940141,2,1
1544943798,6,1
1544947397,4,2
1544950996,3,4
1544958196,2,6
1544961735,1,1
1544965396,1,0
1544969000,4,7
1544979803,3,1
1544983400,3,2
1544986995,1,0
1544990536,2,5
1544994198,1,1
1545004939,0,1
1545012200,0,1
1545015798,1,3
1545019397,2,1
1545022939,1,2
1545026537,1,2
1545030197,4,3
1545033796,2,0
1545037397,0,3
1545040997,3,3
1545044600,2,0
1545051797,0,2
1545058939,2,1
1545066200,3,1
1545069737,5,0
1545073401,2,3
1545076940,3,2
1545087737,4,0
1545091402,1,0
1545095000,0,1
1545102141,2,3
1545105743,1,0
1545109399,2,2
1545113002,1,0
1545116539,2,5
1545120198,3,2
1545123801,2,0
1545127397,1,0
1545131001,1,5
1545138199,3,1
1545141800,0,3
1545145398,0,8
1545152542,2,0
1545156201,3,4
1545159738,2,2
1545163399,1,3
1545167000,1,0
1545174198,2,0
1545177798,1,2
1545181398,1,2
1545185004,0,1
1545192141,1,5
1545195801,4,0
1545199400,1,1
1545202999,1,3
1545206600,1,2
1545210201,1,0
1545213799,2,0
1545217401,1,1
1545220998,1,2
1545224601,2,0
1545228204,2,0
1545231741,0,1
1545235402,5,3
1545238939,2,3
1545242604,1,0
1545246199,1,0
1545249799,0,1
1545253402,1,0
1545257001,1,0
1545267805,0,2
1545274939,1,0
1545278601,2,1
1545282144,1,5
1545285739,1,0
1545289400,3,4
1545296600,1,2
1545300141,2,2
1545303740,0,2
1545311004,1,0
1545314540,1,1
1545318143,1,0
1545321804,1,3
1545325454,3,0
1545328940,2,2
1545332540,0,1
1545336202,3,0
1545339748,3,1
1545343341,0,1
1545347000,3,1
1545350606,1,1
1545354205,1,0
1545357807,2,0
1545361401,0,3
1545368603,4,1
1545372145,2,1
1545375801,2,5
1545379403,0,1
1545383007,1,0
1545386546,1,7
1545390202,2,0
1545393809,3,5
1545401006,2,0
1545404601,3,1
1545408204,1,1
1545411805,5,0
1545415405,1,0
1545419005,2,0
1545422605,1,2
1545426145,2,0
1545429801,1,0
1545433401,4,2
1545440541,0,1
1545444148,1,1
1545447804,1,0
1545451405,1,7
1545454945,3,0
1545458604,2,7
1545462142,3,0
1545469405,0,3
1545472942,2,0
1545476602,0,7
1545480144,2,0
1545487405,0,1
1545490942,1,0
1545494602,0,2
1545498204,1,0
1545501746,5,3
1545505404,2,3
1545508947,3,1
1545512607,1,1
1545516144,1,0
1545519803,0,2
1545530542,1,0
1545534205,1,0
1545537802,1,1
1545541406,4,1
1545545008,1,3
1545548604,1,2
1545552152,1,0
1545555802,1,0
1545559403,2,6
1545563007,1,0
1545566546,0,3
1545570204,1,3
1545573747,3,0
1545577408,4,3
1545584607,4,7
1545588208,1,0
1545591807,1,0
1545595403,3,0
1545598949,0,1
1545602607,1,2
1545613404,0,3
1545620548,0,2
1545624146,1,5
1545627749,2,1
1545631409,3,0
1545635004,2,2
1545638604,2,0
1545642207,0,2
1545645804,1,1
1545649404,0,2
1545653009,1,1
1545656544,1,0
1545660147,1,0
1545663748,1,3
1545671009,2,1
1545674611,1,0
1545678206,1,5
1545681807,7,0
1545685348,1,3
1545689012,1,1
1545696150,0,1
1545703352,2,2
1545710604,2,1
1545714204,0,3
1545717805,3,9
1545721349,3,0
1545724949,4,0
1545728548,1,1
1545732206,1,0
1545735806,1,2
1545739351,1,0
1545743007,1,1
1545746545,2,0
1545750152,2,3
1545757416,1,2
1545761005,2,0
1545764605,1,1
1545768211,2,2
1545775350,0,2
1545779005,2,0
1545786210,1,1
1545789806,0,3
1545793405,0,3
1545797005,1,0
1545800549,1,2
1545804149,1,0
1545807806,4,3
1545811408,1,3
1545814947,2,0
1545818605,0,2
1545822208,1,1
1545829349,3,2
1545833011,1,2
1545836546,2,0
1545840150,1,0
1545843746,3,0
1545847409,1,2
1545850949,1,0
1545854547,1,1
1545858146,4,0
1545861811,2,1
1545869011,4,1
1545872546,0,3
1545876151,1,0
1545879808,1,0
1545883346,2,2
1545887008,1,0
1545890548,3,7
1545894207,5,1
1545897747,1,0
1545901347,0,1
1545904948,0,1
1545908547,2,0
1545912152,1,1
1545915807,5,0
1545919350,2,0
1545926551,4,0
1545930147,2,5
1545933807,4,2
1545937410,1,2
1545940948,1,1
1545944611,1,2
1545955347,0,3
1545959007,1,2
1545962609,2,0
1545966147,1,2
1545969812,2,0
1545973410,0,1
1545977008,2,4
1545980608,3,0
1545984208,2,5
1545994947,1,2
1546002211,0,2
1546005808,3,0
1546012951,3,9
1546016608,4,2
1546020212,1,0
1546023808,1,5
1546027409,1,0
1546030948,1,1
1546034612,1,0
1546038212,2,0
1546041812,3,2
1546045409,3,0
1546048954,1,2
1546056209,1,4
1546059750,2,1
1546063413,4,4
1546066949,1,3
1546070550,2,2
1546074209,3,0
1546077749,2,1
1546084987,1,1
1546088609,1,0
1546092153,1,2
1546099349,1,1
1546103011,3,5
1546106554,1,3
1546110211,1,0
1546113749,2,3
1546120953,2,1
1546124613,0,7
1546128210,1,1
1546139011,0,1
1546142609,2,0
1546146154,1,4
1546149753,1,1
1546153350,2,0
1546157016,1,3
1546160554,2,1
1546164210,0,3
1546167750,2,1
1546171350,2,0
1546174950,0,1
1546182209,1,1
1546185754,1,4
1546189349,1,0
1546193010,1,0
1546196550,2,3
1546200150,0,3
1546203810,2,2
1546207410,1,0
1546211010,0,1
1546247714,4,13
1546248451,4,0
1546250564,3,3
1546257816,1,2
1546261361,0,1
1546265020,0,3
1546268556,4,2
1546272156,2,0
1546275761,3,0
1546279356,1,0
1546282956,5,2
1546286620,1,1
1546290216,1,3
1546293777,0,1
1546301020,8,14
1546304562,5,0
1546308225,19,0
1546315362,4,0
1546322561,1,0
1546326218,1,0
1546329819,2,0
1546333357,1,0
1546336963,1,0
1546340617,3,2
1546344218,0,1
1546347765,1,0
1546351418,1,0
1546355018,1,2
1546358618,1,3
1546362163,2,2
1546365761,2,1
1546369358,5,6
1546372958,14,0
1546375597,0,1
1546380221,1,0
1546383823,1,1
1546394561,0,1
1546398219,2,0
1546401762,1,3
1546405362,1,0
1546409019,1,2
1546412563,2,0
1546416165,1,0
1546419821,0,7
1546423419,2,4
1546426959,1,0
1546430626,1,0
1546434166,3,0
1546437763,0,2
1546441362,2,0
1546445022,1,2
1546448619,2,1
1546452161,5,0
1546455763,2,0
1546459365,1,0
1546462964,4,0
1546466619,3,3
1546470220,1,0
1546473825,2,1
1546477366,2,0
1546480967,1,0
1546484624,0,1
1546488161,3,3
1546491762,1,0
1546495360,2,2
1546498964,2,5
1546502561,4,4
1546506163,2,0
1546509763,0,1
1546513363,1,1
1546516966,5,11
1546520625,1,0
1546524227,1,2
1546531363,1,4
1546534965,2,0
1546538567,0,1
1546542221,1,1
1546545820,2,0
1546549364,1,0
1546552965,3,0
1546556566,5,2
1546560222,1,0
1546563764,1,1
1546567370,0,1
1546571024,0,1
1546574622,3,2
1546578225,0,3
1546581828,3,1
1546585362,2,0
1546588962,1,4
1546592622,0,1
1546596168,0,1
1546599767,2,0
1546606965,2,7
1546610564,3,0
1546617822,1,2
1546621365,1,4
1546624968,1,0
1546628567,3,6
1546635762,3,0
1546639370,1,2
1546646566,0,1
1546653828,1,0
1546657366,1,4
1546660966,1,0
1546668167,2,2
1546671763,3,6
1546675363,1,1
1546678968,2,0
1546682568,3,1
1546686167,1,1
1546689765,0,1
1546693363,4,0
1546697023,1,0
1546700565,3,2
1546707769,1,0
1546711424,1,3
1546715029,1,0
1546718625,4,0
1546722169,2,1
1546725766,2,0
1546729367,0,1
1546733026,1,0
1546736623,1,1
1546740166,1,1
1546743825,1,0
1546747369,1,2
1546751030,0,2
1546758166,3,4
1546761825,6,2
1546765365,1,0
1546769023,0,2
1546772630,1,0
