DateTime,Entries,UniqueIPs
1544587396,1017,1126
1544590995,1022,1133
1544594532,1017,1130
1544598193,1019,1132
1544601798,1019,1132
1544605395,1020,1133
1544608997,1019,1132
1544612592,1011,1122
1544619798,1011,1122
1544623394,1009,1120
1544627000,1011,1122
1544630594,1013,1124
1544634194,1014,1125
1544637792,1010,1121
1544641398,1011,1122
1544645002,1013,1124
1544648535,1013,1124
1544659394,1014,1125
1544662993,1013,1127
1544666595,1011,1125
1544670197,1009,1123
1544673749,1010,1124
1544677412,1012,1126
1544680934,1009,1123
1544684610,1010,1124
1544688152,1009,1123
1544695407,1008,1121
1544699010,1013,1126
1544702599,1011,1124
1544706196,1013,1126
1544709752,1011,1124
1544713411,1008,1121
1544716935,1009,1122
1544720596,1007,1120
1544724148,1007,1120
1544727741,1008,1121
1544734994,1009,1122
1544738544,1009,1122
1544745744,1008,1121
1544749404,1007,1120
1544756543,1005,1118
1544760212,1006,1119
1544763747,1008,1121
1544767404,1005,1118
1544770995,1006,1119
1544774596,1005,1118
1544778197,1006,1119
1544781799,1004,1117
1544785395,1007,1120
1544788995,1006,1118
1544792537,1009,1122
1544796194,1008,1122
1544799794,1009,1123
1544803401,1007,1121
1544806994,1007,1121
1544810598,1009,1123
1544817797,1011,1125
1544821339,1012,1131
1544824994,1013,1132
1544832137,1012,1131
1544835795,1013,1132
1544842997,1013,1132
1544846597,1011,1130
1544850138,1011,1130
1544853803,1010,1129
1544857335,1011,1130
1544860995,1010,1129
1544864595,1013,1132
1544868197,1012,1131
1544875395,1011,1130
1544878998,1009,1128
1544889797,1007,1126
1544893337,1008,1127
1544896997,1009,1128
1544900597,1009,1128
1544904198,1010,1129
1544911397,1010,1129
1544915000,1011,1130
1544922200,1008,1127
1544929398,1010,1129
1544932938,1009,1128
1544936596,1010,1128
1544940141,1009,1127
1544943798,1014,1133
1544947397,1013,1134
1544950996,1012,1133
1544958196,1011,1132
1544961735,1012,1133
1544965396,1012,1133
1544969000,1014,1135
1544972600,1011,1132
1544976201,1010,1131
1544979803,1009,1130
1544983400,1012,1133
1544986995,1011,1132
1544990536,1013,1134
1544994198,1014,1135
1544997798,1013,1134
1545004939,1011,1132
1545012200,1008,1129
1545015798,1009,1130
1545019397,1011,1132
1545022939,1010,1131
1545026537,1005,1121
1545030197,1009,1125
1545033796,1010,1126
1545037397,1004,1120
1545040997,1007,1123
1545044600,1009,1125
1545055399,1007,1123
1545058939,1004,1120
1545066200,1006,1122
1545069737,1010,1126
1545073401,1010,1126
1545076940,1012,1128
1545084139,1009,1125
1545087737,1013,1129
1545091402,1013,1129
1545102141,1013,1129
1545105743,1014,1130
1545109399,1011,1127
1545113002,1009,1125
1545116539,1010,1126
1545120198,1013,1129
1545123801,1013,1129
1545127397,1010,1126
1545131001,1011,1127
1545134598,1008,1124
1545138199,1009,1123
1545141800,1008,1122
1545145398,1006,1120
1545152542,1005,1119
1545156201,1008,1122
1545159738,1008,1122
1545167000,1009,1123
1545170603,1008,1122
1545177798,1009,1123
1545181398,1010,1124
1545185004,1008,1122
1545192141,1006,1120
1545195801,1008,1122
1545199400,1005,1119
1545202999,1006,1120
1545206600,1006,1120
1545210201,1005,1119
1545213799,1007,1121
1545217401,1008,1122
1545220998,1008,1122
1545224601,1007,1121
1545228204,1008,1122
1545231741,1004,1118
1545235402,1003,1117
1545238939,1005,1119
1545242604,1006,1120
1545246199,1006,1120
1545249799,1003,1117
1545253402,1004,1118
1545257001,1004,1118
1545264200,1001,1115
1545267805,999,1113
1545271401,997,1111
1545274939,998,1112
1545278601,999,1113
1545282144,996,1110
1545285739,997,1111
1545289400,996,1110
1545296600,994,1108
1545300141,996,1110
1545303740,993,1107
1545307402,992,1106
1545314540,993,1107
1545318143,991,1105
1545321804,988,1102
1545325454,991,1105
1545328940,993,1107
1545332540,992,1106
1545336202,993,1107
1545339748,990,1104
1545347000,993,1107
1545350606,992,1106
1545354205,993,1107
1545357807,995,1109
1545364946,993,1107
1545368603,993,1107
1545372145,995,1109
1545375801,991,1105
1545383007,991,1105
1545386546,991,1105
1545390202,988,1102
1545393809,990,1104
1545397341,989,1103
1545401006,990,1105
1545404601,992,1107
1545408204,988,1103
1545411805,988,1103
1545415405,989,1104
1545419005,990,1105
1545422605,990,1105
1545426145,990,1100
1545429801,991,1101
1545433401,994,1104
1545437001,995,1103
1545444148,994,1102
1545451405,992,1100
1545454945,994,1102
1545458604,996,1104
1545462142,996,1104
1545469405,993,1101
1545472942,994,1102
1545476602,989,1097
1545480144,990,1098
1545487405,985,1093
1545490942,986,1094
1545498204,986,1094
1545501746,991,1099
1545505404,991,1097
1545508947,993,1100
1545512607,993,1100
1545516144,994,1101
1545523405,993,1100
1545530542,993,1100
1545534205,992,1099
1545537802,992,1099
1545541406,996,1103
1545545008,995,1102
1545548604,991,1098
1545552152,989,1096
1545555802,990,1097
1545559403,989,1096
1545563007,990,1097
1545570204,989,1096
1545573747,990,1098
1545577408,994,1102
1545581007,993,1101
1545584607,994,1102
1545588208,995,1103
1545591807,994,1102
1545595403,994,1102
1545602607,995,1103
1545624146,993,1101
1545627749,994,1102
1545631409,996,1104
1545635004,993,1101
1545638604,994,1102
1545645804,995,1103
1545649404,991,1098
1545653009,992,1099
1545656544,993,1100
1545660147,990,1097
1545663748,991,1098
1545667409,986,1092
1545671009,983,1089
1545674611,984,1090
1545678206,983,1089
1545681807,988,1094
1545685348,989,1095
1545689012,990,1096
1545692609,989,1095
1545703352,988,1094
1545710604,987,1093
1545717805,989,1095
1545721349,990,1096
1545724949,991,1097
1545728548,992,1098
1545732206,993,1099
1545735806,993,1099
1545739351,992,1098
1545743007,993,1099
1545746545,995,1101
1545750152,996,1102
1545753805,993,1099
1545757416,994,1100
1545761005,993,1099
1545764605,994,1100
1545768211,994,1100
1545779005,996,1102
1545782545,995,1101
1545786210,996,1102
1545797005,996,1102
1545800549,992,1098
1545804149,993,1099
1545807806,995,1101
1545811408,991,1097
1545818605,988,1094
1545822208,988,1094
1545829349,990,1096
1545833011,989,1095
1545836546,991,1097
1545840150,989,1095
1545843746,991,1097
1545847409,989,1095
1545850949,990,1096
1545858146,993,1099
1545861811,994,1100
1545869011,998,1104
1545876151,999,1105
1545879808,997,1103
1545883346,998,1104
1545887008,999,1105
1545890548,1001,1107
1545894207,1001,1107
1545897747,1001,1107
1545904948,997,1102
1545908547,999,1104
1545912152,996,1101
1545915807,1000,1105
1545919350,1000,1105
1545926551,1003,1108
1545930147,1005,1110
1545933807,1009,1114
1545937410,1008,1113
1545940948,1009,1114
1545944611,1010,1115
1545951747,1009,1114
1545959007,1009,1114
1545962609,1008,1113
1545966147,1009,1114
1545969812,1007,1109
1545977008,1002,1104
1545980608,1005,1107
1545984208,1007,1109
1545987811,1004,1106
1545994947,999,1101
1546002211,998,1100
1546005808,1001,1103
1546012951,1003,1105
1546016608,1004,1106
1546020212,1005,1107
1546023808,1003,1105
1546027409,1004,1106
1546030948,1003,1105
1546034612,1002,1104
1546038212,1004,1106
1546041812,1007,1109
1546045409,1010,1112
1546056209,1009,1111
1546059750,1011,1113
1546063413,1012,1114
1546066949,1011,1113
1546070550,1013,1115
1546074209,1016,1118
1546077749,1012,1114
1546084987,1010,1112
1546088609,1010,1111
1546095809,1008,1109
1546099349,1009,1110
1546103011,1011,1112
1546106554,1009,1107
1546110211,1010,1108
1546113749,1012,1110
1546117352,1011,1109
1546120953,1011,1109
1546128210,1009,1107
1546142609,1006,1104
1546146154,1006,1104
1546149753,1007,1105
1546153350,1008,1106
1546157016,1008,1106
1546160554,1008,1106
1546164210,1007,1105
1546167750,1006,1104
1546171350,1008,1106
1546182209,1006,1104
1546185754,1007,1105
1546189349,1007,1105
1546193010,1008,1106
1546196550,1008,1106
1546203810,1007,1105
1546207410,1008,1106
1546247714,994,1092
1546248451,997,1095
1546250564,1000,1098
1546257816,999,1097
1546265020,998,1096
1546268556,1000,1098
1546272156,1002,1100
1546275761,1003,1101
1546279356,1002,1100
1546282956,1006,1104
