DateTime,AddedIPs,RemovedIPs
1544706196,3,1
1544713411,1,4
1544716935,2,1
1544720596,4,5
1544724148,1,0
1544727741,3,1
1544731398,2,1
1544734994,2,4
1544738544,1,1
1544742198,1,1
1544745744,1,0
1544749404,0,1
1544756543,0,1
1544760212,2,3
1544763747,3,2
1544767404,1,3
1544770995,3,3
1544774596,1,5
1544778197,2,1
1544781799,2,1
1544785395,4,3
1544788995,0,1
1544792537,5,1
1544796194,2,1
1544799794,1,0
1544803401,0,6
1544806994,3,1
1544810598,3,1
1544814197,0,1
1544817797,3,2
1544821339,6,6
1544824994,1,1
1544832137,0,2
1544835795,1,1
1544839396,1,0
1544842997,2,1
1544850138,2,3
1544853803,1,1
1544857335,1,1
1544860995,2,2
1544864595,3,4
1544868197,3,1
1544871738,0,4
1544875395,2,3
1544878998,1,1
1544882596,1,4
1544886200,0,3
1544889797,1,0
1544893337,1,1
1544896997,1,1
1544900597,1,1
1544904198,2,6
1544907798,1,0
1544911397,1,1
1544915000,2,0
1544918596,1,7
1544922200,6,0
1544925799,0,1
1544929398,3,3
1544936596,2,2
1544940141,2,2
1544943798,6,2
1544947397,4,3
1544950996,4,5
1544958196,3,3
1544961735,1,0
1544965396,1,0
1544969000,4,3
1544972600,0,1
1544976201,1,0
1544979803,3,1
1544983400,3,0
1544986995,1,1
1544990536,2,2
1544994198,2,2
1545008598,0,1
1545015798,1,1
1545019397,2,2
1545022939,1,1
1545026537,1,1
1545030197,4,6
1545033796,2,1
1545037397,1,2
1545040997,3,0
1545044600,2,5
1545055399,0,1
1545058939,2,4
1545062601,2,8
1545066200,3,0
1545069737,5,4
1545073401,2,3
1545076940,3,3
1545087737,4,1
1545091402,2,3
1545098601,1,3
1545102141,2,1
1545105743,1,3
1545109399,3,6
1545113002,2,2
1545116539,2,4
1545120198,4,0
1545123801,2,2
1545127397,3,1
1545131001,1,2
1545134598,3,0
1545138199,4,2
1545145398,0,2
1545152542,2,3
1545156201,3,3
1545159738,3,0
1545163399,1,0
1545167000,1,1
1545170603,1,0
1545174198,2,0
1545177798,1,0
1545181398,1,2
1545192141,1,1
1545195801,4,5
1545199400,2,1
1545202999,1,3
1545206600,2,2
1545210201,1,3
1545213799,2,2
1545217401,2,1
1545220998,1,1
1545224601,2,0
1545228204,2,1
1545235402,5,1
1545238939,2,2
1545242604,1,2
1545246199,1,1
1545249799,0,1
1545253402,1,1
1545257001,1,1
1545260599,0,1
1545267805,0,1
1545274939,1,1
1545278601,2,2
1545282144,1,1
1545285739,1,3
1545289400,3,5
1545293003,1,0
1545296600,1,2
1545300141,2,6
1545303740,2,1
1545307402,0,5
1545311004,1,0
1545314540,1,0
1545318143,1,2
1545321804,1,0
1545325454,3,1
1545328940,2,0
1545332540,1,1
1545336202,4,2
1545339748,3,0
1545343341,1,0
1545347000,3,1
1545350606,1,1
1545354205,1,0
1545357807,2,1
1545361401,0,1
1545368603,4,7
1545372145,2,4
1545375801,2,3
1545383007,1,2
1545386546,1,2
1545390202,2,2
1545393809,3,5
1545397341,1,0
1545401006,2,1
1545404601,3,0
1545408204,1,2
1545411805,5,0
1545415405,1,3
1545419005,2,2
1545422605,2,2
1545426145,2,1
1545429801,1,1
1545433401,4,4
1545444148,1,2
1545447804,2,0
1545451405,1,1
1545454945,3,1
1545458604,2,3
1545462142,4,2
1545472942,2,3
1545476602,0,3
1545480144,4,3
1545483746,0,2
1545487405,0,2
1545490942,2,3
1545494602,0,1
1545498204,1,0
1545501746,5,7
1545505404,2,1
1545508947,4,0
1545512607,1,1
1545516144,1,1
1545519803,0,2
1545526942,0,3
1545530542,2,0
1545534205,1,2
1545537802,1,1
1545541406,4,4
1545545008,1,1
1545548604,1,1
1545552152,1,1
1545555802,2,2
1545559403,2,1
1545563007,1,2
1545566546,0,1
1545570204,1,0
1545573747,3,0
1545577408,4,3
1545584607,4,0
1545588208,1,1
1545591807,1,0
1545595403,3,5
1545598949,0,1
1545602607,1,3
1545606210,1,1
1545613404,0,3
1545616943,2,2
1545624146,1,1
1545627749,2,4
1545631409,4,6
1545635004,2,3
1545638604,2,0
1545642207,0,1
1545645804,1,1
1545653009,1,2
1545656544,1,0
1545660147,2,1
1545663748,1,0
1545667409,0,3
1545671009,2,2
1545674611,1,0
1545678206,1,1
1545681807,7,1
1545685348,1,1
1545689012,1,2
1545699775,0,1
1545703352,2,4
1545710604,2,3
1545714204,0,1
1545717805,3,1
1545721349,3,3
1545724949,4,4
1545728548,2,1
1545732206,1,1
1545735806,1,1
1545739351,2,2
1545743007,1,2
1545746545,3,1
1545750152,2,2
1545753805,1,0
1545757416,1,0
1545761005,2,1
1545764605,1,1
1545768211,2,1
1545771750,1,0
1545779005,2,1
1545786210,1,1
1545789806,0,3
1545797005,1,1
1545800549,1,1
1545804149,1,1
1545807806,4,6
1545811408,1,1
1545814947,2,1
1545818605,0,1
1545822208,1,1
1545825806,0,1
1545829349,3,0
1545833011,1,1
1545836546,2,0
1545840150,1,1
1545843746,4,5
1545847409,1,3
1545850949,2,1
1545854547,1,2
1545858146,4,2
1545861811,2,2
1545869011,6,3
1545872546,0,1
1545876151,1,2
1545879808,1,0
1545883346,2,3
1545887008,2,0
1545890548,3,1
1545894207,5,4
1545897747,2,1
1545901347,2,4
1545908547,2,4
1545912152,1,0
1545915807,6,2
1545919350,2,2
1545923007,0,1
1545926551,4,8
1545930147,3,1
1545933807,4,2
1545937410,3,5
1545940948,1,1
1545944611,2,2
1545948153,1,0
1545951747,0,1
1545959007,1,2
1545962609,2,2
1545966147,1,0
1545969812,2,4
1545973410,0,1
1545977008,2,4
1545980608,3,4
1545984208,2,2
1545994947,1,2
1546002211,2,2
1546005808,4,1
1546009412,1,1
1546012951,3,1
1546016608,4,6
1546020212,2,1
1546023808,1,2
1546027409,1,3
1546030948,1,0
1546034612,2,1
1546038212,2,2
1546041812,3,7
1546045409,4,1
1546048954,1,1
1546052553,1,1
1546056209,1,1
1546059750,2,1
1546063413,4,3
1546066949,1,1
1546070550,2,3
1546074209,3,2
1546077749,2,3
1546084987,2,1
1546088609,1,0
1546092153,2,1
1546095809,0,1
1546099349,1,3
1546103011,4,3
1546106554,1,0
1546110211,1,3
1546113749,3,3
1546117352,1,1
1546120953,2,2
1546128210,2,1
1546131816,0,1
1546135354,0,1
1546142609,2,3
1546146154,1,2
1546149753,1,1
1546153350,2,1
1546157016,1,1
1546160554,2,1
1546164210,0,2
1546167750,2,3
1546171350,2,2
1546174950,0,1
1546178553,0,1
1546182209,1,2
1546185754,1,2
1546189349,1,0
1546193010,1,0
1546196550,2,2
1546200150,0,1
1546203810,2,3
1546207410,1,1
1546247714,4,17
1546248451,6,0
1546250564,4,0
1546254156,0,2
1546257816,1,1
1546261361,0,1
1546268556,4,3
1546272156,2,3
1546275761,3,2
1546279356,1,1
1546282956,6,3
1546286620,1,4
1546290216,2,1
1546297356,0,1
1546301020,9,1
1546304562,5,0
1546308225,20,1
1546315362,4,3
1546322561,1,1
1546326218,1,1
1546329819,2,0
1546333357,1,9
1546336963,2,1
1546340617,3,4
1546347765,1,0
1546351418,2,0
1546355018,1,2
1546358618,1,1
1546362163,2,2
1546365761,3,1
1546369358,6,0
1546372958,14,0
1546380221,1,3
1546383823,1,1
1546390959,0,2
1546394561,0,1
1546398219,2,1
1546401762,1,1
1546405362,1,2
1546409019,2,2
1546412563,2,3
1546416165,1,3
1546419821,1,4
1546423419,2,1
1546426959,1,1
1546430626,1,4
1546434166,4,7
1546437763,1,0
1546441362,2,2
1546445022,1,2
1546448619,2,4
1546452161,5,1
1546455763,2,2
1546459365,1,0
1546462964,5,0
1546466619,3,0
1546470220,1,1
1546473825,2,2
1546477366,2,1
1546480967,1,1
1546484624,0,1
1546488161,3,2
1546491762,1,3
1546495360,2,2
1546498964,3,1
1546502561,4,4
1546506163,2,1
1546509763,0,1
1546513363,3,0
1546516966,6,0
1546520625,1,6
1546524227,1,1
1546531363,1,2
1546534965,2,1
1546538567,0,4
1546542221,1,4
1546545820,2,2
1546549364,1,0
1546552965,4,1
1546556566,5,2
1546560222,3,1
1546563764,1,2
1546571024,1,0
1546574622,3,4
1546581828,3,2
1546585362,3,4
1546588962,1,2
1546592622,0,1
1546596168,0,1
1546599767,2,1
1546606965,2,1
1546610564,3,0
1546614226,0,1
1546617822,1,1
1546621365,1,0
1546624968,1,3
1546628567,3,1
1546635762,3,1
1546639370,2,0
1546643022,0,1
1546653828,1,1
1546657366,1,1
1546660966,1,2
1546668167,2,2
1546671763,3,4
1546675363,1,2
1546678968,2,1
1546682568,3,2
1546686167,1,0
1546693363,4,1
1546697023,1,0
1546700565,4,1
1546704167,0,2
1546707769,1,4
1546711424,1,1
1546715029,1,1
1546718625,4,4
1546722169,3,3
1546725766,2,1
1546729367,0,1
1546733026,2,7
1546736623,4,0
1546740166,1,0
1546743825,1,1
1546747369,2,3
1546758166,3,5
1546761825,6,0
1546765365,1,1
1546769023,0,1
1546772630,1,2
