DateTime,Entries,UniqueIPs
1484091635,78,78
1484178743,68,68
1484352998,82,82
1484614372,88,88
1484789072,94,94
1484963292,93,93
1485050482,125,125
1485137808,127,127
1485224893,128,128
1485312037,128,128
1485573633,124,124
1485747859,125,125
1486009245,107,107
1486531936,112,112
1486706171,111,111
1486880440,112,112
1487316017,113,113
1487751653,116,116
1488100089,107,107
1488622818,92,92
1489058410,95,95
1489232660,100,100
1489406896,96,96
1489668260,105,105
1489843006,109,109
1490104336,123,123
1490191717,128,128
1490278815,140,140
1490365962,142,142
1490453045,143,143
1490540183,149,149
1490714423,159,159
1490801536,167,167
1490888650,169,169
1490975910,180,180
1491150268,189,189
1491237375,194,194
1491324505,197,197
1491411717,205,205
1491498741,207,207
1491585849,209,209
1491760094,214,214
1492283065,216,216
1492457302,227,227
1492892908,229,229
1492980029,232,232
1493067156,219,219
1493241416,222,222
1493328538,225,225
1493938611,251,251
1494113305,254,254
1494287547,244,244
1494374669,245,245
1494461788,253,253
1494548905,255,255
1494723131,257,257
1494984742,261,261
1495158980,270,270
1495594569,278,278
1496729072,190,190
1496816177,194,194
1496990676,197,197
1497077775,200,200
1497252027,201,201
1498646665,208,208
1499169376,218,218
1499256525,110,110
1499517860,116,116
1499692106,120,120
1499869710,131,131
1500043928,138,138
1500131061,144,144
1500741150,121,121
1500828263,124,124
1500915403,126,126
1501002498,127,127
1501089618,130,130
1501176756,157,157
1501264115,164,164
1501612846,165,165
1501787307,164,164
1502310996,168,168
1502485327,169,169
1503618506,116,116
1503880092,118,118
1504054339,137,137
1504228572,144,144
1504402817,147,147
1504577050,150,150
1504751298,159,159
1504925530,162,162
1505187143,169,169
1505361634,174,174
1505448743,183,183
1505535852,185,185
1505797455,190,190
1505884823,131,131
1506059056,135,135
1506407536,133,133
1506582030,135,135
1506669140,160,160
1506843378,173,173
1507017627,174,174
1507104739,191,191
1508150909,199,199
1508412249,200,200
1508760733,203,203
1508934974,207,207
1509022344,234,234
1509196829,240,240
